image_id,mIoU,mDice
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,0.49875855079807446,0.24968925192156466
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,0.47985211033565967,0.24485945648026455
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,0.654508996227189,0.3953656449488172
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,0.593151840142629,0.3723132259673233
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,0.604866599887147,0.37689484383444893
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,0.4068619859799984,0.28852649447603407
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,0.2875279017857143,0.1825509300265722
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,0.1654294380587484,0.16583980155237257
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0.3057437818877551,0.2392072682668219
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0.254258343962585,0.21635631833033725
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,0.6165097624965372,0.3797720403254543
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0.46120655293367346,0.23991022092287914
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,0.5505644482801609,0.3498581944652665
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,0.8484259858330354,0.45877080425831307
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,0.25964302255133465,0.19868992824052917
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,0.4063514084579218,0.2739117272251594
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,0.5653151423610322,0.34567148582818363
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,0.4854711415816326,0.24631423544401077
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,0.49765824298469385,0.2494131865717111
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,0.4998405612244898,0.24996013394992825
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,0.49863480548469385,0.24965823479519034
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,0.2626946987436898,0.2777314918726506
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,0.6155821904354843,0.3724456495990084
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,0.3924922412009945,0.27692164113564227
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12,0.5954148682252299,0.3726421945108265
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+120,0.1294585578650244,0.13986692542278903
