model,seed,epoch,fg_mIoU,mDice,params,inference_seconds_per_image
SSHR B0,42,25,0.6669670591172749,0.7979768467313589,112709714,0.014957892204195614
GCQM,42,25,0.6435430070332891,0.7807558535607488,111279322,0.032787806475714866
Delta pp,,,-2.342405208398579,-1.72209931706101,,
