score,positive_label,auroc,auprc,prevalence,auprc_over_prevalence,positive,negative,observed,ci95_low,ci95_high,finite_resamples,resamples,seed,unit,eligible_images,resampling_images,aggregation
purity,Corrected_by_CH,0.8106728913988859,0.9309849708059745,0.8143246544725204,1.1432602042597138,305318,69616,0.7660166793938316,0.7570405692949087,0.7752150771304143,10000,10000,42,fraction,2228,3418,image_balanced
purity_gain,Corrected_by_CH,0.5292338106123545,0.807170836992069,0.8143246544725204,0.9912150302202439,305318,69616,0.5361261379039396,0.5256735696380638,0.5464689516433971,10000,10000,42,fraction,2228,3418,image_balanced
negative_wrong_mass,Corrected_by_CH,0.8008013235336356,0.9288402259326385,0.8143224825636444,1.1406294752030794,305318,69617,0.7400027947670687,0.7312731821180414,0.748934839671571,10000,10000,42,fraction,2229,3418,image_balanced
