group,estimator,accuracy,miou,dice,iou_class0,iou_class1,iou_class2,iou_class3,nll,brier,targets,coverage
all,U,0.7813946190276236,0.489692042270629,0.6142602017599895,0.7254256331190132,0.6699059783491638,0.46526886695006736,0.09816769066427167,0.6439726340866461,0.33636398257139594,2479143,1.0
all,SR,0.7915908844306279,0.5222192910162963,0.6546378559923526,0.7320522002994554,0.678908126806857,0.5075100052696794,0.1704068316891933,0.6106693838421001,0.31670363816627844,2479143,1.0
all,SC,0.7936593411513575,0.542696644042344,0.6798563508810052,0.7295338634188718,0.6774043615424669,0.5379217119481532,0.22592663925988404,0.6005153442793004,0.30946233529715544,2479143,1.0
all,SRSC,0.7995347585839139,0.5680708640414293,0.7094040748201844,0.7324094340484703,0.6825590626117072,0.5472465345894324,0.31006842491610737,0.5795458488852596,0.2982887683255486,2479143,1.0
all,raw,0.7142532721993043,0.4363486817386499,0.5817299492959925,0.6261773260311272,0.5868296236822933,0.37557864312177486,0.1568091341194043,0.7848371981369161,0.4062494586527979,2479143,1.0
all,deep,0.767429309241137,0.5662856277940953,0.7173329225242939,0.694273268505836,0.630486511651967,0.5178261726448561,0.42255655837372197,1.7849333004321541,0.40958963519218566,2479143,1.0
all,oracle,0.8234740056869178,0.5445548228824565,0.6576405514279686,0.7769944322514356,0.7343747376567763,0.5622179467855908,0.10463217483602319,0.5872053962681572,0.2964410663200926,2479023,0.999951596176582
Corrected_by_CH,U,0.6931134096253742,0.48566617232365394,0.6130792314959546,0.6174355651246891,0.6097887373074313,0.6291461269786222,0.08629425988387315,0.8430011048468141,0.45753853585106113,305318,1.0
Corrected_by_CH,SR,0.7440471901427365,0.5565058940427677,0.6856014281838536,0.6467386542842124,0.662572026880911,0.7282916964660041,0.18842119853994363,0.76062671258288,0.40532372812400996,305318,1.0
Corrected_by_CH,SC,0.7246477443190379,0.5441582924061708,0.6876126490389256,0.5845587830320654,0.6059558978687487,0.7192682718475037,0.26685021687636507,0.7624702970724346,0.41102108875856613,305318,1.0
Corrected_by_CH,SRSC,0.7653069913991314,0.6046449986041991,0.7461630617644051,0.6067500687379709,0.6456754895208108,0.750464667079704,0.41568976907831057,0.699993350249859,0.37214458432607755,305318,1.0
