group,estimator,repair_count,harm_count,targets,repair,harm,net_repair
all,U,316728,150275,2479143,0.12775705152950032,0.060615704701181015,0.0671413468283193
all,SR,332612,140881,2479143,0.13416410428926448,0.05682649205794099,0.07733761223132349
all,SC,301004,104145,2479143,0.12141453720096017,0.04200846824890698,0.07940606895205318
all,SRSC,315135,103710,2479143,0.12711449077362622,0.04183300438901669,0.08528148638460951
all,raw,0,0,2479143,0.0,0.0,0.0
all,deep,314730,182899,2479143,0.12695112786959042,0.07377509082775782,0.0531760370418326
all,oracle,361964,91236,2479023,0.14601074697572392,0.036803208360713074,0.10920753861501083
Corrected_by_CH,U,177259,9000,305318,0.5805717317681892,0.02947746284202045,0.5510942689261688
Corrected_by_CH,SR,191148,7338,305318,0.626062007480725,0.024033958037194006,0.602028049443531
Corrected_by_CH,SC,183951,6064,305318,0.602489863028056,0.01986125940822356,0.5826286036198325
Corrected_by_CH,SRSC,195530,5229,305318,0.6404142566111398,0.017126405911213883,0.623287850699926
Corrected_by_CH,raw,0,0,305318,0.0,0.0,0.0
Corrected_by_CH,deep,186024,8406,305318,0.6092795053026681,0.0275319502944471,0.581747555008221
Corrected_by_CH,oracle,185754,7282,305310,0.6084111231207625,0.023851167665651304,0.5845599554551112
Still_Wrong,U,70376,15192,378130,0.186115886070928,0.040176658821040385,0.14593922724988762
Still_Wrong,SR,71185,15464,378130,0.18825536191256975,0.04089598815222278,0.14735937376034697
Still_Wrong,SC,47942,14605,378130,0.12678708380715628,0.03862428265411366,0.0881628011530426
Still_Wrong,SRSC,50040,14678,378130,0.13233544019252638,0.038817337952556,0.09351810223997038
Still_Wrong,raw,0,0,378130,0.0,0.0,0.0
Still_Wrong,deep,69480,13241,378130,0.18374633062703302,0.035017057625684286,0.14872927300134875
Still_Wrong,oracle,100995,10892,378066,0.26713589690688927,0.028809784534975375,0.2383261123719139
Harmed_by_CH,U,4023,41244,69617,0.057787609348291365,0.592441501357427,-0.5346538920091357
Harmed_by_CH,SR,3481,43465,69617,0.050002154646135284,0.6243446284671847,-0.5743424738210494
Harmed_by_CH,SC,3158,36746,69617,0.04536248330149245,0.5278308459140727,-0.48246836261258025
Harmed_by_CH,SRSC,3039,37680,69617,0.04365313070083457,0.5412471091831018,-0.4975939784822673
Harmed_by_CH,raw,0,0,69617,0.0,0.0,0.0
Harmed_by_CH,deep,3493,33587,69617,0.050174526336957924,0.48245399830501173,-0.4322794719680538
Harmed_by_CH,oracle,7295,23950,69597,0.10481773639668376,0.34412402833455463,-0.2393062919378709
Stable_Correct,U,65070,84839,1726078,0.037698180499374886,0.049151312976586224,-0.011453132477211343
Stable_Correct,SR,66798,74614,1726078,0.03869929400641223,0.04322747871185427,-0.004528184705442049
Stable_Correct,SC,65953,46730,1726078,0.03820974486668621,0.02707293644899014,0.011136808417696072
Stable_Correct,SRSC,66526,46123,1726078,0.03854171132474894,0.026721272155719497,0.011820439169029442
Stable_Correct,raw,0,0,1726078,0.0,0.0,0.0
Stable_Correct,deep,55733,127665,1726078,0.03228880734242601,0.07396247446523274,-0.041673667122806735
Stable_Correct,oracle,67920,49112,1726050,0.03934996089336926,0.02845340517366241,0.010896555719706845
Top20,U,154226,50261,485451,0.31769632774471573,0.10353465128303371,0.21416167646168202
Top20,SR,168016,50938,485451,0.3461029022496606,0.10492923075655422,0.24117367149310642
Top20,SC,178431,58573,485451,0.3675571787883844,0.12065687371124995,0.24690030507713445
Top20,SRSC,190546,59675,485451,0.3925133535619455,0.12292692774347977,0.2695864258184657
Top20,raw,0,0,485451,0.0,0.0,0.0
Top20,deep,220561,103341,485451,0.4543424568082052,0.21287627381548294,0.24146618299272224
Top20,oracle,170605,35207,485410,0.3514657712037247,0.07253043818627553,0.27893533301744916
Bottom80,U,162502,100014,1993692,0.08150807647319647,0.050165221107372655,0.03134285536582381
Bottom80,SR,164596,89943,1993692,0.08255838915940877,0.045113788890159566,0.037444600269249215
Bottom80,SC,122573,45572,1993692,0.06148040921065039,0.02285809442983169,0.0386223147808187
Bottom80,SRSC,124589,44035,1993692,0.06249159850167428,0.02208716291182389,0.040404435589850386
Bottom80,raw,0,0,1993692,0.0,0.0,0.0
Bottom80,deep,94169,79558,1993692,0.047233474378188804,0.03990485992821358,0.007328614449975222
Bottom80,oracle,191359,56029,1993613,0.09598603139124795,0.028104250925330043,0.0678817804659179
Q1,U,12323,13691,495830,0.02485327632454672,0.027612286469152734,-0.0027590101446060143
Q1,SR,11962,11466,495830,0.024125204203053467,0.02312486134360567,0.0010003428594477946
Q1,SC,3950,1544,495830,0.007966440110521751,0.00311397051408749,0.004852469596434262
Q1,SRSC,4000,1396,495830,0.008067281124578989,0.002815481112478067,0.005251800012100922
Q1,raw,0,0,495830,0.0,0.0,0.0
Q1,deep,348,378,495830,0.000701853457838372,0.0007623580662727144,-6.0504608434342414e-05
Q1,oracle,14572,5590,495807,0.029390468468577492,0.0112745483625685,0.01811592010600899
Q2,U,25709,20536,495828,0.05185064175480207,0.04141758835725292,0.01043305339754915
Q2,SR,25734,18115,495828,0.05190106246520971,0.03653484676137693,0.015366215703832781
Q2,SC,14719,5880,495828,0.029685697459602926,0.011858951087877248,0.01782674637172568
Q2,SRSC,14880,5545,495828,0.030010406834628137,0.011183313568414854,0.018827093266213284
Q2,raw,0,0,495828,0.0,0.0,0.0
Q2,deep,4105,4422,495828,0.008279080648934711,0.008918415256903603,-0.0006393346079688924
Q2,oracle,30741,10474,495805,0.06200219844495316,0.02112524077006081,0.04087695767489235
Q3,U,39491,27642,495829,0.07964641035518294,0.055749058647235235,0.0238973517079477
Q3,SR,39875,24939,495829,0.08042087090509026,0.05029758243265319,0.03012328847243707
Q3,SC,26266,10702,495829,0.05297390834340065,0.021584054179969305,0.03138985416343135
Q3,SRSC,26747,10208,495829,0.053944000855133525,0.020587742951703108,0.033356257903430414
Q3,raw,0,0,495829,0.0,0.0,0.0
Q3,deep,14695,16896,495829,0.029637233804396274,0.034076264195922384,-0.004439030391526111
Q3,oracle,47882,15670,495817,0.09657192068847982,0.031604402430735534,0.06496751825774429
Q4,U,66235,40493,495828,0.133584630154005,0.08166743306146486,0.051917197092540154
Q4,SR,67234,36299,495828,0.13559944174189437,0.07320885468347894,0.062390587058415416
Q4,SC,50730,20172,495828,0.10231370555918584,0.04068346281371766,0.06163024274546819
Q4,SRSC,51688,18996,495828,0.10424582718200666,0.03831167259614221,0.06593415458586445
Q4,raw,0,0,495828,0.0,0.0,0.0
Q4,deep,43330,40660,495828,0.08738917527852401,0.0820042434069879,0.0053849318715360976
Q4,oracle,79316,26323,495809,0.1599728927873435,0.05309100883606389,0.10688188395127962
Q5,U,172970,47913,495828,0.34885081116838906,0.09663229991045282,0.2522185112579362
Q5,SR,187807,50062,495828,0.37877449438111604,0.10096646417709366,0.27780803020402234
Q5,SC,205339,65847,495828,0.41413353017578675,0.13280210072847842,0.2813314294473083
Q5,SRSC,217820,67565,495828,0.43930556563969764,0.13626701194769153,0.3030385536920061
Q5,raw,0,0,495828,0.0,0.0,0.0
Q5,deep,252252,120543,495828,0.508749001669934,0.2431145477867325,0.26563445388320145
Q5,oracle,189453,33179,495785,0.3821273334207368,0.06692215375616446,0.31520517966457234
boundary,U,28080,30596,201144,0.13960147953704807,0.15210993119357277,-0.012508451656524679
boundary,SR,28496,30377,201144,0.14166964960426362,0.15102115897068766,-0.009351509366424055
boundary,SC,23811,22352,201144,0.11837787853478106,0.11112436861154198,0.007253509923239073
boundary,SRSC,24436,22761,201144,0.12148510519826591,0.11315773774012648,0.008327367458139442
boundary,raw,0,0,201144,0.0,0.0,0.0
boundary,deep,25404,26392,201144,0.12629757785467127,0.13120948176430816,-0.004911903909636877
boundary,oracle,49684,11285,201029,0.24714842137204085,0.05613617935720717,0.1910122420148337
interior,U,288648,119679,2277999,0.1267112057555776,0.05253689751400242,0.07417430824157517
interior,SR,304116,110504,2277999,0.13350137554933078,0.048509239907480205,0.08499213564185058
interior,SC,277193,81793,2277999,0.12168266974656267,0.03590563472591515,0.08577703502064751
interior,SRSC,290699,80949,2277999,0.12761155733606555,0.03553513412429066,0.0920764232117749
interior,raw,0,0,2277999,0.0,0.0,0.0
interior,deep,289326,156507,2277999,0.12700883538579252,0.06870371760479263,0.05830511778099991
interior,oracle,312280,79951,2277994,0.13708552349128225,0.03509710736727138,0.10198841612401086
class0,U,105739,30681,965133,0.1095589934237043,0.03178940104628067,0.07776959237742363
class0,SR,104243,32702,965133,0.1080089479895517,0.03388341295966463,0.07412553502988707
class0,SC,77804,35765,965133,0.08061479609546042,0.037057068818494444,0.043557727276965975
class0,SRSC,77648,37542,965133,0.08045316034163168,0.038898265834864214,0.04155489450676746
class0,raw,0,0,965133,0.0,0.0,0.0
class0,deep,43802,88423,965133,0.04538441852055623,0.09161742474871339,-0.04623300622815715
class0,oracle,120359,12572,965113,0.12470974901384604,0.013026453897108421,0.11168329511673762
class1,U,148254,59321,1044692,0.14191168306065327,0.05678324329084553,0.08512843976980775
class1,SR,148319,59630,1044692,0.14197390235590968,0.05707902424829519,0.0848948781076145
class1,SC,136735,41440,1044692,0.130885466721292,0.039667193775773144,0.09121827294551887
class1,SRSC,136511,43711,1044692,0.1306710494576392,0.041841040230039095,0.08883000922760009
class1,raw,0,0,1044692,0.0,0.0,0.0
class1,deep,121742,82309,1044692,0.11653386835545787,0.07878781497321699,0.03774605338224089
class1,oracle,162935,33742,1044621,0.15597522929368643,0.03230071001827457,0.12367451927541184
class2,U,56805,43995,323515,0.1755869125079208,0.1359906032177797,0.03959630929014111
class2,SR,67155,36081,323515,0.20757924671189898,0.11152805897717262,0.09605118773472636
class2,SC,68190,17907,323515,0.2107784801322968,0.055351374743056736,0.15542710538924007
class2,SRSC,72426,16440,323515,0.22387215430505542,0.050816809112405915,0.17305534519264948
class2,raw,0,0,323515,0.0,0.0,0.0
