step,parameter,step_update_norm,cumulative_update_norm,initial_parameter_norm,relative_update_norm,finite
1,p_sem.weight,0.005883953534066677,0.005883953534066677,16.0,0.0003677470958791673,True
1,p_morph.weight,0.0036724605597555637,0.0036724605597555637,16.0,0.00022952878498472273,True
1,u_sem.weight,0.00563020771369338,0.00563020771369338,16.0,0.00035188798210583627,True
1,u_morph.weight,0.004093310795724392,0.004093310795724392,16.0,0.0002558319247327745,True
2,p_sem.weight,0.005384456366300583,0.009808248840272427,16.0,0.0006130155525170267,True
2,p_morph.weight,0.004317865241318941,0.006890794727951288,16.0,0.0004306746704969555,True
2,u_sem.weight,0.006143474951386452,0.010504066944122314,16.0,0.0006565041840076447,True
2,u_morph.weight,0.00355392973870039,0.006381023209542036,16.0,0.00039881395059637725,True
4,p_sem.weight,0.0093656275421381,0.012283667922019958,16.0,0.0007677292451262474,True
4,p_morph.weight,0.008933107368648052,0.012405266985297203,16.0,0.0007753291865810752,True
4,u_sem.weight,0.010555857792496681,0.013542168773710728,16.0,0.0008463855483569205,True
4,u_morph.weight,0.0074333688244223595,0.012070191092789173,16.0,0.0007543869432993233,True
8,p_sem.weight,0.007518385536968708,0.0338527075946331,16.0,0.002115794224664569,True
8,p_morph.weight,0.005244112107902765,0.02700088731944561,16.0,0.0016875554574653506,True
8,u_sem.weight,0.008091139607131481,0.033362939953804016,16.0,0.002085183747112751,True
8,u_morph.weight,0.004464717116206884,0.028770146891474724,16.0,0.0017981341807171702,True
16,p_sem.weight,0.007653385866433382,0.04167688265442848,16.0,0.00260480516590178,True
16,p_morph.weight,0.005121853668242693,0.027785224840044975,16.0,0.001736576552502811,True
16,u_sem.weight,0.007346706464886665,0.0425950288772583,16.0,0.002662189304828644,True
16,u_morph.weight,0.005222260020673275,0.026708174496889114,16.0,0.0016692609060555696,True
32,p_sem.weight,0.006729475688189268,0.06755921244621277,16.0,0.004222450777888298,True
32,p_morph.weight,0.005902940407395363,0.03691587224602699,16.0,0.002307242015376687,True
32,u_sem.weight,0.0074667357839643955,0.06330601871013641,16.0,0.003956626169383526,True
32,u_morph.weight,0.004871214274317026,0.03539148345589638,16.0,0.0022119677159935236,True
64,p_sem.weight,0.0035470586735755205,0.1045251116156578,16.0,0.006532819475978613,True
64,p_morph.weight,0.0025250061880797148,0.0629863515496254,16.0,0.003936646971851587,True
64,u_sem.weight,0.0034852928947657347,0.0857987329363823,16.0,0.005362420808523893,True
64,u_morph.weight,0.0024323342368006706,0.061935149133205414,16.0,0.0038709468208253384,True
96,p_sem.weight,0.005617538932710886,0.1345774233341217,16.0,0.008411088958382607,True
96,p_morph.weight,0.003993749152868986,0.08819977194070816,16.0,0.00551248574629426,True
96,u_sem.weight,0.005325616337358952,0.11238209158182144,16.0,0.00702388072386384,True
96,u_morph.weight,0.003992057405412197,0.08856610953807831,16.0,0.005535381846129894,True
128,p_sem.weight,0.005309530068188906,0.17212608456611633,16.0,0.01075788028538227,True
128,p_morph.weight,0.004090572241693735,0.11142682284116745,16.0,0.006964176427572966,True
128,u_sem.weight,0.005239547695964575,0.14487324655056,16.0,0.00905457790941,True
128,u_morph.weight,0.004090240225195885,0.11263223737478256,16.0,0.00703951483592391,True
