step,flip_dimension,struct_before,struct_after,delta,affinity_before,affinity_after,semantic_affinity_before,semantic_affinity_after,input_batch_sha256
44,3,0.0001779876183718443,0.000182961521204561,4.973902832716703e-06,0.012796769849956036,0.013035230338573456,0.011343724094331264,0.011522931046783924,f7218fde6a209b92e22d6b7bcf4daf251a29d078818a3c3bd9e26a0e1e33f316
48,2,0.00025287611060775816,0.000292203068966046,3.932695835828781e-05,0.01576528511941433,0.016686609014868736,0.011539760045707226,0.014123858883976936,457d5716ec5329ca2501e501ef8e3abd11003a25f00c2213914a355c17430db6
52,3,0.00027722286176867783,0.00025486937374807894,-2.235348802059889e-05,0.016602367162704468,0.015868138521909714,0.011732565239071846,0.01192215085029602,c7ad632dae45c6b9b86c03901164ba644a2177493bcb7d10e0bddebc9c72c9e0
56,2,0.00027175244758836925,0.0002822503156494349,1.0497868061065674e-05,0.0164138562977314,0.016815872862935066,0.011512789875268936,0.010644218884408474,073cd011d0e8e1e2e3097f022d7f93c0953f56fae7ca3a29d0666d1622e161ff
60,3,0.00021680018107872456,0.000252558704232797,3.5758523154072464e-05,0.014587480574846268,0.015975316986441612,0.011550442315638065,0.011771050281822681,2f8ebe89278b29510ceda404650b36ba29883cf2934f794c307483219717f93b
64,2,0.000267203024122864,0.0002859022351913154,1.8699211068451405e-05,0.016500957310199738,0.017048489302396774,0.011699080467224121,0.012078220024704933,27f10055f9214bd60939d83a6bc008b93ae359034bca113ab335ca9c7d44afd6
68,3,0.00025224388809874654,0.00023786582460161299,-1.4378063497133553e-05,0.015805518254637718,0.015381332486867905,0.011126439087092876,0.011001263745129108,417005178b483cdc082cd9915b3b28690893a31df686d1ecdfad55a2dc7bf81b
72,2,0.00026711568352766335,0.00025635561905801296,-1.0760064469650388e-05,0.016140781342983246,0.015773894265294075,0.010558276437222958,0.010219643823802471,a8fbea723a660b93d89aeaa200713ed9334418e319fca67511ea79551f19199c
76,3,0.00022062647622078657,0.00021745286358054727,-3.1736126402392983e-06,0.01454856526106596,0.014784254133701324,0.010148382745683193,0.009526987560093403,c8ec85547c7db0f32d2501033966e2d33a90e6db299336aa435ea50d456c7d08
80,2,0.000295340025331825,0.0003091870166826993,1.3846991350874305e-05,0.016353324055671692,0.01682448573410511,0.01183440163731575,0.011417679488658905,dffbeb85e8f486b78d0dbd5fb898fc2c3bec1a77071c68861e5b65800b1d94e4
84,3,0.0002176731504732743,0.00020760638290084898,-1.0066767572425306e-05,0.014874492771923542,0.014480777084827423,0.010686676017940044,0.009916111826896667,a60c498927f845ef043f8acc4e151b95867d6ca3325f33e12abb7bcb7bfec3ab
88,2,0.0002429424785077572,0.0002525768941268325,9.634415619075298e-06,0.015473093837499619,0.015822939574718475,0.011870932765305042,0.012458475306630135,aa09de53314704f92a5f3d4155a304cc47c4e88402ad220035e665eb14ff3c82
92,3,0.0002775183820631355,0.00025909996475093067,-1.8418417312204838e-05,0.01657233200967312,0.01601516827940941,0.011840594932436943,0.01155640184879303,c52090fab69f0bf372c1722de1dc4af34201981280c687dcb67ff2f8876db7de
96,2,0.00030950174550525844,0.0002989282656926662,-1.0573479812592268e-05,0.017842359840869904,0.017516518011689186,0.01169320847839117,0.012433060444891453,e809831601e5d3060b44d7b6d47ace82221005bb425658a0ca22f87584b991cd
100,3,0.00023417413467541337,0.00022912614804226905,-5.047986633144319e-06,0.015117441304028034,0.01524206344038248,0.012052894569933414,0.010478760115802288,a7aed85955b98c6b1aa1f3f62e52c934ccc29fc53b4920b881573a1f1850ad31
104,2,0.00022877099399920553,0.00021665678650606424,-1.2114207493141294e-05,0.014631258323788643,0.014167961664497852,0.011902473866939545,0.01133785955607891,6b42d08cf956a34742e8756099752c9c7b394e974cf6b8ee0427a31183900086
108,3,0.00017287401715293527,0.0001990130404010415,2.613902324810624e-05,0.01294149924069643,0.014163830317556858,0.011032634414732456,0.00982533860951662,1f38b97ab60bbcad38f82bbc885d587a06732747021a9e6a59470e123be4cbf5
112,2,0.00022414415434468538,0.00025457979063503444,3.0435636290349066e-05,0.0145229771733284,0.015739066526293755,0.010770550929009914,0.011491499841213226,9ad2af2fccbcbdeb18655dfbf40c49e034159a8a9759d75c1d5141ff9e7ba37d
116,3,0.0001460222265450284,0.00014953834761399776,3.516121068969369e-06,0.011530709452927113,0.011663760058581829,0.011385654099285603,0.010808675549924374,6cfb270217cc4af808033aff4e20d33643ba1db868d5e645dd83d96b5b8a3001
120,2,0.00019613640324678272,0.00020196737023070455,5.830966983921826e-06,0.013276445679366589,0.013519112952053547,0.012466730549931526,0.012778553180396557,d71a90c5ffa9cb66e353b29a866526abbf5ac2dde3f679ccd568837f104c80e8
124,3,0.00019126887491438538,0.00017510878387838602,-1.6160091035999358e-05,0.013684943318367004,0.013098767027258873,0.01278664730489254,0.011316503398120403,f04e452f47aacb9ba01600b1aa6b59b43a451607c25ad9ca973f137cca96e133
128,2,0.00019362589227966964,0.0002017829829128459,8.157090633176267e-06,0.013995619490742683,0.014213086105883121,0.010932346805930138,0.010789073072373867,92592a992b1589666a33f731cc01ee02ef5dd82014f67abd261ec9bc629f1e7e
