step,p_sem_grad_norm,u_sem_grad_norm
4,0.3348305821418762,0.3277735114097595
8,0.2179316282272339,0.21623863279819489
16,0.47730499505996704,0.3694169223308563
32,0.3728271424770355,0.3038421869277954
64,0.26422783732414246,0.2263910472393036
96,0.11178429424762726,0.10687293857336044
128,0.08575218915939331,0.07447955757379532
