step,p_morph_grad_norm,u_morph_grad_norm
4,0.0008296408923342824,0.0
8,0.002560042543336749,0.0
16,0.001053537824191153,0.0
32,0.0013271602801978588,0.0
64,0.0012580860638990998,0.0
96,0.001460976549424231,0.0
128,0.0008566971519030631,0.0
