step,loss_total,loss_sshr,loss_sem_pres,loss_struct,loss_orth,loss_rec,structural_scheduled,finite
1,0.17882297933101654,0.17086678743362427,0.14327794313430786,,0.01584579609334469,0.0,False,True
2,0.24774323403835297,0.24438180029392242,0.05068892240524292,,0.01647316850721836,3.319978713989258e-05,False,True
3,0.4672689139842987,0.45353269577026367,0.26052647829055786,,0.013938677497208118,0.00012958049774169922,False,True
4,0.48214900493621826,0.4800209403038025,0.03168928623199463,0.00015634391456842422,0.010542948730289936,8.630752563476562e-05,True,True
5,0.622331976890564,0.6203329563140869,0.029496610164642334,,0.010330257005989552,7.599592208862305e-05,False,True
6,0.469133585691452,0.4657716155052185,0.052958548069000244,,0.009514927864074707,0.0023830533027648926,False,True
7,0.44469180703163147,0.4406164586544037,0.07169568538665771,,0.007698093540966511,0.001056671142578125,False,True
8,0.27070876955986023,0.2681935429573059,0.040147602558135986,0.0005005164421163499,0.007859885692596436,0.0008983612060546875,True,True
9,0.3783094584941864,0.37406283617019653,0.07427692413330078,,0.009020784869790077,0.0008174777030944824,False,True
10,0.3865203559398651,0.37990278005599976,0.12174397706985474,,0.008710132911801338,0.0009489059448242188,False,True
11,0.3187628388404846,0.3162601590156555,0.03917819261550903,,0.00916184950619936,0.0008567571640014648,False,True
12,0.2874065935611725,0.2857513427734375,0.022026002407073975,0.00028049814864061773,0.00890577957034111,0.0009462237358093262,True,True
13,0.24010398983955383,0.23450018465518951,0.09964442253112793,,0.010534183122217655,0.000948786735534668,False,True
14,0.3342694938182831,0.3237707018852234,0.19916868209838867,,0.00823662057518959,0.001284956932067871,False,True
15,0.2381843775510788,0.23248633742332458,0.10220104455947876,,0.008295344188809395,0.001732170581817627,False,True
16,0.26537245512008667,0.2598118782043457,0.09769231081008911,0.00024455334641970694,0.009926156140863895,0.0016747117042541504,True,True
17,0.26619914174079895,0.2621862292289734,0.06780576705932617,,0.009867660701274872,0.0012925267219543457,False,True
