step,images,eq_error_morphology,eq_error_semantic,affinity_eq_error_morphology,affinity_eq_error_semantic,finite
0,64,0.06337954779155552,0.046137558529153466,0.010489035659702495,0.008939599130826537,True
4,64,0.04377326898975298,0.03629990149056539,0.007968269317643717,0.007424201496178284,True
8,64,0.08668296574614942,0.05615979147842154,0.015506042313063517,0.011487877316540107,True
16,64,0.07645676622632891,0.05381735309492797,0.013558648861362599,0.011035809482564218,True
32,64,0.07985384156927466,0.05965961411129683,0.01425998899503611,0.012017807632219046,True
64,64,0.08278988231904805,0.05234591435873881,0.014134729222860187,0.01062113071384374,True
96,64,0.07881656393874437,0.0559250219957903,0.01400899951113388,0.011549469752935693,True
128,64,0.07856521056964993,0.052597058995161206,0.013293104406329803,0.010492395085748285,True
