epoch,loss_cls,lr_backbone_weight,lr_scratch_weight,optimizer_global_step,optimizer_momentum,train_accuracy,train_exact_match,val_mean_dice,val_mean_iou,variant
1,0.41413338114622816,0.0096395778991375,0.09639577899137501,1171,0.0005,0.7049803373185208,0.4000853970964987,,,UC
2,0.33157577697127216,0.00927734178871898,0.0927734178871898,2342,0.0005,0.7535107429547387,0.48821520068317675,,,UC
3,0.29657462744454255,0.008913526845035089,0.08913526845035089,3513,0.0005,0.7732448334756615,0.523868488471392,,,UC
4,0.27230572229669603,0.008548053896321633,0.08548053896321633,4684,0.0005,0.783972741246803,0.5453031596925705,,,UC
5,0.2570259168069654,0.008180835826588701,0.08180835826588702,5855,0.0005,0.7934873868488503,0.5644321093082835,,,UC
6,0.24790910284657644,0.00781177633935498,0.07811776339354981,7026,0.0005,0.8003084116140097,0.5783945345858241,,,UC
7,0.23916273695169404,0.007440768453370394,0.07440768453370393,8197,0.0005,0.8070478608027394,0.5894534585824082,,,UC
8,0.23341216215025554,0.007067692653980677,0.07067692653980677,9368,0.0005,0.8125238770281888,0.6008112724167378,,,UC
9,0.22619254848928558,0.006692414596220688,0.06692414596220689,10539,0.0005,0.8186048292058156,0.6133646456020495,,,UC
10,0.22104685857930212,0.006314782215834666,0.06314782215834666,11710,0.0005,0.8228176088813061,0.6230999146029035,,,UC
11,0.21713110527785592,0.0059346220455006315,0.059346220455006315,12881,0.0005,0.826386763450049,0.6274551665243382,,,UC
12,0.2130107286709888,0.005551734444467287,0.05551734444467287,14052,0.0005,0.8311972502135037,0.639069171648164,,,UC
13,0.20838275929096925,0.005165887311612215,0.051658873116122155,15223,0.0005,0.8356202092228967,0.6468830059777968,,,UC
14,0.20518205427492306,0.004776807631040712,0.04776807631040712,16394,0.0005,0.8386837617421108,0.6534158838599488,,,UC
15,0.2003552694029527,0.004384169834043774,0.043841698340437746,17565,0.0005,0.8425160845431345,0.659863364645602,,,UC
16,0.19846246990889793,0.003987579332698093,0.039875793326980935,18736,0.0005,0.8452095772843846,0.6660119555935098,,,UC
17,0.1947554398318522,0.003586548447294412,0.035865484472944124,19907,0.0005,0.8484118830059849,0.672929120409906,,,UC
18,0.19104221746974476,0.0031804597898155928,0.03180459789815593,21078,0.0005,0.8524611187019756,0.6810418445772843,,,UC
19,0.18857680678520317,0.0027685077578096895,0.027685077578096896,22249,0.0005,0.85408360802734,0.6849701110162254,,,UC
20,0.18560781124040776,0.002349598995662471,0.02349598995662471,23420,0.0005,0.8579727625960857,0.6925704526046115,,,UC
21,0.18254953042550742,0.0019221683515699744,0.019221683515699747,24591,0.0005,0.860054278394547,0.6970111016225449,,,UC
22,0.17936552597812666,0.0014837965879669016,0.014837965879669016,25762,0.0005,0.8648507002562014,0.7068317677198975,,,UC
23,0.17655772397041727,0.0010302623906800023,0.010302623906800023,26933,0.0005,0.8658007941930094,0.7084543125533732,,,UC
24,0.17383278795000226,0.0005523160161440768,0.005523160161440769,28104,0.0005,0.869565362937673,0.715798462852263,,,UC
25,0.17068776034015962,9.55328615544644e-07,9.55328615544644e-06,29275,0.0005,0.8722304397950593,0.7215200683176772,,,UC
1,0.4165062252829769,0.0096395778991375,0.09639577899137501,1171,0.0005,0.7045782707087852,0.3991460290350128,,,DD
2,0.3301658422696499,0.00927734178871898,0.0927734178871898,2342,0.0005,0.7538310119555927,0.48864218616567034,,,DD
3,0.29111001691458877,0.008913526845035089,0.08913526845035089,3513,0.0005,0.7728534073441504,0.5234415029888984,,,DD
4,0.26720733422687376,0.008548053896321633,0.08548053896321633,4684,0.0005,0.7847128522630281,0.5467549103330487,,,DD
