epoch,loss_cls,lr_backbone_weight,lr_scratch_weight,optimizer_global_step,optimizer_momentum,train_accuracy,train_exact_match,val_mean_dice,val_mean_iou,variant
5,0.25459745820264956,0.008180835826588701,0.08180835826588702,5855,0.0005,0.794540674637066,0.5658411614005124,,,DD
6,0.24612759807036536,0.00781177633935498,0.07811776339354981,7026,0.0005,0.8010769555935151,0.5801451750640478,,,DD
7,0.23772669443582287,0.007440768453370394,0.07440768453370393,8197,0.0005,0.8075531554227231,0.5903501280956448,,,DD
8,0.23200994697546573,0.007067692653980677,0.07067692653980677,9368,0.0005,0.8127800982066683,0.6008966695132365,,,DD
9,0.22513524770583992,0.006692414596220688,0.06692414596220689,10539,0.0005,0.8190424679760976,0.6145175064047822,,,DD
10,0.2199719941750945,0.006314782215834666,0.06314782215834666,11710,0.0005,0.8236715627668747,0.6249786507258753,,,DD
11,0.21615227028078549,0.0059346220455006315,0.059346220455006315,12881,0.0005,0.8271873484201607,0.6292058070025619,,,DD
12,0.21196259827974206,0.005551734444467287,0.05551734444467287,14052,0.0005,0.8313929248505664,0.6397096498719044,,,DD
13,0.20754752988290012,0.005165887311612215,0.051658873116122155,15223,0.0005,0.8355561528608131,0.646797608881298,,,DD
14,0.20435872070179548,0.004776807631040712,0.04776807631040712,16394,0.0005,0.8392530956447581,0.6542271562766866,,,DD
15,0.19943674953446033,0.004384169834043774,0.043841698340437746,17565,0.0005,0.8431423185311793,0.6612297181895815,,,DD
16,0.19773426139767,0.003987579332698093,0.039875793326980935,18736,0.0005,0.8461951280956554,0.6687019641332195,,,DD
17,0.19392429459537835,0.003586548447294412,0.035865484472944124,19907,0.0005,0.8484509948761816,0.6733134073441503,,,DD
18,0.19028419380916886,0.0031804597898155928,0.03180459789815593,21078,0.0005,0.852795589239977,0.6816823228010248,,,DD
19,0.1878133710890525,0.0027685077578096895,0.027685077578096896,22249,0.0005,0.854691994022217,0.6868061485909479,,,DD
20,0.1848550652218211,0.002349598995662471,0.02349598995662471,23420,0.0005,0.8581364517506551,0.6927839453458582,,,DD
21,0.18176837869936538,0.0019221683515699744,0.019221683515699747,24591,0.0005,0.8601219000854092,0.6969257045260461,,,DD
22,0.17853320518510143,0.0014837965879669016,0.014837965879669016,25762,0.0005,0.8648364730999253,0.7066182749786507,,,DD
23,0.17570801523381274,0.0010302623906800023,0.010302623906800023,26933,0.0005,0.8676830871050518,0.7120836891545688,,,DD
24,0.17306992617442912,0.0005523160161440768,0.005523160161440769,28104,0.0005,0.8703659265585096,0.7178479931682323,,,DD
25,0.17008236807752736,9.55328615544644e-07,9.55328615544644e-06,29275,0.0005,0.8728993851409186,0.722801024765158,,,DD
