RMS_D,RMS_DeltaF,RMS_DeltaF_over_RMS_F,RMS_F,bin,delta_pixel_rms,feature_cosine,feature_norm_ratio,pixels,q_max,q_mean,q_min,q_std,variant
0.04354355700095657,0.04354355700095657,0.1578653052549228,0.2758272752245461,Overall,,,,,1.0,1.0,1.0,0.0,UC
,,,,AllPixels,0.04354355111718178,0.9792664051055908,0.9970543384552002,2679712,,1.0,,,UC
0.1092002100053531,0.034656326930261674,0.13488633311087425,0.2569298618398557,Overall,,,,,1.0,0.2067962884902954,8.412825991399586e-12,0.24075384438037872,DD
,,,,Bottom20,0.0011776841711252928,0.99998939037323,0.9992939829826355,536456,,0.008551513776183128,,,DD
,,,,20-40,0.005177585408091545,0.9996899962425232,0.9946919083595276,535844,,0.045094382017850876,,,DD
,,,,40-60,0.012762418016791344,0.9975556135177612,0.9869856238365173,539086,,0.11396584659814835,,,DD
,,,,60-80,0.02716713584959507,0.9876208305358887,0.9786978363990784,534220,,0.24305573105812073,,,DD
,,,,Top20,0.07137966901063919,0.9337404370307922,1.0031458139419556,534106,,0.6255703568458557,,,DD
