CAM28_1_IoU,CAM28_2_IoU,CAM56_IoU,CAMdeep_IoU,Final_IoU,class,variant
0.7623422907320758,0.747504178631187,0.7303488382882717,0.7363430880041864,0.7640338095046368,0,C0
0.7046347431963538,0.6946552112559394,0.6797224816526987,0.6848685781834047,0.7054625017867311,1,C0
0.5755149304644537,0.5741493629524643,0.5383127952055216,0.5533840150671675,0.5782675220568197,2,C0
0.6379318382427339,0.6430369612545638,0.5096747930197356,0.6233377830893609,0.6446517490374484,3,C0
0.7633653365620475,0.7476103905833368,0.7318582213962974,0.7375609204555396,0.7657323799881776,0,UC
0.7028686677514504,0.6942474391209263,0.6802767234788567,0.6854390055360051,0.7045097450241593,1,UC
0.5745701149847207,0.5745898194391973,0.5401435647393266,0.5555162794625766,0.5784150153252047,2,UC
0.6336970847776546,0.6348572740311951,0.5056957750089982,0.6167764435065672,0.6376169193907298,3,UC
0.7654523817784505,0.7479942142734514,0.7318578659498938,0.7376746090936834,0.766003068922654,0,DD
0.7038676468904161,0.6939327863365449,0.6801268986215936,0.684273935906629,0.7043859464664901,1,DD
0.5753923015829265,0.5730015844864188,0.5360875108180743,0.5516999067069976,0.5781109663415568,2,DD
0.6343954177270574,0.6381504105322497,0.5049303171809364,0.620061009961489,0.6398256243824695,3,DD
