DD_minus_C0,DD_minus_UC,UC_minus_C0,replicate
0.0016434027822498365,-0.0006183119108313928,0.0022617146930812293,0
-0.0014946940544997567,0.0006226295514710767,-0.0021173236059708334,1
0.0021008942039041356,0.0022089295593527014,-0.0001080353554485658,2
0.00019297473321766567,0.0033204606711588758,-0.00312748593794121,3
0.00015752204342844855,0.0013438355181626394,-0.0011863134747341908,4
-0.000718948676879827,0.0006224824314805533,-0.0013414311083603803,5
-0.000699961085449563,0.0008923069797414085,-0.0015922680651909715,6
-0.0007957691990505555,0.0017705923444885086,-0.002566361543539064,7
-0.0019987996246635387,-0.0005526031927486352,-0.0014461964319149034,8
-0.0007182531628827649,-0.0005907848093180679,-0.000127468353564697,9
-0.0008197129569116335,0.0015186723653057843,-0.002338385322217418,10
-2.0388618491740118e-05,0.0017215686782326989,-0.001741957296724439,11
-0.0013658169368783168,-0.0009580359721410581,-0.0004077809647372588,12
0.0009902741228963174,0.0021472714121134606,-0.0011569972892171432,13
-0.0002923843825248795,-0.0011719067011402018,0.0008795223186153223,14
0.00047494702335637573,0.002204595292756073,-0.0017296482693996973,15
-0.001445501917713643,0.000118842193685742,-0.001564344111399385,16
-0.0026652816278324165,-0.0006675008030258001,-0.0019977808248066165,17
-0.0020296485279956977,9.408114587450278e-05,-0.0021237296738702005,18
-0.0020749886982941446,-0.00013745960017508274,-0.0019375290981190618,19
-0.0022565481564459366,0.00024819318941993185,-0.0025047413458658685,20
-0.0004032518095968829,0.0007477634447989878,-0.0011510152543958707,21
-0.0001985754522163541,-0.0013114036090260406,0.0011128281568096865,22
0.00031517963585103725,5.236239292438771e-05,0.00026281724292664954,23
-0.001695425642749604,-0.0008847029863300326,-0.0008107226564195713,24
-0.0010854269849408515,0.0008354344395552493,-0.0019208614244961009,25
-0.0017370454896952214,-0.00048327373973355847,-0.001253771749961663,26
-0.0005270351391662986,0.0011623756422287634,-0.001689410781395062,27
-0.0003307219747783474,-0.0005754617560020936,0.0002447397812237462,28
-0.0027894783876346585,-0.0028665752482103235,7.7096860575665e-05,29
-0.0013983468849276814,0.001409396144326669,-0.0028077430292543504,30
-0.0018643261110138365,-0.0013081101858306576,-0.0005562159251831789,31
-0.0019023805566177332,-0.00290944654171732,0.0010070659850995867,32
-0.001587540948121191,-0.0003316936593067421,-0.001255847288814449,33
-0.0013799413196429189,0.0014113648273047508,-0.0027913061469476697,34
-0.0017489452187923193,-0.0012274633332096663,-0.0005214818855826531,35
0.0007954833286203389,0.0036353533079113154,-0.0028398699792909765,36
-0.0026687334916064565,0.00025725443682245164,-0.002925987928428908,37
0.0010474335280677982,-0.0004423382494497252,0.0014897717775175234,38
-0.003950789409347566,-0.0013040508352250013,-0.0026467385741225646,39
0.0012150918772007024,0.003286178054896949,-0.0020710861776962464,40
-0.001700286236930748,-0.000815077604626735,-0.0008852086323040131,41
-0.002617399956213795,3.709700798271154e-05,-0.0026544969641965066,42
0.0013298824858026803,0.0031432936473763107,-0.0018134111615736304,43
0.00039192656796693814,-0.0008335857487458131,0.0012255123167127513,44
-0.0022918652688695973,0.0018932768690809176,-0.004185142137950515,45
-0.003242021770697101,-0.000702141579161264,-0.002539880191535837,46
-0.00022205203498337767,0.0012674129141254653,-0.001489464949108843,47
-6.256660569636807e-07,0.0009451182321544849,-0.0009457438982114486,48
-0.0016056900651716388,0.000975624929852259,-0.002581314995023898,49
-0.003859063142080288,-0.002445288129722112,-0.001413775012358176,50
9.84243418872266e-05,0.004556156747455242,-0.004457732405568016,51
-0.001932258454959479,-0.0014153210133681648,-0.0005169374415913142,52
-0.0022941392424939977,-0.00040751490946422386,-0.0018866243330297738,53
-0.0024701879762666357,-0.00015815243806782675,-0.002312035538198809,54
0.00029692226383848386,0.0029956397136314816,-0.0026987174497929978,55
-0.00029121948716193113,0.0012285959030151616,-0.0015198153901770928,56
-0.002247150947536025,-0.0027166484717210393,0.0004694975241850141,57
-0.0015377299278906964,6.435873503829459e-05,-0.001602088662928991,58
-0.0001890867002833918,0.0003594577693630807,-0.0005485444696464725,59
-0.0034461018725755466,0.0006865875960957446,-0.004132689468671291,60
-0.0025163540432718845,0.0017489990671787359,-0.00426535311045062,61
0.0010135165881954844,0.002345758154547628,-0.0013322415663521436,62
-0.0024219604083884905,-0.0025886978594079624,0.0001667374510194719,63
-0.0010565012132947027,-0.0012605976325005264,0.00020409641920582366,64
-0.0003032372185476362,0.0016867739408061855,-0.0019900111593538217,65
-0.0035883943987709,-0.003721753710049236,0.000133359311278336,66
-0.0010597266080192291,0.0007368162081651253,-0.0017965428161843544,67
0.002619832746938777,0.004849733259078004,-0.002229900512139227,68
-0.00012534054756085933,0.0008425395721679552,-0.0009678801197288145,69
-0.0002481359885658785,0.003766969095461592,-0.0040151050840274705,70
4.873113101244719e-05,-1.498627859819468e-05,6.371740961064187e-05,71
8.80479931152367e-05,-0.0004327118062453783,0.000520759799360615,72
0.002001667081339198,0.0014595981956003756,0.0005420688857388223,73
-0.0005485659878352589,0.0008009653779620374,-0.0013495313657972963,74
-0.0011273677243736069,7.351519757003988e-05,-0.0012008829219436468,75
0.0007850115605902985,0.0011424030363367255,-0.00035739147574642693,76
8.342135473848877e-06,0.0007625215050128809,-0.000754179369539032,77
-0.0022187330215037715,-0.00016740003187276642,-0.002051332989631005,78
-0.00494555382212547,-0.0023626979298208006,-0.0025828558923046696,79
-0.001976872152373077,0.0007013995026237119,-0.002678271654996789,80
0.000667317725559391,0.0007951170564983734,-0.00012779933093898244,81
-0.0009701708470962744,0.0001555697993438354,-0.0011257406464401098,82
-0.0027640401170927476,-0.000936008510682651,-0.0018280316064100965,83
