epoch,max,mean,min,p05,p25,p50,p75,p95,pixels,source,std
0,0.9998006820678711,0.1920993349573324,2.018289181615618e-11,0.002367095928639174,0.03305614925920963,0.11584047228097916,0.2834821864962578,0.6516275227069848,2679712,Phase0-C0,0.20692732180785015
1,0.9576291441917419,0.32879376270307775,6.39339632471092e-05,0.09727173671126366,0.2641860842704773,0.32248926162719727,0.3709050342440605,0.6516416847705835,2679712,DD,0.141605883536318
5,0.9992902278900146,0.2012431432549082,2.2095969143265393e-07,0.007639463827945293,0.046728081069886684,0.1208464652299881,0.2640117481350899,0.7574107855558395,2679712,DD,0.21969659180472864
10,0.9989722371101379,0.20416667063301078,2.301346135880067e-08,0.0069206881569698455,0.048268187791109085,0.1268473118543625,0.2742837369441986,0.7401896119117737,2679712,DD,0.21705733907085456
15,0.9997398853302002,0.2092214228006374,3.0466260070305395e-10,0.0054293553577736044,0.04349975846707821,0.12127324566245079,0.2764798030257225,0.7985461831092834,2679712,DD,0.23423527104462633
20,0.9999112486839294,0.20691903883656862,4.761394750696368e-11,0.003955021873116494,0.03935404494404793,0.11887726187705994,0.2803494855761528,0.7890958368778227,2679712,DD,0.2331962314274374
25,0.9999405741691589,0.2067974901148647,8.027643653985006e-12,0.0025834896601736545,0.032110659405589104,0.11148568242788315,0.28504205495119095,0.799432635307312,2679712,DD,0.24075348601556842
