correctable,correction_rate_among_flagged_shallow_wrong,coverage,enrichment,error_prevalence,error_rate,flagged_pixels,harm_rate_among_flagged_shallow_correct,harmful,histogram_bins,negative,negative_quantiles,net_correction_per_flagged,pixel_weighted_AUPRC,pixel_weighted_AUROC,positive,positive_quantiles,score,score_range,threshold,top_fraction
4521170,0.782097305091935,0.050000023638524224,2.615915112638862,0.27860267577378106,0.7288009499782588,7931971,1.0,2151143,65536,114441999,"{'p25': 0.01450578854580635, 'p50': 0.05209497738415543, 'p75': 0.12660703010395546}",0.2987942089046972,0.5800231585058118,0.7728578266927991,44197346,"{'p25': 0.0851468105636267, 'p50': 0.20824770220390385, 'p75': 0.3493710974402831}",S_JS,"[0.0, 0.6931471805599453]",0.43804752826690674,0.05
9236349,0.7937013123332965,0.10000001575901615,2.6329764611011446,0.27860267577378106,0.7335542873121597,15863937,0.9993035048563029,4223934,65536,114441999,"{'p25': 0.01450578854580635, 'p50': 0.05209497738415543, 'p75': 0.12660703010395546}",0.31596286596448286,0.5800231585058118,0.7728578266927991,44197346,"{'p25': 0.0851468105636267, 'p50': 0.20824770220390385, 'p75': 0.3493710974402831}",S_JS,"[0.0, 0.6931471805599453]",0.34106603264808655,0.1
15546893,0.7478749372477281,0.20000002521442584,2.35173503169187,0.27860267577378106,0.6551996725402929,31727873,0.6943836444257888,7596405,65536,114441999,"{'p25': 0.01450578854580635, 'p50': 0.05209497738415543, 'p75': 0.12660703010395546}",0.2505837060051268,0.5800231585058118,0.7728578266927991,44197346,"{'p25': 0.0851468105636267, 'p50': 0.20824770220390385, 'p75': 0.3493710974402831}",S_JS,"[0.0, 0.6931471805599453]",0.22542044520378113,0.2
17187156,0.6557398539896125,0.3000000283662291,1.9767645868529782,0.27860267577378106,0.5507319032720925,47591808,0.4252802226375245,9093121,65536,114441999,"{'p25': 0.01450578854580635, 'p50': 0.05209497738415543, 'p75': 0.12660703010395546}",0.170072021638682,0.5800231585058118,0.7728578266927991,44197346,"{'p25': 0.0851468105636267, 'p50': 0.20824770220390385, 'p75': 0.3493710974402831}",S_JS,"[0.0, 0.6931471805599453]",0.15774497389793396,0.3
3219417,0.6102963506389367,0.05000009928180175,2.387093345131247,0.27860267577378106,0.6650505932753512,7931983,0.3793387039283533,1007832,65536,114441999,"{'p25': 0.23017825455514662, 'p50': 0.5939493746750618, 'p75': 0.9376461333950932}",0.2788186762377075,0.5092690400246319,0.7382513216558754,44197346,"{'p25': 0.7397581977829628, 'p50': 1.0109207254806538, 'p75': 1.1629062751731345}",S_entropy,"[0.0, 1.3862943611198906]",1.2309942245483398,0.05
5646944,0.5810803426915946,0.10000005358065492,2.198775418105405,0.27860267577378106,0.61258471490978,15863943,0.3346052853805459,2056462,65536,114441999,"{'p25': 0.23017825455514662, 'p50': 0.5939493746750618, 'p75': 0.9376461333950932}",0.22632973403900908,0.5092690400246319,0.7382513216558754,44197346,"{'p25': 0.7397581977829628, 'p50': 1.0109207254806538, 'p75': 1.1629062751731345}",S_entropy,"[0.0, 1.3862943611198906]",1.178390383720398,0.1
9462074,0.5493326722659999,0.2000000945540969,1.9486081649210647,0.27860267577378106,0.5428874487816459,31727884,0.285785550706209,4144809,65536,114441999,"{'p25': 0.23017825455514662, 'p50': 0.5939493746750618, 'p75': 0.9376461333950932}",0.16758965079423513,0.5092690400246319,0.7382513216558754,44197346,"{'p25': 0.7397581977829628, 'p50': 1.0109207254806538, 'p75': 1.1629062751731345}",S_entropy,"[0.0, 1.3862943611198906]",1.0864638090133667,0.2
12417988,0.5294290214613372,0.3000000220626226,1.7689925902669028,0.27860267577378106,0.49284606907235107,47591807,0.25098357781360014,6057833,65536,114441999,"{'p25': 0.23017825455514662, 'p50': 0.5939493746750618, 'p75': 0.9376461333950932}",0.13363970399358865,0.5092690400246319,0.7382513216558754,44197346,"{'p25': 0.7397581977829628, 'p50': 1.0109207254806538, 'p75': 1.1629062751731345}",S_entropy,"[0.0, 1.3862943611198906]",0.9862253069877625,0.3
3230227,0.61768867198428,0.050000023638524224,2.366448215071322,0.27860267577378106,0.6592988047989585,7931971,0.3585011574759328,968825,65536,114441999,"{'p25': 0.04726982116699219, 'p50': 0.16785621643066406, 'p75': 0.3543262481689453}",0.2850996303440847,0.5177445611281193,0.7475114763651929,44197346,"{'p25': 0.24834251403808594, 'p50': 0.42278480529785156, 'p75': 0.5344905853271484}",S_lowconf,"[0.0, 0.75]",0.5878657102584839,0.05
5797015,0.5935781704692297,0.10000001575901615,2.2096843690433485,0.27860267577378106,0.615623977830976,15863937,0.33760569734541634,2058624,65536,114441999,"{'p25': 0.04726982116699219, 'p50': 0.16785621643066406, 'p75': 0.3543262481689453}",0.23565341945066978,0.5177445611281193,0.7475114763651929,44197346,"{'p25': 0.24834251403808594, 'p50': 0.42278480529785156, 'p75': 0.5344905853271484}",S_lowconf,"[0.0, 0.75]",0.545857310295105,0.1
10001291,0.5656107473886578,0.2,2.000378710522573,0.27860267577378106,0.5573108613124947,31727869,0.3004487602970984,4219978,65536,114441999,"{'p25': 0.04726982116699219, 'p50': 0.16785621643066406, 'p75': 0.3543262481689453}",0.18221560987912552,0.5177445611281193,0.7475114763651929,44197346,"{'p25': 0.24834251403808594, 'p50': 0.42278480529785156, 'p75': 0.5344905853271484}",S_lowconf,"[0.0, 0.75]",0.47250890731811523,0.2
13124100,0.5414398857786724,0.30000012292032596,1.8281072102041735,0.27860267577378106,0.5093155603642248,47591823,0.264811016279281,6184017,65536,114441999,"{'p25': 0.04726982116699219, 'p50': 0.16785621643066406, 'p75': 0.3543262481689453}",0.14582511369652723,0.5177445611281193,0.7475114763651929,44197346,"{'p25': 0.24834251403808594, 'p50': 0.42278480529785156, 'p75': 0.5344905853271484}",S_lowconf,"[0.0, 0.75]",0.3952476382255554,0.3
4182233,0.7586173182938846,0.05000001733491777,2.4947045864082993,0.27860267577378106,0.695031373038476,7931970,1.0,2419002,65536,114441999,"{'p25': 0.00060272216796875, 'p50': 0.01026153564453125, 'p75': 0.08174896240234375}",0.22229420938304104,0.5954793777963413,0.7983262992931899,44197346,"{'p25': 0.05590057373046875, 'p50': 0.31685638427734375, 'p75': 0.6004714965820312}",S_cos,"[0.0, 1.0]",0.76308274269104,0.05
8569848,0.7682805146799764,0.1000000094554097,2.5238123902934517,0.27860267577378106,0.703140885086778,15863936,1.0,4709354,65536,114441999,"{'p25': 0.00060272216796875, 'p50': 0.01026153564453125, 'p75': 0.08174896240234375}",0.24335032617378183,0.5954793777963413,0.7983262992931899,44197346,"{'p25': 0.05590057373046875, 'p50': 0.31685638427734375, 'p75': 0.6004714965820312}",S_cos,"[0.0, 1.0]",0.5974113345146179,0.1
16999152,0.7736062242546934,0.20000001260721292,2.4858853080059835,0.27860267577378106,0.6925742984771969,31727871,0.947598222384071,9242838,65536,114441999,"{'p25': 0.00060272216796875, 'p50': 0.01026153564453125, 'p75': 0.08174896240234375}",0.24446373978260313,0.5954793777963413,0.7983262992931899,44197346,"{'p25': 0.05590057373046875, 'p50': 0.31685638427734375, 'p75': 0.6004714965820312}",S_cos,"[0.0, 1.0]",0.3198397755622864,0.2
18728771,0.6712084020593581,0.3000000220626226,2.1044296753286886,0.27860267577378106,0.586299738524322,47591807,0.5502240544254146,10833220,65536,114441999,"{'p25': 0.00060272216796875, 'p50': 0.01026153564453125, 'p75': 0.08174896240234375}",0.165901475436728,0.5954793777963413,0.7983262992931899,44197346,"{'p25': 0.05590057373046875, 'p50': 0.31685638427734375, 'p75': 0.6004714965820312}",S_cos,"[0.0, 1.0]",0.1531732678413391,0.3
19271558,0.776847150447044,0.2284401451607103,2.457042285162575,0.27860267577378106,0.6845385551356189,36239595,1.0,11432195,2,114441999,"{'p25': 0.25, 'p50': 0.25, 'p75': 0.25}",0.21632038106386123,0.5064492467801229,0.7306959978572474,44197346,"{'p25': 0.25, 'p50': 0.75, 'p75': 0.75}",S_hard,"[0.0, 1.0]",1.0,0.05
19271558,0.776847150447044,0.2284401451607103,2.457042285162575,0.27860267577378106,0.6845385551356189,36239595,1.0,11432195,2,114441999,"{'p25': 0.25, 'p50': 0.25, 'p75': 0.25}",0.21632038106386123,0.5064492467801229,0.7306959978572474,44197346,"{'p25': 0.25, 'p50': 0.75, 'p75': 0.75}",S_hard,"[0.0, 1.0]",1.0,0.1
19271558,0.776847150447044,0.2284401451607103,2.457042285162575,0.27860267577378106,0.6845385551356189,36239595,1.0,11432195,2,114441999,"{'p25': 0.25, 'p50': 0.25, 'p75': 0.25}",0.21632038106386123,0.5064492467801229,0.7306959978572474,44197346,"{'p25': 0.25, 'p50': 0.75, 'p75': 0.75}",S_hard,"[0.0, 1.0]",1.0,0.2
19271558,0.4360342813344494,1.0,1.0,0.27860267577378106,0.27860267577378106,158639345,0.09989510057404712,11432195,2,114441999,"{'p25': 0.25, 'p50': 0.25, 'p75': 0.25}",0.04941625925144862,0.5064492467801229,0.7306959978572474,44197346,"{'p25': 0.25, 'p50': 0.75, 'p75': 0.75}",S_hard,"[0.0, 1.0]",0.0,0.3
