AUROC_CI,class,enrichment20,enrichment20_CI,error_prevalence,image_balanced_AUPRC,image_balanced_AUROC,net_correction20,net_correction20_CI,pixels
"{'observed': 0.7485809740674919, 'bootstrap_mean': 0.7485871556097161, 'ci95_low': 0.7397157560656191, 'ci95_high': 0.7575494860727322}",0,2.7593075301877485,"{'observed': 2.7593075301877485, 'bootstrap_mean': 2.76032049275546, 'ci95_low': 2.632464946251645, 'ci95_high': 2.9008176291406027}",0.15551638942717183,0.4855524942728734,0.7485809740674919,-0.22159525455546863,"{'observed': -0.22159525455546863, 'bootstrap_mean': -0.22161894107976127, 'ci95_low': -0.24321788883389173, 'ci95_high': -0.199453111155792}",61781842
"{'observed': 0.6702655669766214, 'bootstrap_mean': 0.670303353058423, 'ci95_low': 0.6610404700097868, 'ci95_high': 0.6796262364592259}",1,2.5007168248968537,"{'observed': 2.5007168248968537, 'bootstrap_mean': 2.501569796934106, 'ci95_low': 2.4169603074630075, 'ci95_high': 2.590065156537768}",0.2339211120501072,0.5652110032270886,0.6702655669766214,0.1313261331781668,"{'observed': 0.1313261331781668, 'bootstrap_mean': 0.13134367735149388, 'ci95_low': 0.10882426854287305, 'ci95_high': 0.1535133082743258}",66845621
"{'observed': 0.7107060713272519, 'bootstrap_mean': 0.710632285856025, 'ci95_low': 0.6960330729046399, 'ci95_high': 0.7247352749144484}",2,1.5575463111180052,"{'observed': 1.5575463111180052, 'bootstrap_mean': 1.5576641274477385, 'ci95_low': 1.5121426900323347, 'ci95_high': 1.6042206193165862}",0.5406251670485414,0.8332982276843329,0.7107060713272519,0.5464192761224367,"{'observed': 0.5464192761224367, 'bootstrap_mean': 0.5463317888401212, 'ci95_low': 0.5233092840815916, 'ci95_high': 0.5683698169888765}",20708801
"{'observed': 0.6887695908637941, 'bootstrap_mean': 0.6889411303655183, 'ci95_low': 0.6637269718768446, 'ci95_high': 0.7139882577337234}",3,1.061863572347026,"{'observed': 1.061863572347026, 'bootstrap_mean': 1.0619935496845128, 'ci95_low': 1.0467619436418434, 'ci95_high': 1.0782698927955334}",0.8338050587756894,0.968057645757608,0.6887695908637941,0.7777237844690102,"{'observed': 0.7777237844690102, 'bootstrap_mean': 0.7776569364664808, 'ci95_low': 0.758085712723605, 'ci95_high': 0.7954547741374287}",9303081
