group,count,beneficial_count,harmful_count,zero_count,beneficial_rate,harmful_rate,zero_rate,rejected_Deep_Win,rejected_Both_Wrong,Deep_Win_fraction,Both_Wrong_fraction,mean_S_D,mean_q,mean_Delta,image_auroc,auroc,auprc,positive,negative,prevalence,eligible_images,power
class0,110669,26908,83761,0,0.24313945187902664,0.7568605481209734,0.0,11243,99426,0.101591231510179,0.898408768489821,0.5744657516479492,0.232870951294899,-0.15408767759799957,0.4942864510735616,0.37870604028610383,0.18734796101777895,26908,83761,0.24313945187902664,1474,POWERED
class1,146849,55209,91637,3,0.37595761632697533,0.6240219545247159,2.0429148308807005e-05,33732,113117,0.22970534358422598,0.770294656415774,0.5872966051101685,0.2437564730644226,-0.1398869901895523,0.5643367141012243,0.48863119430296825,0.34316543788725923,55209,91637,0.37596529697778625,1999,POWERED
class2,99819,44961,54857,1,0.45042526973822616,0.5495647121289534,1.0018132820404932e-05,27628,72191,0.2767809735621475,0.7232190264378525,0.6112419366836548,0.27565768361091614,-0.11784468591213226,0.40958667569149915,0.3567428929155968,0.3518859653227565,44961,54857,0.4504297822036106,818,POWERED
class3,77848,50787,27061,0,0.6523867022916453,0.34761329770835475,0.0,40601,37247,0.5215419792415991,0.478458020758401,0.5817331671714783,0.3964286148548126,-0.12433856725692749,0.4856861999899545,0.4380796734255921,0.5785471743916432,50787,27061,0.6523867022916453,341,POWERED
