quintile,score,count,beneficial_count,harmful_count,zero_count,beneficial_rate,harmful_rate,zero_rate,rejected_Deep_Win,rejected_Both_Wrong,Deep_Win_fraction,Both_Wrong_fraction,mean_S_D,mean_q,mean_Delta
1,S_D_sym,87037,38034,49001,2,0.43698656893045484,0.5629904523363627,2.2978733182439653e-05,13733,73304,0.15778347139722187,0.8422165286027782,0.35018792748451233,0.3506862223148346,-0.27247947454452515
2,S_D_sym,87037,38266,48769,2,0.43965210197961785,0.5603249192871997,2.2978733182439653e-05,24279,62758,0.2789503314682262,0.7210496685317739,0.5156570672988892,0.3213234543800354,-0.1728319674730301
3,S_D_sym,87037,41554,45483,0,0.4774291393315486,0.5225708606684514,0.0,30997,56040,0.3561358962280409,0.643864103771959,0.6058172583580017,0.3117697238922119,-0.11698944121599197
4,S_D_sym,87037,39348,47689,0,0.4520835966313177,0.5479164033686823,0.0,30601,56436,0.3515861070579179,0.6484138929420821,0.6816993355751038,0.25924423336982727,-0.07557709515094757
5,S_D_sym,87037,20663,66374,0,0.23740478187437528,0.7625952181256247,0.0,13594,73443,0.15618644944104232,0.8438135505589577,0.7892927527427673,0.13505740463733673,-0.04042710363864899
