quintile,score,count,beneficial_count,harmful_count,zero_count,beneficial_rate,harmful_rate,zero_rate,rejected_Deep_Win,rejected_Both_Wrong,Deep_Win_fraction,Both_Wrong_fraction,mean_S_D,mean_q,mean_Delta
1,Delta_sym,87037,46690,40345,2,0.5364385261440536,0.4635384951227639,2.2978733182439653e-05,21808,65229,0.25056010662132194,0.749439893378678,0.39826831221580505,0.41460761427879333,-0.31996843218803406
2,Delta_sym,87037,33785,53251,1,0.3881682502843618,0.6118202603490469,1.1489366591219826e-05,22760,64277,0.2614979836161632,0.7385020163838367,0.5431953072547913,0.2992926836013794,-0.17376753687858582
3,Delta_sym,87037,30571,56466,0,0.3512414260601813,0.6487585739398187,0.0,21607,65430,0.24825074393648677,0.7517492560635132,0.6157828569412231,0.24766120314598083,-0.10692471265792847
4,Delta_sym,87037,31348,55688,1,0.3601686639015591,0.6398198467318497,1.1489366591219826e-05,22641,64396,0.2601307489918081,0.7398692510081919,0.6705485582351685,0.218505397439003,-0.058870404958724976
5,Delta_sym,87037,35471,51566,0,0.40753932235715845,0.5924606776428416,0.0,24388,62649,0.28020267242666913,0.7197973275733309,0.714859127998352,0.1980140656232834,-0.018773997202515602
