ResidualBeneficial_prevalence,ResidualBeneficial_binary_prevalence,CoverageHeadroom_rate,ResidualBeneficial_count_equivalent,residual_utility:all:S_D_sym:image_AUROC,residual_utility:all:Delta_sym:image_AUROC,residual_utility:all:q:image_AUROC,residual_utility:all:deep_confidence_advantage:image_AUROC,residual_utility:all:deep_entropy_advantage:image_AUROC,residual_utility:Top20:S_D_sym:image_AUROC,residual_utility:Bottom80:S_D_sym:image_AUROC,residual_utility:class0:S_D_sym:image_AUROC,residual_utility:class1:S_D_sym:image_AUROC,residual_utility:class2:S_D_sym:image_AUROC,residual_utility:class3:S_D_sym:image_AUROC,residual_utility:boundary:S_D_sym:image_AUROC,residual_utility:interior:S_D_sym:image_AUROC,rejected_winner:all:S_D_sym:image_AUROC,rejected_winner:all:Delta_sym:image_AUROC,rejected_winner:all:q:image_AUROC,rejected_winner:all:deep_confidence_advantage:image_AUROC,rejected_winner:all:deep_entropy_advantage:image_AUROC,rejected_winner:Top20:S_D_sym:image_AUROC,rejected_winner:Bottom80:S_D_sym:image_AUROC,rejected_winner:class0:S_D_sym:image_AUROC,rejected_winner:class1:S_D_sym:image_AUROC,rejected_winner:class2:S_D_sym:image_AUROC,rejected_winner:class3:S_D_sym:image_AUROC,rejected_winner:boundary:S_D_sym:image_AUROC,rejected_winner:interior:S_D_sym:image_AUROC,ctx_sym_rejected_BothWrong_accuracy,ThirdClassRescueRate,ThirdClassRescuePrecision,Rejected_Deep_Win:ctx_accuracy,Rejected_Deep_Win:third_intrusion,Rejected_Shallow_Win:ctx_accuracy,Rejected_Shallow_Win:third_intrusion
0.4055439778075272,0.405544910647949,0.24720901863458544,175124.59926387077,0.5060110258390224,0.49150820734908085,0.9089098233469601,0.6696298200721907,0.637965187391881,0.5239428341938082,0.5980651213648956,0.4933020932852168,0.5726718285731494,0.41553166747997616,0.4973860293094915,0.38128216171542645,0.5325322257070546,0.6050156933897689,0.6631548959404855,0.5055720897071,0.6561492232517477,0.6432344063320167,0.6701443478081776,0.5593092281477229,0.6383243824458731,0.7128353707691208,0.34235008436066267,0.33363515528305576,0.538079230322213,0.6135676315429495,0.3348565269938574,0.3348565269938574,0.8489445545649101,0.6574235308602888,0.0874887868714052,0.7272909220872051,0.06153681200857756
0.3993106361330281,0.3993134317212281,0.24434648250965338,173096.75863521604,0.503825689455136,0.49062924544950737,0.9061967931868579,0.6681752619300952,0.6364319570411006,0.5221578403726487,0.59038933008499,0.4942321865832885,0.570721259890357,0.40627450478540844,0.4988126118919007,0.3811502829054977,0.533746210268258,0.6134757873526326,0.6695445319721648,0.5052870643180544,0.6577537013800764,0.6448304777024597,0.675360868725523,0.5664034197694595,0.6254582163842604,0.727623927101764,0.35035596329591717,0.3088590365681524,0.5431799844553418,0.6259907080893793,0.34249248919979824,0.34249248919979824,0.8577548330404218,0.6485490009514748,0.08678547903095953,0.7336702446278943,0.058110313203571996
0.4025503974196521,0.40255317972477633,0.2474872663610971,175321.71190106572,0.5025823130456456,0.4861466276072704,0.9062106309906497,0.664777822463106,0.633113088230875,0.5297469379959744,0.5981449976230645,0.5018627982282597,0.5655393613354152,0.41179425196428227,0.47286347263920897,0.3886231271789773,0.5321121947343995,0.611635097244791,0.6681173200542518,0.4995322921585655,0.6517974027947647,0.6395775731897567,0.6778069724894886,0.5641335729888008,0.6432752612126039,0.7097875110987991,0.3548956288688377,0.3171851540554489,0.5446143031392324,0.6233416996049455,0.3350438526157376,0.3350438526157376,0.8466184045446399,0.6305678526534405,0.09570785739010038,0.7275374839752522,0.06244077810601416
0.40805066361982295,0.40805159051054435,0.2508017351265394,177669.7047757864,0.5004978164766153,0.4879255133788757,0.9054360339271166,0.6661728610548681,0.6339624830152487,0.5289710091691818,0.5910778596596212,0.48912995842660895,0.572727381279632,0.4071447583046749,0.48661194179903333,0.3853989461281689,0.5263807920380872,0.6107009862127726,0.6629538378204697,0.5048466521039462,0.6571344433585474,0.64345184673675,0.6762797781803181,0.5648112453545409,0.6351724457116342,0.7259588462954746,0.3337763780828421,0.28434909273709114,0.545385310693666,0.619209869284077,0.3325937088776507,0.3325937088776507,0.8474652134309137,0.6533935791547154,0.08618723433666241,0.7296494956650811,0.05752454205039976
0.40746764594857837,0.40747049434353555,0.25030990286370286,177321.28735796714,0.4996701794515953,0.49043029845476327,0.9055848322921842,0.6587891153369342,0.6281270105606551,0.526415561076001,0.5964375452904828,0.5007772207122435,0.565087804381638,0.3957050564014867,0.47946084761475183,0.37865719953183424,0.5314901255291065,0.6178251754435125,0.6724721073322245,0.49709879628248055,0.6494492232378338,0.6379871477692217,0.6821452626894898,0.5697761194229461,0.6449759284506693,0.7243513971718741,0.3396958248196016,0.34544512868837285,0.543172128004546,0.6278946636744178,0.3334456077319636,0.3334456077319636,0.8463109401344067,0.6561765654517808,0.08801548173063632,0.7345557495530715,0.06289693167036499
0.4112867020856598,0.41129134142489737,0.25417386418611915,180058.5446064961,0.5014952186643844,0.4837165678115843,0.906917638252016,0.6657556265814668,0.6335299040657482,0.5187101902467893,0.5957049282906292,0.4934544243633465,0.5655166123236364,0.4052398176110045,0.49189746747642615,0.38443222832074675,0.5260191616545845,0.6036099042057794,0.6630249877524319,0.5095323989985531,0.6618825331010139,0.6524955182933214,0.6699369755451849,0.5564650594051849,0.6242605519938318,0.7184963207944761,0.3530794949746298,0.31125754677587847,0.5389915474422468,0.6144731407964605,0.3404652841058509,0.3404652841058509,0.8490757404752464,0.6461772726881684,0.08904068341950636,0.733064315524723,0.05978966861059672
0.4025972207964313,0.4026037960359772,0.24635657586659815,174520.7228399292,0.5037400170212992,0.4877650297577522,0.9061817077709967,0.6677506089175229,0.6346836269388484,0.5292818692031035,0.591090574160899,0.4923034048335578,0.5607323009237992,0.4093868902034596,0.4786606336872773,0.3816816370833773,0.5311645802019496,0.6149225277521685,0.6728893026322236,0.4994505267308025,0.6506960099484741,0.6360039202175003,0.6839602090507135,0.5635520359981055,0.6311330341643698,0.737933383535169,0.3316073136187816,0.327209519556817,0.5475070896074089,0.6230112382044501,0.3332728234436178,0.3332728234436178,0.8504488531084275,0.6342972366069383,0.08966591815223866,0.7287235525325454,0.06534859086220834
0.4111975582448459,0.41120049063654385,0.24768435325837163,175461.32963870326,0.4976636115501587,0.4822778288111216,0.9089557777866801,0.6650942667904518,0.632669061920469,0.5221197320968317,0.5894280061431981,0.48097070630268757,0.5664677004215588,0.3900185789553968,0.512456914474859,0.3772249348666545,0.5257629576126825,0.6071311243522636,0.6656468013400346,0.5031710605700722,0.6535324276387473,0.639949229298569,0.6719276295962948,0.5648708051436264,0.6204287226761421,0.7156891166272574,0.341407063909203,0.27494333472110843,0.5455336613956331,0.6190483483816764,0.34722953088152175,0.34722953088152175,0.8672962710544251,0.660533382966843,0.0818952910207663,0.7343241660138745,0.056782334384858045
0.40077602621697656,0.40077974427541996,0.2473352522475199,175214.02403890883,0.49980054328491497,0.48665283898870804,0.9025041235272444,0.6608259338644901,0.6305105441896479,0.5213794564443599,0.5913744016808852,0.486585838637083,0.5703883795029215,0.40482369444373184,0.501121672984967,0.3929997911869799,0.5266343942567151,0.6123509828862908,0.6678258384725502,0.5040338239798209,0.6510740048765652,0.638683058586842,0.6730492050432023,0.5663466506900521,0.6302698891953876,0.7110439648163546,0.334118523578874,0.3376513710880567,0.543971746036926,0.6243881862468883,0.3354988210930775,0.3354988210930775,0.8506349733516788,0.6540824173338762,0.07832813136110735,0.7319724014409867,0.05962727019857665
0.39973881012998064,0.3997406290882202,0.2457128632283797,174064.7123010268,0.4999462167362611,0.4816056049957931,0.9081678086823204,0.6680135147635322,0.6362825393713836,0.5250313319925836,0.5909648104868005,0.4897795710165915,0.5644738111151592,0.4069852005615456,0.4974812273127063,0.3819801799252819,0.5283795722286895,0.6054887200552799,0.6607431763193921,0.506455773441428,0.6542514015940716,0.6412344042217023,0.6759669758448967,0.5539680863446365,0.619846152472292,0.7269992314733735,0.3374430529889641,0.3358593231779572,0.5425968393499979,0.6182914379803587,0.3347518465567014,0.3347518465567014,0.8527178133250505,0.6413476373291235,0.08949266262423307,0.7229904448469932,0.0590179349253979
