group,count,beneficial_count,harmful_count,zero_count,beneficial_rate,harmful_rate,zero_rate,rejected_Deep_Win,rejected_Both_Wrong,Deep_Win_fraction,Both_Wrong_fraction,mean_S_D,mean_q,mean_Delta,image_auroc,auroc,auprc,positive,negative,prevalence,eligible_images,power
Top20,152536,122719,29814,3,0.8045248334819322,0.19545549902973725,1.966748833062359e-05,82555,69981,0.5412164997115435,0.4587835002884565,0.5331577658653259,0.5058512091636658,-0.1791791468858719,0.5247515256290863,0.5124950613315153,0.7829996844925818,122719,29814,0.8045406567759108,2541,POWERED
Bottom80,282649,55146,227502,1,0.19510417514302192,0.8048922869000067,3.5379569713673143e-06,30649,252000,0.10843484321543681,0.8915651567845632,0.6184138059616089,0.1513662487268448,-0.11217577755451202,0.5931086050491008,0.5412691094805977,0.19569918641287834,55146,227502,0.19510486541564065,2714,POWERED
