metric,estimate,ci_low,ci_high,resamples,valid_resamples,seed
ResidualBeneficial_prevalence,0.4087112377494629,0.39920456398934606,0.41846762836292806,10000,10000,42
ResidualBeneficial_binary_prevalence,0.40871499445058496,0.3992082040615189,0.41846962414285455,10000,10000,42
CoverageHeadroom_rate,0.2510774173603592,0.2443390294893163,0.25779492001879556,10000,10000,42
ResidualBeneficial_count_equivalent,177865.0,173091.47886343807,182623.72590575492,10000,10000,42
residual_utility:all:S_D_sym:image_AUROC,0.5001787415191201,0.4913408274727741,0.5090476197609094,10000,10000,42
residual_utility:all:Delta_sym:image_AUROC,0.48525644053632877,0.4775557654690122,0.49315340196763596,10000,10000,42
residual_utility:all:q:image_AUROC,0.9066995382083064,0.9029522939273831,0.9102863064148355,10000,10000,42
residual_utility:all:deep_confidence_advantage:image_AUROC,0.6652550668546783,0.6586240641192656,0.6716868077197714,10000,10000,42
residual_utility:all:deep_entropy_advantage:image_AUROC,0.6333397781073876,0.6265073340891695,0.6400101166093032,10000,10000,42
residual_utility:Top20:S_D_sym:image_AUROC,0.5247515256290874,0.5143975402110575,0.535469983278196,10000,10000,42
residual_utility:Bottom80:S_D_sym:image_AUROC,0.5931086050491015,0.5840514215949477,0.6019974731096281,10000,10000,42
residual_utility:class0:S_D_sym:image_AUROC,0.4942864510735616,0.48004061474346266,0.5085698327148135,10000,10000,42
residual_utility:class1:S_D_sym:image_AUROC,0.5643367141012252,0.5515328593944847,0.5773207610752293,10000,10000,42
residual_utility:class2:S_D_sym:image_AUROC,0.40958667569149937,0.39005782638637104,0.42894231326380244,10000,10000,42
residual_utility:class3:S_D_sym:image_AUROC,0.4856861999899549,0.45477160656078847,0.5164565020896078,10000,10000,42
residual_utility:boundary:S_D_sym:image_AUROC,0.3833790454184211,0.372800851817326,0.3941347581148625,10000,10000,42
residual_utility:interior:S_D_sym:image_AUROC,0.5284992691343944,0.519208778204636,0.5377677544603089,10000,10000,42
rejected_winner:all:S_D_sym:image_AUROC,0.6082740385462058,0.5993209769715426,0.6173963720011889,10000,10000,42
rejected_winner:all:Delta_sym:image_AUROC,0.6645100372129914,0.6557621984673826,0.6735464728454872,10000,10000,42
rejected_winner:all:q:image_AUROC,0.503636414148502,0.4956628923858877,0.5115560528652473,10000,10000,42
rejected_winner:all:deep_confidence_advantage:image_AUROC,0.6541637680614467,0.6467300473875734,0.6614959266221797,10000,10000,42
rejected_winner:all:deep_entropy_advantage:image_AUROC,0.6415514893894037,0.6340058847775973,0.6490249680582022,10000,10000,42
rejected_winner:Top20:S_D_sym:image_AUROC,0.6747321730582169,0.6637503872095153,0.6856599281534748,10000,10000,42
rejected_winner:Bottom80:S_D_sym:image_AUROC,0.5617236236985247,0.5526624882339711,0.5708643221416098,10000,10000,42
rejected_winner:class0:S_D_sym:image_AUROC,0.6322522159958062,0.6167692342571147,0.6475589975280857,10000,10000,42
rejected_winner:class1:S_D_sym:image_AUROC,0.7212493756782932,0.7092595786239744,0.7327088923586914,10000,10000,42
rejected_winner:class2:S_D_sym:image_AUROC,0.3481276551901994,0.32676924142019587,0.36941443073745733,10000,10000,42
rejected_winner:class3:S_D_sym:image_AUROC,0.30414338262810536,0.2446997511487224,0.3671153988415687,10000,10000,42
rejected_winner:boundary:S_D_sym:image_AUROC,0.5425796108414607,0.5307497117862712,0.5545555460459276,10000,10000,42
rejected_winner:interior:S_D_sym:image_AUROC,0.6180485410498046,0.6084733510707767,0.627930606490921,10000,10000,42
ctx_sym_rejected_BothWrong_accuracy,0.3371037421462757,0.32423468281816864,0.34996457160296973,10000,10000,42
ThirdClassRescueRate,0.3371037421462757,0.32423468281816864,0.34996457160296973,10000,10000,42
ThirdClassRescuePrecision,0.8499287425806149,0.8374951175230955,0.8618499782092806,10000,10000,42
Rejected_Deep_Win:ctx_accuracy,0.6487579944171584,0.6314269006274266,0.6656157047639849,10000,10000,42
Rejected_Deep_Win:third_intrusion,0.08803575845376488,0.08143115719155573,0.0949862513335667,10000,10000,42
Rejected_Shallow_Win:ctx_accuracy,0.7318300590341624,0.7199121645699366,0.7435558856934695,10000,10000,42
Rejected_Shallow_Win:third_intrusion,0.058958123073094525,0.05417980937323927,0.06390955481379464,10000,10000,42
