group,count,beneficial_count,harmful_count,zero_count,beneficial_rate,harmful_rate,zero_rate,rejected_Deep_Win,rejected_Both_Wrong,Deep_Win_fraction,Both_Wrong_fraction,mean_S_D,mean_q,mean_Delta,image_auroc,auroc,auprc,positive,negative,prevalence,eligible_images,power
boundary,76452,24865,51586,1,0.3252367498561189,0.6747501700413331,1.3080102548003977e-05,15145,61307,0.19809815308952022,0.8019018469104798,0.6182384490966797,0.2326919287443161,-0.12446992099285126,0.38337904541842116,0.32774943560032455,0.23586005383355843,24865,51586,0.32524100404180456,1819,POWERED
interior,358733,153000,205730,3,0.42650104673949707,0.5734905904948806,8.36276562234308e-06,98059,260674,0.27334814472044666,0.7266518552795533,0.5821996331214905,0.28476405143737793,-0.1380460262298584,0.5284992691343946,0.4541834066733192,0.37269553199605593,153000,205730,0.4265046134976166,2836,POWERED
