population,count,candidate,Repair,Harm,WrongToWrong_activated,StableCorrect_activated,WrongToWrong_full,StableCorrect_full,NetRepair,raw_accuracy,diagnostic_accuracy,hard_accuracy_delta
U_R,1782105,202678,108541,65006,29131,0,326644,1281914,43535,0.7558028286773226,0.7802318045233025,0.024428975845979896
all_foreground,2479143,202678,108541,65006,29131,0,599866,1705730,43535,0.7142532721993043,0.7318137759701638,0.017560503770859527
