group,universe,candidate,candidate_rate,rescue,failure,precision,image_auroc,pooled_auroc,auprc,eligible_images,power,gradient_image_auroc,gradient_power,rawcorrect,rawcorrect_hard_harm,rawcorrect_gradient_harm,count,beneficial,harmful,zero,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm
Top20,276393,52574,0.19021465811362806,28054,24520,0.5336097690873816,0.6134818318749976,0.6510426844011276,0.685997130541916,1615,POWERED,0.6096936097571103,POWERED,123857,0.09815351574799971,0.09057219212478908,52574,40792,11782,0,0.7758968311332598,0.22410316886674023,0.0,0.3148916343062185,0.38753249254207045
Bottom80,1505712,150104,0.09968971489899794,80487,69617,0.5362082289612535,0.6270830013540294,0.6363416513185887,0.6773603958643956,2101,POWERED,0.629649224101823,POWERED,1223063,0.043210366105425474,0.04227419192633577,150104,97842,52262,0,0.6518280658743272,0.3481719341256729,0.0,0.21455478113112358,0.4088101755153728
Q1,471814,22693,0.048097343444662516,10741,11952,0.47331776318688584,0.6269119426993042,0.649231157164424,0.6309859292766762,1107,POWERED,0.6338989615522576,POWERED,436137,0.02326562525078129,0.023254160963183588,22693,12544,10149,0,0.5527695765213942,0.44723042347860575,0.0,0.13632192734941048,0.6808350302122904
Q2,411242,36032,0.08761750988469076,18860,17172,0.5234236234458259,0.6166820079612814,0.6454327947367524,0.6784228154564503,1685,POWERED,0.6339355621465987,POWERED,351286,0.03849854534481875,0.03838183132831938,36032,22515,13517,0,0.6248612344582594,0.3751387655417407,0.0,0.22725033711755024,0.5811041277414413
Q3,339381,44966,0.13249415848264928,24660,20306,0.5484143575145666,0.6236197773967511,0.636149653608788,0.6860028074046568,1816,POWERED,0.6290940552692752,POWERED,258714,0.05968366613325912,0.05906908787309539,44966,29587,15379,0,0.6579860338922742,0.34201396610772583,0.0,0.22963368956937047,0.4615967159631935
Q4,290794,55080,0.18941243629510926,31289,23791,0.5680646332607117,0.6113147112009999,0.6258369820950781,0.694011020900742,1833,POWERED,0.6109426060706389,POWERED,182729,0.09068073485872521,0.08519173201845355,55080,39066,16014,0,0.7092592592592593,0.29074074074074074,0.0,0.22697919643047193,0.3278599387066593
Q5,268874,43907,0.16329953807359582,22991,20916,0.5236294896030246,0.6066297077973526,0.6563264559633489,0.6846941047752721,1390,POWERED,0.5951411012315548,POWERED,118054,0.07898080539414166,0.07156047232622359,43907,34922,8985,0,0.7953629261848908,0.2046370738151092,0.0,0.33368445532591284,0.3947153448720422
