CandidatePrecision,CandidateRate,ThirdRescue_count_equivalent,ThirdRescue_to_gap,Hard_NetRepair_count_equivalent,Hard_accuracy_delta_UR,Hard_accuracy_delta_foreground,RawCorrect_hard_HarmRate,RawCorrect_gradient_HarmRate,Candidate_gradient_BenefitRate,Candidate_gradient_HarmRate,Candidate_gradient_Mean_dM,BW_prevalence_candidate,BW_prevalence_UR,DeepWin_intrusion,ShallowWin_intrusion,rescue:all:M_alt:image_AUROC,rescue:all:C_ctx:image_AUROC,rescue:all:E_ctx:image_AUROC,rescue:all:q:image_AUROC,rescue:all:Delta_sym:image_AUROC,rescue:all:D_hier:image_AUROC,rescue:Top20:M_alt:image_AUROC,rescue:Bottom80:M_alt:image_AUROC,rescue:Q1:M_alt:image_AUROC,rescue:Q2:M_alt:image_AUROC,rescue:Q3:M_alt:image_AUROC,rescue:Q4:M_alt:image_AUROC,rescue:Q5:M_alt:image_AUROC,rescue:class0:M_alt:image_AUROC,rescue:class1:M_alt:image_AUROC,rescue:class2:M_alt:image_AUROC,rescue:class3:M_alt:image_AUROC,rescue:boundary:M_alt:image_AUROC,rescue:interior:M_alt:image_AUROC,bothwrong:all:M_alt:image_AUROC,bothwrong:all:C_ctx:image_AUROC,bothwrong:all:E_ctx:image_AUROC,bothwrong:all:q:image_AUROC,bothwrong:all:Delta_sym:image_AUROC,bothwrong:all:D_hier:image_AUROC,bothwrong:Top20:M_alt:image_AUROC,bothwrong:Bottom80:M_alt:image_AUROC,bothwrong:Q1:M_alt:image_AUROC,bothwrong:Q2:M_alt:image_AUROC,bothwrong:Q3:M_alt:image_AUROC,bothwrong:Q4:M_alt:image_AUROC,bothwrong:Q5:M_alt:image_AUROC,bothwrong:class0:M_alt:image_AUROC,bothwrong:class1:M_alt:image_AUROC,bothwrong:class2:M_alt:image_AUROC,bothwrong:class3:M_alt:image_AUROC,bothwrong:boundary:M_alt:image_AUROC,bothwrong:interior:M_alt:image_AUROC,gradient:all:M_alt:image_AUROC,gradient:all:C_ctx:image_AUROC,gradient:all:E_ctx:image_AUROC,gradient:all:q:image_AUROC,gradient:all:Delta_sym:image_AUROC,gradient:all:D_hier:image_AUROC,gradient:Top20:M_alt:image_AUROC,gradient:Bottom80:M_alt:image_AUROC,gradient:Q1:M_alt:image_AUROC,gradient:Q2:M_alt:image_AUROC,gradient:Q3:M_alt:image_AUROC,gradient:Q4:M_alt:image_AUROC,gradient:Q5:M_alt:image_AUROC,gradient:class0:M_alt:image_AUROC,gradient:class1:M_alt:image_AUROC,gradient:class2:M_alt:image_AUROC,gradient:class3:M_alt:image_AUROC,gradient:boundary:M_alt:image_AUROC,gradient:interior:M_alt:image_AUROC
0.5340019472261962,0.11352874000761325,106780.04586014948,3.415212878530975,42980.16463223787,0.02411763876552609,0.017239836333219117,0.04836445438604749,0.046875455272872346,0.6826319345096169,0.3173680654903831,0.24329964983322847,0.629018637736449,0.18104639851118726,0.0874887868714052,0.06153681200857756,0.6180218495874534,0.6154737576312124,0.5584201239821126,0.5256436952583652,0.46822369467492614,0.5601733088278215,0.6210665315553346,0.6147058756349503,0.5922448228935396,0.5969883144477319,0.6083815001778609,0.609750262353933,0.6129605248167532,0.6222282850296046,0.6151961321297285,0.5388180712689062,0.5407419230730377,0.5540204931623562,0.6417582462900017,0.7588301361038186,0.276739778225461,0.2924613641184779,0.6006630626617909,0.2859019832948195,0.6270288035270108,0.7579256821121587,0.7529257156765312,0.719375207061878,0.7396182726558467,0.7411263197397739,0.7397174847393071,0.7618469204068524,0.7740916595128258,0.728263011501859,0.5423533556658318,0.5929721936075139,0.564535053154547,0.7812920323996009,0.61956586035578,0.5854441853180876,0.5104720338944831,0.574979271861025,0.47029783758866217,0.5690655358832545,0.614455491732454,0.6174705584286129,0.6026135060064578,0.614752746215347,0.6115562300592833,0.6095294734442972,0.6038274539596198,0.6600796602980107,0.6185936799024396,0.5256454212181447,0.5270267577997215,0.5560001929161367,0.6379718721300949
0.5501648088971642,0.1111463486118662,110596.03080231682,3.537261907577459,47399.71802448503,0.026597601165186693,0.019097283577773853,0.04544280862201761,0.043999479165517226,0.6936567445839519,0.3063432554160481,0.25260966420319947,0.6414010014342149,0.17854058577031415,0.08678547903095953,0.058110313203571996,0.6306662379212564,0.6286757090705932,0.5598722392075023,0.5376555603985975,0.45339350231452835,0.5619100854957894,0.6015263340576849,0.6354976907359275,0.6211308884756777,0.6292519325773276,0.6287986483125735,0.6166878413427976,0.605350289734827,0.6186490413677832,0.640903969099784,0.5137661410886794,0.562702830748831,0.5470954038757001,0.6553155289128938,0.7639582767908268,0.27444599723003993,0.2886964199472067,0.6109741984991858,0.2766618705512201,0.6288791099400495,0.7625075444846843,0.7576812025252097,0.7228117499314932,0.7459427193843988,0.7489644126432428,0.7495122681792828,0.7639422575243638,0.7693674921494826,0.7326193151542559,0.5237865585928696,0.5851443454055261,0.5682403704173995,0.7876132975006008,0.6323273444207477,0.5986203059376107,0.5180795021727673,0.5813404074070109,0.4540990489450378,0.5728217005976918,0.6029097111448922,0.6337266754753395,0.6325889875965615,0.6368239592775428,0.6319300014173954,0.6179287177577123,0.5975846616361248,0.6577214303738982,0.6394202508144092,0.5235624033107721,0.5438770822291773,0.5509016473837813,0.654362701212721
0.5277644189898814,0.11544699489100627,109013.7876102685,3.4866560356383443,41597.074921626576,0.023341539876509283,0.016761931917262,0.04968052302309722,0.048023838467696506,0.6792870779230242,0.32071292207697577,0.23329784642721887,0.6233793361411076,0.1818532580350283,0.09570785739010038,0.06244077810601416,0.621449045912626,0.6208912018128661,0.5632121041487173,0.5317235596877141,0.46270608732953505,0.5621209820365559,0.6156386124441695,0.6229424171666904,0.626189234380806,0.617594544305659,0.616704391266288,0.6149366650723511,0.5998474291360743,0.6242158241530418,0.6083012696135349,0.555699756193237,0.5272177873417568,0.543972898624403,0.642806565170859,0.755721741145493,0.2771808002786617,0.2916802163658391,0.6077328032154771,0.2840976882719073,0.6279127373722878,0.7572805675407178,0.7497840469377983,0.7156458748905621,0.7368552588859897,0.7388948303748937,0.7389402870050719,0.7580824341078279,0.7731797668648486,0.725718898877615,0.5330624374471683,0.5535290190636789,0.5690387357755279,0.7807582923324976,0.6193954807222893,0.5884942160413679,0.5140798158811255,0.5795082945229368,0.46608407563554854,0.5711127304942727,0.6032450916879045,0.6230633507190629,0.62400901332214,0.6347430520563522,0.6216100308576405,0.609983295795338,0.5849370650667086,0.6674755824145056,0.6154820604037776,0.5403880042820716,0.5170787009011334,0.5477654979902735,0.635083154193109
0.5336857513030234,0.11313315084065793,106739.89249838397,3.413928628490499,42895.88665593641,0.024070347513719118,0.0173187409104284,0.048171361725374694,0.04670093940761502,0.6827941569166559,0.31720584308334404,0.23527872281184625,0.6297435491687353,0.18153545599951665,0.08618723433666241,0.05752454205039976,0.6274566813331909,0.6238907119094413,0.5675117908020483,0.5275605537509661,0.46723226327684103,0.5711902218397525,0.6165201781822985,0.6287530553877574,0.6209413526656947,0.6119199560020795,0.6316958698856491,0.6191359428549099,0.6130770050374522,0.6219966072950346,0.6271765150351697,0.5078623671748311,0.5447993250549217,0.5409759964240414,0.6524995740547804,0.7577971641258558,0.2835478647544879,0.29976788156023876,0.6019555776266945,0.28898865848986616,0.6292659040870908,0.7538626174132005,0.7519784980197506,0.7098884973087288,0.7389154152024544,0.7444988627892155,0.7392841905926096,0.7591187976322473,0.7533864786375194,0.7308961025573423,0.5309806435528704,0.5757121120197116,0.5674404060013314,0.7826440716052048,0.6283988848910016,0.5948419078547176,0.5203424251407968,0.5757396263822715,0.4648295017449762,0.5798980642140446,0.6149860813639961,0.6307998962340636,0.6235532597288397,0.6328412582819658,0.6371414589870938,0.6209929958555475,0.5941940441742868,0.6661265276053803,0.6209513162276954,0.5167344044635696,0.5403946997156688,0.5452577270664785,0.6525937083188371
0.5373928777864341,0.1122449727984149,108416.97783729312,3.4675678960306113,44083.42298789229,0.024736714721013797,0.017790130344372875,0.046950569062842194,0.04539847798301112,0.6873966474830991,0.3126033525169008,0.2449164061220772,0.6349827850518962,0.18089801619965393,0.08801548173063632,0.06289693167036499,0.6227729509038195,0.6222984292616506,0.5621771735985805,0.5314505379990898,0.458642200896002,0.565123235277424,0.6111027114505736,0.6268843599392371,0.6427715266142545,0.6270485932882335,0.6213123008175631,0.6090975522167611,0.5995065385081554,0.6198329928647799,0.6296421098961879,0.5204327604374152,0.5572208758036913,0.5439790386618121,0.6479107343303706,0.7611835732763904,0.2778972174264283,0.29358936109108613,0.6072371406172579,0.28045662687863715,0.632275723776039,0.7624235267745575,0.7534924101065937,0.7166302348865592,0.7422033084224209,0.7446916626081178,0.7431113841083518,0.7657687584937904,0.7711638338561352,0.7341783197867113,0.5026750342576706,0.5878613874878117,0.5649836397832935,0.7867840695817073,0.6250870068241103,0.5907755104569075,0.5132359437624381,0.58515659745767,0.4558456970011659,0.5733185746569786,0.6101429277297986,0.6292992682285005,0.6368910195525939,0.63593938929559,0.6290713211011804,0.6129952676015515,0.595220906621131,0.6704647195292738,0.6270563328034707,0.5251924787113498,0.5400894340475166,0.5504172291964109,0.6477293535046543
0.5341889363335413,0.11661900560238979,109966.58648246594,3.5171299968805063,44264.63515366707,0.024838399058230053,0.017897639195237187,0.0498122034987887,0.04818944530092083,0.6841577508036271,0.3158422491963729,0.2405188841863451,0.6291416782612868,0.18297484491736854,0.08904068341950636,0.05978966861059672,0.6190396095836146,0.6163262395139184,0.5592595241462912,0.5308860837356089,0.46796764232382754,0.568183237749269,0.6014157868447704,0.6216221426275846,0.6237418872888937,0.6207650809788985,0.6211310248181006,0.5990403393185288,0.5973463061586212,0.6230373133400632,0.610569243191007,0.5314164773116471,0.5087286225848439,0.5484436935776261,0.6401034822111717,0.7598802185301297,0.2780458528898422,0.2921445226953834,0.6057607595516175,0.2858625415189126,0.6280614849518352,0.7563048235787627,0.7539221560020694,0.7122186152905093,0.7414557645247798,0.7427433892175963,0.7410903949924306,0.7613294622074027,0.7641195337977851,0.7348148108578093,0.5239661007446794,0.5842855240293681,0.5677955340949988,0.7836876210511571,0.6242907982060056,0.5863168196331359,0.5100615895786067,0.5804433107800332,0.464715680090183,0.5755803647866351,0.6067258559489471,0.6293349469771664,0.6357801775078168,0.6428829915759043,0.6305560006354661,0.6008866516938346,0.5950003710151895,0.6719327801206426,0.6182483436487252,0.5358745364596292,0.5291031712273134,0.5480881414709796,0.6452427540327441
0.5309416369574431,0.11279466202938718,107694.16735337788,3.444449797012022,41012.227128647384,0.023013361798910493,0.016512327245844376,0.04858600814262488,0.04699275700622924,0.6784522948817032,0.3215477051182967,0.23784150695306464,0.6243075465583007,0.17969476742551127,0.08966591815223866,0.06534859086220834,0.6248581020253089,0.6230555687060271,0.5614170540891105,0.5335054091523724,0.4585443253675276,0.5631884823014899,0.6082645840011185,0.629559276019533,0.6374102213355896,0.6247287050143161,0.6292302974713803,0.6123289877789878,0.5879292353827406,0.6275339964383655,0.6359057395258486,0.521047411708539,0.4878108886708811,0.560574647228013,0.6494584038114087,0.7611857547428863,0.2765992323171763,0.29104904965773004,0.607556919818726,0.28194925453726194,0.6296789344960689,0.7586143234932511,0.7552193213421154,0.7157612113091234,0.7409138293372022,0.7445065432879365,0.7413228815459312,0.7598469963764553,0.765995229432085,0.7268213934920409,0.5358820198885961,0.576380050559227,0.5678458834414009,0.7848803898313025,0.6251385811761893,0.5915075764025441,0.5144674319385769,0.5810837568060246,0.45828218018518196,0.5666280260251614,0.6111939052376207,0.6316378410586885,0.6417893939390938,0.6425573547313125,0.6300056067131853,0.603806322422218,0.5846166394255797,0.6762534867879657,0.6326770549024455,0.5137826978477039,0.5264067086761224,0.5525322063717355,0.6450514347657089
0.5427818483708319,0.1110180985527246,108427.5003500854,3.4679044441273397,42642.03634085213,0.02392790342928847,0.017102071733051838,0.04762453695595789,0.04609491211307696,0.6785026987778066,0.32149730122219344,0.2392907360202264,0.6258321020000914,0.17354114030014306,0.0818952910207663,0.056782334384858045,0.6322404816072473,0.6274977394949642,0.5586203941534863,0.5330527264765206,0.463434253234274,0.569360376685689,0.6242564659485615,0.6343245849951644,0.6157220200844439,0.622996862957652,0.6301668998200237,0.6236334132014602,0.6094998251295319,0.6209548598284728,0.6254720620608369,0.5258464258597073,0.5452129054552621,0.561079645439204,0.6571441380948092,0.7636949840263746,0.27676103603959906,0.29196528225537605,0.6091355743198121,0.2799878492310948,0.6280184854125241,0.7609627843739364,0.7581019165767968,0.7171083667001972,0.7438280004201292,0.7472280758581178,0.7451006194414656,0.7664951838754609,0.7652102281626816,0.7320300510121225,0.5179172462141183,0.6005257276413319,0.5643683440488564,0.7876711294961978,0.6317001732768966,0.595779593330435,0.5100440532572591,0.5892938887520385,0.4565522361360976,0.5738876168417982,0.6167233815978721,0.6325852357548863,0.6338270002640504,0.6408741506589303,0.6346784038798411,0.6178283018103587,0.5936421740047901,0.6669420818174113,0.6193806143893884,0.5374863975145343,0.5316586911182198,0.5535925887321637,0.65015089997878
0.5343914555389965,0.11302461275173664,109073.906170249,3.4885788450792874,41418.030634554874,0.02324107201009754,0.01671804768034211,0.04902741549660446,0.04747836252284501,0.67625434674615,0.32374565325384996,0.23050156625737567,0.6282265275707899,0.18002861268885162,0.07832813136110735,0.05962727019857665,0.6248257217333008,0.621927005058072,0.562087835875661,0.5347993593053427,0.46099839563660844,0.5656686863413041,0.607181261135602,0.6270133312786532,0.6182614114082758,0.6234756470241135,0.6274973374091953,0.6147194183581112,0.5953408446482664,0.6221566591677993,0.6153603477635843,0.5151428192519852,0.5602217970432313,0.5467732056161287,0.6504352177785061,0.759963818162537,0.2840325003592296,0.2973209578659439,0.6072754238317496,0.28208642999849864,0.6316042756095054,0.7569924296233534,0.7535754162368222,0.7069228888261186,0.7373694992457087,0.7434474212322205,0.7432623357420469,0.7618701191562218,0.7657184634442068,0.7265185465285428,0.5280283967169201,0.5911751214597535,0.5699525000147152,0.7840549614032368,0.6304986675387415,0.5943177312712996,0.5188242734442771,0.5775181001534598,0.4579505165289815,0.5690475792825955,0.6151901534247204,0.6332073335238901,0.6281808333452968,0.6426181268736071,0.6285503077716256,0.6149601444938847,0.5996737940490973,0.6685884663753815,0.6158301172536105,0.535390130158538,0.5520853733453678,0.5524006907577208,0.6535648272695779
0.5319856022400822,0.11540525823213106,108793.4173339897,3.4796077954963756,41994.48730112229,0.02356454153998911,0.016948348331201502,0.050153616947155026,0.04850144722359141,0.6774456087316697,0.32255439126833024,0.22916232968628866,0.6238706333173466,0.1834013357470556,0.08949266262423307,0.0590179349253979,0.622649618825404,0.6164241243461114,0.5490322086743818,0.5378883506428412,0.46600573573891224,0.566747950882192,0.6127907357552871,0.6228116159925077,0.624639147294548,0.617893743890896,0.6215266931135802,0.6099866796279683,0.6095961853522346,0.6133976369023555,0.621352080146334,0.5027240341250887,0.5294043598049731,0.5480077817724578,0.6453181277169936,0.7564054339980809,0.281387877893651,0.29579186188494055,0.6057812285482393,0.285458392711443,0.6290981115403912,0.7573677815264581,0.7490669270459225,0.7132918187587985,0.7371149023887701,0.7388440208192005,0.7358777303447197,0.7602566996900665,0.7564853890736274,0.7218419864700351,0.5262445937917514,0.5908745982589488,0.5663868439817352,0.7804451963314648,0.6279650858040544,0.5928842654291143,0.5098216051526903,0.586968297924153,0.4625184928178213,0.5768322033765987,0.6109909892595424,0.6293878589581111,0.6329079722454625,0.6340079680498688,0.6263718749573634,0.6169241122269775,0.5931821248792519,0.6608269338134244,0.6232963735361897,0.5185944524996432,0.5494028165755726,0.5482714459416136,0.6469501797398626
