context_after_rms,context_before_rms,context_pixels,context_rms_ratio,frozen_c0_q_mean_feature,frozen_c0_q_mean_full,mean_reliability,prediction_accuracy_delta_vs_c0,prediction_pixels,quintile,variant
0.40884464979171753,0.4750535786151886,495829,0.8606285021229093,0.007808327674865723,0.008311423473060131,0.849485456943512,-3.577296327973083e-05,31727872,Q1,GS
0.39499062299728394,0.4661833643913269,495828,0.8472859676428053,0.044284045696258545,0.04497908800840378,0.8353419899940491,-5.455771563346141e-05,31727868,Q2,GS
0.3778318762779236,0.45275911688804626,495829,0.8345097032498853,0.11389423161745071,0.11276576668024063,0.8232428431510925,-6.558902728667429e-05,31727868,Q3,GS
0.3581944406032562,0.43721920251846313,495828,0.8192559671212752,0.23950253427028656,0.23253625631332397,0.8087717890739441,-0.0003105787000878849,31727868,Q4,GS
0.3302217125892639,0.4148792326450348,495829,0.7959465950704678,0.5409759879112244,0.5259039402008057,0.783501923084259,-0.0012805776524102517,31727869,Q5,GS
0.46818143129348755,0.4714373052120209,495829,0.9930937287258821,0.007808327674865723,0.008311423473060131,0.9927104115486145,-0.00017892785245729684,31727872,Q1,RCS
0.44131073355674744,0.459450364112854,495828,0.9605188460539538,0.044284045696258545,0.04497908800840378,0.9562840461730957,-0.00025926734188379757,31727868,Q2,RCS
0.39770448207855225,0.4452325105667114,495829,0.8932512173747972,0.11389423161745071,0.11276576668024063,0.8848977088928223,-0.00034294772028174096,31727868,Q3,RCS
0.33201491832733154,0.429619163274765,495828,0.7728121711251269,0.23950253427028656,0.23253625631332397,0.7581300735473633,-0.000980336907604381,31727868,Q4,RCS
0.2248675674200058,0.4078490436077118,495829,0.5513499932006556,0.5409759879112244,0.5259039402008057,0.5175767540931702,-0.0026134437204087045,31727869,Q5,RCS
