GS_minus_C0,RCS_minus_C0,RCS_minus_GS,replicate
-0.0007843604162793838,-0.0014398699755027167,-0.0006555095592233329,0
-0.002304391520619231,-0.002010114619238612,0.000294276901380619,1
-0.0011038289450461258,-0.0020249466683511796,-0.0009211177233050538,2
-0.002608385776635691,-0.0029990207016973303,-0.0003906349250616392,3
-0.003391223280586164,-0.0038700506990018146,-0.00047882741841565046,4
-0.0030182332172190574,-0.0029640501230039362,5.418309421512113e-05,5
-0.0013556258964124712,-0.001735048578184184,-0.0003794226817717128,6
-0.002436009283806162,-0.0026240343387312626,-0.00018802505492510058,7
-0.0010105951382604061,-0.0012231931265034302,-0.000212597988243024,8
-0.0010286717728087424,-0.0014500301816101624,-0.00042135840880141995,9
-0.0024022032849648767,-0.0018104766384509086,0.0005917266465139681,10
-0.0017607687072066502,-0.0029846384801119896,-0.0012238697729053394,11
-0.0016239246553167996,-0.002676984099367563,-0.0010530594440507635,12
-0.0016380622626044339,-0.0021327256322587473,-0.0004946633696543135,13
-0.001569205944770169,-0.0019431975884074415,-0.00037399164363727255,14
-0.0023631049928236614,-0.0025999362079268673,-0.00023683121510320593,15
-0.0019235305086410248,-0.002549320901575669,-0.0006257903929346442,16
-0.0018447937861354458,-0.0018629094347513142,-1.811564861586845e-05,17
-0.0031947952522859424,-0.003934935952650709,-0.0007401407003647664,18
-0.0036139137346793415,-0.0031799829256538015,0.00043393080902554004,19
-0.00168609643425488,-0.0015358192877164,0.00015027714653848,20
-0.001582666405723021,-0.002273033077276887,-0.0006903666715538659,21
-0.001873697260012186,-0.002446235493469895,-0.0005725382334577089,22
-0.001311343087223138,-0.001603391782755037,-0.00029204869553189905,23
-0.0025523465463667128,-0.0026375463308181413,-8.51997844514285e-05,24
-0.0010136228187359597,-0.001625257398050084,-0.0006116345793141242,25
-0.0037662141285248474,-0.0029657886686769164,0.000800425459847931,26
-0.0015227470824398237,-0.0019663049927641785,-0.00044355791032435476,27
-0.0014803658771626038,-0.0023014998696361255,-0.0008211339924735217,28
-0.0020900152027570895,-0.0028291205945262243,-0.0007391053917691348,29
-0.0022202589284014973,-0.002376868942884802,-0.00015661001448330492,30
-0.0007490661696825107,-0.0010782242783102802,-0.0003291581086277695,31
-0.0015126453808365081,-0.0013336587615878637,0.00017898661924864445,32
-0.000997361386036788,-0.0018549836728287694,-0.0008576222867919814,33
-0.004152931951842742,-0.004183757444937486,-3.0825493094743806e-05,34
-0.0027680643942736838,-0.002546539092904365,0.00022152530136931858,35
-0.0022451639880286534,-0.0022686097060237165,-2.344571799506312e-05,36
-0.0036190749593922877,-0.003634029084113366,-1.4954124721078266e-05,37
-0.0005333808223910719,-0.0010020563915795755,-0.0004686755691885036,38
-0.0031189266098299306,-0.002093604796579829,0.0010253218132501019,39
-0.0021039251146550697,-0.0019776715276819123,0.00012625358697315736,40
-0.0023544426555923703,-0.0025301228291394473,-0.000175680173547077,41
-0.002466595972852592,-0.002487279354969507,-2.0683382116915006e-05,42
-0.0017211901673082064,-0.002177438136017562,-0.0004562479687093557,43
-0.0013580188895360168,-0.0019036536922926173,-0.0005456348027566005,44
-0.0024833222722604464,-0.002617195463029187,-0.0001338731907687407,45
-0.0016550850914450743,-0.003107548786017489,-0.0014524636945724145,46
-0.0014239390246201244,-0.0017073619246809058,-0.0002834229000607813,47
-0.00202964373122394,-0.0019778813711330834,5.1762360090856774e-05,48
-0.0024842397713187303,-0.001791419956377105,0.0006928198149416254,49
-0.0024671813190950687,-0.0017551920870273463,0.0007119892320677224,50
-0.0036394041577456626,-0.0031401765942388193,0.0004992275635068433,51
-0.0024006294525701355,-0.0029102553048793167,-0.0005096258523091812,52
-0.0019300489478701888,-0.0022732353956198548,-0.000343186447749666,53
-0.0021706997657657823,-0.0020370232403813526,0.00013367652538442965,54
-0.0018603475952108095,-0.0017841221058102485,7.622548940056095e-05,55
-0.0023197255760668556,-0.0025942971897188194,-0.0002745716136519638,56
-0.0014796767584567272,-0.0019788455270226546,-0.0004991687685659274,57
-0.0018689749161994174,-0.0022587449144515492,-0.0003897699982521319,58
-0.0029544742132564528,-0.0035362936740981343,-0.0005818194608416816,59
-0.0051677848702907925,-0.004062780457102511,0.001105004413188282,60
-0.00361160198952748,-0.0034524205837480615,0.0001591814057794183,61
-0.004200697526367092,-0.004067666225973876,0.00013303130039321598,62
-0.0003505041301689049,-0.0007769448931297385,-0.00042644076296083355,63
-0.0015963476004882127,-0.0018655926083835928,-0.0002692450078953801,64
-0.0006657319128893224,-0.001978684791185459,-0.0013129528782961364,65
-0.002309735059749407,-0.00192121720451488,0.000388517855234527,66
-0.0021775810127961925,-0.0026582959250671667,-0.0004807149122709742,67
-0.0015788376975620633,-0.0023816781039680546,-0.0008028404064059913,68
-0.0021511274370431543,-0.001924544813023621,0.00022658262401953344,69
-0.002944476099759785,-0.004219993405678024,-0.001275517305918239,70
-0.0025816272784415784,-0.0034500954061054134,-0.0008684681276638351,71
-0.002053895642940118,-0.002057245141915076,-3.349498974958287e-06,72
-0.0016104336709311662,-0.002359552432851686,-0.0007491187619205197,73
-0.000942354025280423,-0.002181473547413826,-0.0012391195221334028,74
-0.003145042975703727,-0.002371759511147098,0.0007732834645566289,75
-0.0008881597317140777,-0.0012985697281978625,-0.00041040999648378484,76
-0.0010875695677781128,-0.0019291450738381233,-0.0008415755060600105,77
-0.003444324340555305,-0.002496274934017384,0.0009480494065379208,78
-0.004033161203877866,-0.003790778186082866,0.00024238301779500038,79
-0.0018324684578012729,-0.0019435872893047712,-0.00011111883150349833,80
-0.0012993490914062766,-0.0018439052621265217,-0.0005445561707202451,81
-0.003083975395571481,-0.0035316987690142687,-0.0004477233734427877,82
-0.0026346967711535774,-0.002155577120496188,0.00047911965065738915,83
-0.0015736164515428586,-0.0017826806151843844,-0.0002090641636415258,84
-0.0025838875568939823,-0.0026610339227032265,-7.714636580924417e-05,85
-0.0011690330726429332,-0.0017900153456109624,-0.0006209822729680292,86
-0.0010739442089776619,-0.0017654196778905673,-0.0006914754689129055,87
-0.0014300819543310306,-0.0021956343989782967,-0.0007655524446472661,88
-0.0012864911908406773,-0.0011966280303512544,8.986316048942289e-05,89
-0.004087500040024561,-0.00407272303620787,1.477700381669056e-05,90
-0.0030783436744092896,-0.003244195968641117,-0.00016585229423182746,91
-0.0024985112557889266,-0.002586106287885692,-8.759503209676556e-05,92
-0.0017754752288763331,-0.002663818643335869,-0.0008883434144595359,93
-0.0022331926145926495,-0.001990143525232524,0.0002430490893601256,94
-0.003909859738664423,-0.0029979515415836655,0.0009119081970807574,95
-0.0020233307374125653,-0.0029556455594355047,-0.0009323148220229394,96
-0.0021480837791990615,-0.002400630483239463,-0.0002525467040404017,97
-0.001157557470803705,-0.0012479292402117759,-9.037176940807079e-05,98
-0.0032791915859107235,-0.00378405724695996,-0.0005048656610492364,99
-0.0021508017086496745,-0.002946292131417061,-0.0007954904227673865,100
-0.002731762575343688,-0.003339817910660736,-0.0006080553353170481,101
-0.000850079753740518,-0.0014937912267826148,-0.0006437114730420967,102
-0.0016184332242906718,-0.0024850697671343625,-0.0008666365428436906,103
-0.0033779859491279707,-0.002543498231057484,0.0008344877180704868,104
-0.0025780442826500716,-0.0032408833594173014,-0.0006628390767672299,105
-0.003920024361000252,-0.0029973546188080125,0.0009226697421922392,106
-0.0019220146623778467,-0.002040522333351058,-0.00011850767097321135,107
-0.001736127952965738,-0.001968228215092571,-0.0002321002621268331,108
-0.0015545057632411208,-0.001298023833396389,0.00025648192984473184,109
-0.002482368685093106,-0.002438546628544702,4.3822056548403765e-05,110
-0.0026855281286960464,-0.002817680034101655,-0.00013215190540560862,111
-0.001436218563240832,-0.0014387415300749495,-2.522966834117568e-06,112
-0.0002386893463566242,-0.0018011051703629155,-0.0015624158240062913,113
-0.0021100489132509503,-0.002807029601486599,-0.0006969806882356488,114
-0.0012961560830916374,-0.001788799151749454,-0.0004926430686578165,115
-0.002454767267203728,-0.0024936341813202034,-3.886691411647547e-05,116
-0.0025820472643143244,-0.0024155271206819373,0.0001665201436323871,117
-0.0020521389024765746,-0.0022812647834659083,-0.00022912588098933373,118
-0.001536397816828572,-0.001769779444695252,-0.00023338162786668004,119
-0.0010513263493902025,-0.0012516604639823958,-0.0002003341145921933,120
-0.0028848565478223342,-0.0022776742454022614,0.0006071823024200729,121
-0.0024881580895309563,-0.003285065954778954,-0.0007969078652479977,122
-5.794844092665841e-05,-0.001157346258120029,-0.0010993978171933705,123
-0.003418057076680414,-0.0028708007547005865,0.0005472563219798277,124
-0.003626125641033817,-0.0028270975807339616,0.0007990280602998556,125
-0.001099890418177818,-0.0017550892482844915,-0.0006551988301066736,126
-0.002486579612036688,-0.002833421891648591,-0.00034684227961190306,127
-0.0018179404553431144,-0.002292236534723102,-0.00047429607937998775,128
-0.002144401357712322,-0.0030292514918714986,-0.0008848501341591763,129
-0.0010609805935016814,-0.002306301276524203,-0.0012453206830225216,130
-0.0006048790220304356,-0.0014843874220368258,-0.0008795084000063902,131
-0.002964708227177204,-0.0019291399980363444,0.0010355682291408597,132
-0.002960960583442307,-0.001993110675557852,0.0009678499078844549,133
-0.0016204216393427284,-0.0013053595742544832,0.0003150620650882452,134
-0.0016392734418572141,-0.0019940792637812566,-0.0003548058219240424,135
-0.0023546277177799446,-0.003000128013548209,-0.0006455002957682643,136
-0.002391613442159213,-0.0029857250048017647,-0.0005941115626425519,137
-0.001446992184096052,-0.0021038554253722808,-0.0006568632412762287,138
-0.002388349091513531,-0.0026236037853082372,-0.00023525469379470643,139
-0.0028422357705341073,-0.0036566478927123613,-0.0008144121221782541,140
-0.00442297302516248,-0.003998058860148257,0.00042491416501422297,141
-0.002185969812952715,-0.0022266823025784976,-4.0712489625782666e-05,142
-0.0023167178944477618,-0.001695377113330676,0.0006213407811170857,143
-0.001840977521120002,-0.0032522059328107256,-0.0014112284116907237,144
-0.002160006295072847,-0.0024152672034989386,-0.0002552609084260915,145
-0.002486151311423712,-0.00284950085180824,-0.0003633495403845277,146
-0.0020279700365596343,-0.0019136270561684876,0.00011434298039114665,147
-0.0031522730248224606,-0.0031847137864642328,-3.244076164177212e-05,148
-0.0016527424989246642,-0.0029310291424136103,-0.0012782866434889462,149
-0.002884299352080788,-0.002913040967239433,-2.874161515864504e-05,150
-0.002890411039860319,-0.0032650730454444332,-0.00037466200558411433,151
-0.002511158320698148,-0.0018051811046514432,0.0007059772160467048,152
-0.0022895453801855536,-0.0025959367764598618,-0.0003063913962743081,153
-0.0010920875490635362,-0.0016760473758250516,-0.0005839598267615154,154
-0.0022115423187246686,-0.0021559981874146317,5.554413131003688e-05,155
-0.0016313363742058717,-0.002289439278505445,-0.0006581029042995734,156
-0.0017256815225029642,-0.002059522638632183,-0.00033384111612921874,157
-0.0034146015776637118,-0.0036702904914442946,-0.0002556889137805829,158
-0.0024270307100654476,-0.0017825913459671439,0.0006444393640983037,159
-0.0011819273530360164,-0.0019950761967451047,-0.0008131488437090884,160
-0.002722928133336855,-0.0029152546434936255,-0.0001923265101567706,161
-0.005064878710195897,-0.005070652002630904,-5.773292435007349e-06,162
-0.004049997695051433,-0.0033005389789816375,0.0007494587160697952,163
-0.00292635605565128,-0.003322509245313632,-0.0003961531896623516,164
-0.0032058925000398864,-0.0028852281901752264,0.00032066430986466,165
-0.0023280049864797814,-0.0027078735101728757,-0.0003798685236930943,166
-0.0018809114511842973,-0.0021128099539942102,-0.00023189850280991298,167
-0.0036680669562166868,-0.003576265873145301,9.180108307138557e-05,168
-0.0032955957763085575,-0.003564421428003728,-0.00026882565169517036,169
-0.003174605476232051,-0.002920297975406161,0.00025430750082588993,170
-0.0025744861307664957,-0.0030412721607516735,-0.0004667860299851778,171
-0.002015208575572025,-0.002204008072114183,-0.000188799496542158,172
-0.003466171632210857,-0.003707763223463223,-0.00024159159125236584,173
-0.003352638829422494,-0.00299592515091307,0.0003567136785094238,174
-0.002235443331598086,-0.0019510530637228962,0.00028439026787518973,175
-0.0011666380063390935,-0.0018875349970153277,-0.0007208969906762341,176
-0.00299130602508757,-0.0030417041591913607,-5.039813410379068e-05,177
-0.003025320233006612,-0.0028025180568054253,0.0002228021762011867,178
-0.001991622747081201,-0.0017846756445967227,0.00020694710248447823,179
-0.002145332974759828,-0.002610306227352144,-0.0004649732525923156,180
-0.0003678545720273707,-0.0008623343508089576,-0.0004944797787815869,181
-0.002902760638649804,-0.0023844602088082256,0.0005183004298415783,182
-0.0020153607938598883,-0.002165195846759227,-0.00014983505289933863,183
-0.0032168902375497854,-0.0026357433611660097,0.0005811468763837757,184
-0.002141070444476534,-0.0026070814267896703,-0.0004660109823131364,185
-0.0017262830253196304,-0.002089524657201358,-0.00036324163188172776,186
-0.0023138800971805873,-0.003003477862458803,-0.0006895977652782159,187
-0.0032968461130242765,-0.0037958152958622593,-0.0004989691828379827,188
-0.0032462606681034067,-0.0026716988596464653,0.0005745618084569415,189
-0.0030926145723869647,-0.003479208868066519,-0.0003865942956795543,190
-0.00020343891550600457,-0.0009002660198909052,-0.0006968271043849006,191
-0.002448980061055872,-0.0025247620355790534,-7.578197452318136e-05,192
-0.0014530838288069337,-0.0018084429187981144,-0.0003553590899911807,193
-0.0036353588840920548,-0.004079562746147736,-0.00044420386205568096,194
-0.0013179285149431674,-0.0017720344087415185,-0.0004541058937983511,195
-0.001817991662860341,-0.0019654557996442445,-0.00014746413678390358,196
-0.0015281457978867374,-0.0019987835348309613,-0.00047063773694422384,197
-0.0021222899060204803,-0.0026690711444399273,-0.000546781238419447,198
-0.002223492791943338,-0.002902642185302562,-0.0006791493933592241,199
-0.0011070907172600064,-0.0010915004204832268,1.559029677677959e-05,200
-0.0023805878578089246,-0.0030114651534183245,-0.0006308772956094,201
-0.001997356224691993,-0.0015727916558216926,0.00042456456887030036,202
-0.002738343117339226,-0.003360307521435124,-0.0006219644040958983,203
-0.002165522461631819,-0.00215467790190238,1.0844559729439318e-05,204
-0.001794189363509946,-0.0018308329157503689,-3.664355224042293e-05,205
-0.0006400618403735736,-0.0011217157756392426,-0.000481653935265669,206
-0.0018719862174340074,-0.0021000904632139106,-0.00022810424577990318,207
-0.0029780236096713653,-0.0030607782703718778,-8.275466070051252e-05,208
-0.0013523331877658418,-0.001365008255261757,-1.2675067495915293e-05,209
