CAM28_1_IoU,CAM28_2_IoU,CAM56_IoU,CAMdeep_IoU,Final_IoU,class,variant
0.7625070618289931,0.7476884371506779,0.7304496462837319,0.7364756310602427,0.7642118064854069,0,C0
0.704735329823824,0.694757147663909,0.6797685804403572,0.6849388690126694,0.7055671973534838,1,C0
0.5755011476878612,0.5741379045195213,0.5383155406213196,0.5534025942393275,0.578264179485648,2,C0
0.6379435810184073,0.6430494949290242,0.5096798952160447,0.6233245042070809,0.6446498820911308,3,C0
0.762065249834831,0.7468863971536107,0.7308419257983022,0.7355096335967205,0.7642358077131206,0,GS
0.7056583302367855,0.6940243085756732,0.6800799605448054,0.6838204967222541,0.7060373117529958,1,GS
0.5707060169360489,0.5730450793211367,0.5379735125275784,0.5535885833074141,0.5748140144707756,2,GS
0.6327934595399543,0.6374072204017623,0.5062717721515362,0.6170164027942022,0.6385741391294903,3,GS
0.760136778239362,0.7465193520113557,0.7302467112439156,0.7349269737831204,0.7631065695384565,0,RCS
0.703592178062241,0.6937976343600455,0.6795104574455584,0.6835140850373006,0.7051440504999118,1,RCS
0.5656491567316954,0.5743991015368624,0.5384908383015962,0.5547856650528571,0.5745700453112238,2,RCS
0.6312201080025808,0.6385666077546189,0.5074133547040258,0.6187903715290971,0.6398323964144478,3,RCS
