epoch,max,mean,mean_reliability,mean_suppression,min,p05,p25,p50,p75,p95,pixels,source,std
0,0.6019372940063477,0.06837002497786693,,,8.293985160889861e-07,0.010736392950639129,0.031039970461279154,0.055001700296998024,0.09055493958294392,0.17214891910552965,2679712,Reconstructed-init,0.05327949777339049
25,0.9998006820678711,0.1920993349573324,1.0,0.0,2.018289181615618e-11,0.002367095928639174,0.03305614925920963,0.11584047228097916,0.2834821864962578,0.6516275227069848,2679712,Phase0-C0,0.20692732180785015
1,0.9719781875610352,0.32406628374556906,0.6759339570999146,0.32406604290008545,7.638049282832071e-06,0.09103341065347198,0.25253593921661377,0.31137050688266754,0.3650491312146187,0.6856745332479475,2679712,GS,0.15083254037974222
5,0.9980006814002991,0.1781396588662975,0.8218600749969482,0.17813992500305176,8.149379482347285e-08,0.004911069408990443,0.03891587443649769,0.11428049206733704,0.25996602326631546,0.5727822691202161,2679712,GS,0.18206780253586738
10,0.9986709952354431,0.18205446043168919,0.8179452419281006,0.18205475807189941,4.608323944665926e-09,0.0042274371488019834,0.04067519586533308,0.12154880166053772,0.2682035565376282,0.5705059677362436,2679712,GS,0.1823861141709088
15,0.9978151917457581,0.1796736343496526,0.8203261494636536,0.17967385053634644,6.25671667253691e-11,0.003574715182185173,0.0384587524458766,0.12037093564867973,0.26855216920375824,0.5553375273942941,2679712,GS,0.17988162353489717
20,0.9985706210136414,0.18042298302947765,0.8195770382881165,0.18042296171188354,1.688406532640574e-11,0.002270092093385756,0.0335200559347868,0.11663853749632835,0.27137042582035065,0.5737193703651428,2679712,GS,0.18682393385220228
25,0.9993718266487122,0.18143443852895336,0.8185659646987915,0.1814340353012085,3.4729838362806964e-12,0.0014165367407258606,0.027440611738711596,0.11004268750548363,0.2749354690313339,0.6000726699829101,2679712,GS,0.19624121546509452
1,0.9718865156173706,0.3239792705925322,0.6760208010673523,0.3239791989326477,1.4755363736185245e-05,0.09063660465180876,0.2524314448237419,0.31127655506134033,0.3650469183921814,0.6862283706665038,2679712,RCS,0.1509195685840425
5,0.9978393912315369,0.1788597969687931,0.8211402297019958,0.17885977029800415,1.0618104084869628e-07,0.005067357048392296,0.03948997799307108,0.11533518508076668,0.2607649713754654,0.5733890026807784,2679712,RCS,0.18206908986628853
10,0.9985585808753967,0.18214681961904877,0.8178532719612122,0.18214672803878784,7.1570087634142965e-09,0.004298555152490735,0.04094839282333851,0.12205159664154053,0.2681688219308853,0.5694824665784836,2679712,RCS,0.18203793219215098
15,0.9979844093322754,0.1791218273301612,0.8208779692649841,0.17912203073501587,5.0761169573254605e-11,0.0035284886602312327,0.038097246550023556,0.11919309571385384,0.26739388704299927,0.5562666535377502,2679712,RCS,0.18020137540858056
20,0.9985430240631104,0.17990579579827085,0.8200939893722534,0.17990601062774658,1.0655278742666141e-11,0.0022136604646220805,0.03286776319146156,0.11521526053547859,0.2702510952949524,0.5759388089179989,2679712,RCS,0.18758305531851865
25,0.9993817806243896,0.18075563641653894,0.8192448616027832,0.1807551383972168,2.3192747635597533e-12,0.0013672164932359012,0.02667996007949114,0.10823006555438042,0.27333033084869385,0.6032078206539153,2679712,RCS,0.1971884194684759
1,0.9576291441917419,0.32879376270307775,,,6.39339632471092e-05,0.09727173671126366,0.2641860842704773,0.32248926162719727,0.3709050342440605,0.6516416847705835,2679712,Phase1-DD,0.141605883536318
5,0.9992902278900146,0.2012431432549082,,,2.2095969143265393e-07,0.007639463827945293,0.046728081069886684,0.1208464652299881,0.2640117481350899,0.7574107855558395,2679712,Phase1-DD,0.21969659180472864
10,0.9989722371101379,0.20416667063301078,,,2.301346135880067e-08,0.0069206881569698455,0.048268187791109085,0.1268473118543625,0.2742837369441986,0.7401896119117737,2679712,Phase1-DD,0.21705733907085456
15,0.9997398853302002,0.2092214228006374,,,3.0466260070305395e-10,0.0054293553577736044,0.04349975846707821,0.12127324566245079,0.2764798030257225,0.7985461831092834,2679712,Phase1-DD,0.23423527104462633
20,0.9999112486839294,0.20691903883656862,,,4.761394750696368e-11,0.003955021873116494,0.03935404494404793,0.11887726187705994,0.2803494855761528,0.7890958368778227,2679712,Phase1-DD,0.2331962314274374
25,0.9999405741691589,0.2067974901148647,,,8.027643653985006e-12,0.0025834896601736545,0.032110659405589104,0.11148568242788315,0.28504205495119095,0.799432635307312,2679712,Phase1-DD,0.24075348601556842
