snapshot,stage,conservation_max_weight_sum_error,conservation_max_contribution_sum_error,conservation_all_finite,conditioning_JS_median,conditioning_JS_mean,conditioning_top1_difference,conditioning_top3_jaccard,conditioning_top5_jaccard,utilization_dominant_share,utilization_effective_queries,utilization_normalized_entropy,utilization_queries_above_uniform,utilization_top5_mass,utilization_top10_mass
epoch5,2,2.384185791015625e-07,0.0,True,0.33254119753837585,0.30803209239685975,0.9629629629629629,0.03333333333333333,0.04570840681951793,0.021830951794981956,134.31483459472656,0.9283789694309235,82.0,0.09024784713983536,0.1628713384270668
epoch5,3,1.1920928955078125e-07,0.0,True,0.28990083932876587,0.2821750287656431,1.0,0.007407407407407408,0.008230452674897118,0.014285684563219547,142.3869857788086,0.9394367933273315,101.0,0.06687026470899582,0.12576007843017578
epoch10,2,1.7881393432617188e-07,0.0,True,0.4009186923503876,0.3865007923709022,1.0,0.007407407407407408,0.008230452674897118,0.01760640274733305,137.33084869384766,0.9325958788394928,89.0,0.08059747144579887,0.1487094759941101
epoch10,3,2.384185791015625e-07,0.0,True,0.33549994230270386,0.3428566235083121,1.0,0.0,0.0,0.013521240092813969,137.18106842041016,0.9323916137218475,101.0,0.06419560313224792,0.11985621228814125
epoch15,2,2.384185791015625e-07,0.0,True,0.4274262487888336,0.41000511359285424,1.0,0.0,0.009259259259259259,0.016296309418976307,133.3467788696289,0.9268915057182312,89.5,0.07262463495135307,0.13880391418933868
epoch15,3,1.1920928955078125e-07,0.0,True,0.3376810550689697,0.33050936736442427,1.0,0.0,0.0,0.012034739833325148,141.4740447998047,0.938235729932785,100.5,0.057055070996284485,0.11009468883275986
epoch20,2,1.1920928955078125e-07,0.0,True,0.43236738443374634,0.40381272661465184,1.0,0.0,0.004115226337448559,0.015104495920240879,135.41802215576172,0.929941713809967,92.5,0.06919163838028908,0.1320951208472252
epoch20,3,1.1920928955078125e-07,0.0,True,0.3319021463394165,0.33010849522219765,1.0,0.0,0.0,0.01261044666171074,144.71361541748047,0.942525327205658,99.0,0.061223533004522324,0.11718552187085152
epoch25,2,1.1920928955078125e-07,0.0,True,0.4132389426231384,0.4012076335924643,1.0,0.0,0.0,0.01576179126277566,127.44071197509766,0.918422669172287,94.0,0.0736331157386303,0.13827837258577347
epoch25,3,2.384185791015625e-07,0.0,True,0.3634227514266968,0.3505645581969508,1.0,0.0,0.0,0.014072686899453402,137.42598724365234,0.9327314496040344,99.0,0.06562811881303787,0.12650732696056366
