snapshot,stage,iterations,completion_mass_mean,changed_fraction,rival_protected_mass_mean,max_negative_change,affinity_entropy_mean,positive_neighbor_affinity_fraction,use_rival,base_mean,restored_mean,base_positive_fraction,restored_positive_fraction
epoch5,2,2,0.008110737311653793,0.5813586115837097,0.0008777632465353236,0.0,2.1681309938430786,1.0,1.0,0.23075856268405914,0.2388692982494831,0.18395497277379036,0.1845628321170807
epoch5,3,2,0.00814773456659168,0.5847167819738388,0.0008926310256356373,0.0,2.1681309938430786,1.0,1.0,0.23351789265871048,0.24166562035679817,0.18345921859145164,0.18409447744488716
epoch10,2,2,0.006705378647893667,0.6605523377656937,0.0006570590048795566,0.0,2.168166995048523,1.0,1.0,0.1596015840768814,0.1663069650530815,0.12730438634753227,0.12774284183979034
epoch10,3,2,0.006944446358829737,0.6618826538324356,0.0006713480688631535,0.0,2.168166995048523,1.0,1.0,0.16333124414086342,0.17027568817138672,0.13252351619303226,0.13299435935914516
epoch15,2,2,0.006720671663060784,0.6553332209587097,0.0006808031466789544,0.0,2.1681430339813232,1.0,1.0,0.16220035031437874,0.16892101988196373,0.12831831723451614,0.1287617553025484
epoch15,3,2,0.006713345414027572,0.6600765138864517,0.0006765880243619904,0.0,2.1681430339813232,1.0,1.0,0.16419311612844467,0.1709064617753029,0.13087182864546776,0.13130281120538712
epoch20,2,2,0.006938689039088786,0.6551538556814194,0.000733823690097779,0.0,2.168102264404297,1.0,1.0,0.17175840586423874,0.17869709804654121,0.140251312404871,0.14075454138219357
epoch20,3,2,0.006801842479035258,0.662580206990242,0.0007168662268668413,0.0,2.168102264404297,1.0,1.0,0.17040127515792847,0.17720311135053635,0.13901815563440323,0.13943418860435486
epoch25,2,2,0.006737124756909907,0.6617556214332581,0.0007367146317847073,0.0,2.1680914759635925,1.0,1.0,0.1686650663614273,0.17540218308568,0.13868183828890324,0.13915766216814518
epoch25,3,2,0.006636797566898167,0.6690399497747421,0.0007356957212323323,0.0,2.1680914759635925,1.0,1.0,0.1670910269021988,0.1737278252840042,0.1367062907665968,0.1371895894408226
