snapshot,stage,present_class_query_coverage,absent_class_dominance,top1_confidence,all_finite,deep_present_mean,deep_absent_mean,deep_present_absent_gap
epoch5,1,0.9821428571428571,0.03125,0.09021027808194049,True,0.8589675653326724,0.10973670074953487,0.7492308645831375
epoch5,2,0.9821428571428571,0.0625,0.09928526787552983,True,0.8589675653326724,0.10973670074953487,0.7492308645831375
epoch5,3,0.9464285714285714,0.0625,0.06665923196123913,True,0.8589675653326724,0.10973670074953487,0.7492308645831375
epoch10,1,0.9821428571428571,0.0625,0.07044226099969819,True,0.8618416792180922,0.09012445500012392,0.7717172242179683
epoch10,2,0.9821428571428571,0.03125,0.08580981229897588,True,0.8618416792180922,0.09012445500012392,0.7717172242179683
epoch10,3,0.9821428571428571,0.09375,0.062351233791559935,True,0.8618416792180922,0.09012445500012392,0.7717172242179683
epoch15,1,0.9821428571428571,0.03125,0.0587934676441364,True,0.8798313200074647,0.09378687063354442,0.7860444493739203
epoch15,2,0.9821428571428571,0.0625,0.08001988538308069,True,0.8798313200074647,0.09378687063354442,0.7860444493739203
epoch15,3,0.9642857142857143,0.0625,0.05854279172490351,True,0.8798313200074647,0.09378687063354442,0.7860444493739203
epoch20,1,0.9642857142857143,0.0625,0.05473110426100902,True,0.8778820196831865,0.061324244879566926,0.8165577748036196
epoch20,2,0.9821428571428571,0.03125,0.07490329950815067,True,0.8778820196831865,0.061324244879566926,0.8165577748036196
epoch20,3,0.9107142857142857,0.09375,0.05720699008088559,True,0.8778820196831865,0.061324244879566926,0.8165577748036196
epoch25,1,0.9642857142857143,0.03125,0.05455227830680087,True,0.8987707271506744,0.06396251060820962,0.8348082165424648
epoch25,2,0.9642857142857143,0.03125,0.07336045015836135,True,0.8987707271506744,0.06396251060820962,0.8348082165424648
epoch25,3,0.9464285714285714,0.0625,0.059805829310789704,True,0.8987707271506744,0.06396251060820962,0.8348082165424648
