snapshot,stage,primary_positive_recall,primary_positive_confidence,primary_positive_F_median,primary_rival_leakage,primary_background_leakage,primary_probability_gap,primary_rival_gap,primary_background_gap,primary_empty_fraction,primary_median_area,primary_fraction_area_lt_001,primary_fraction_area_gt_090,primary_component_p90,primary_CPR,perm_D_perm_mean,perm_D_perm_std,perm_D_perm_min,perm_D_perm_max,perm_D_perm_positive,perm_D_perm_rival,perm_D_perm_background,pca_gain_gap_gain,pca_gain_recall_gain,pca_gain_confidence_gain,pca_gain_rival_reduction,pca_gain_background_reduction,B_empty_fraction,B_fraction_area_gt_090,B_median_area,B_component_p90,B_binary_iou_median,B_soft_iou_median,B_embedding_cosine_median,B_all_finite
epoch5,2,1.0,0.7912376775748939,0.8121676445007324,0.05947624888891975,0.004496124701940322,0.6951799880874637,0.5529683806608597,0.7697740010395314,0.0,0.24266581237316132,0.0,0.0,7.0,4.788190603256226,0.13059272785254247,0.09223713491291735,0.00165995501447469,0.3402513563632965,0.25111066326774434,0.282373030610486,0.0109073588096505,0.6392993426366906,1.0,0.49104832783110147,0.6349236134543187,0.002523662680427411,0.0028708133971291866,0.0,0.2238520383834839,7.0,0.2903629541397095,0.3357923626899719,0.7798506617546082,True
epoch5,3,1.0,0.7886641714796074,0.8079105615615845,0.041463327294008596,0.0041692000439590106,0.6952482033856675,0.5589236833399747,0.7667542723907667,0.0,0.2433035671710968,0.017857142857142856,0.0,7.0,1.286683440208435,0.12309375827593223,0.08534651888043525,0.00015472163795493543,0.3075719177722931,0.23989456177258717,0.27326192753260126,0.008850543236478967,0.3295134401333849,0.07165437936782837,0.23724964989972253,0.4240002402000957,-0.0010673999786376949,0.0,0.0,0.25127550959587097,7.0,0.2507857084274292,0.3124803155660629,0.6864684820175171,True
epoch10,2,1.0,0.8312436712996054,0.8558779656887054,0.028387928945529793,0.0006771390024888595,0.7916757934049176,0.6769956545066598,0.8270837038358682,0.0,0.19052933156490326,0.0,0.0,6.0,4.4056010246276855,0.1122334966138234,0.081288222730936,0.0012828418985009193,0.28734350204467773,0.30152879876212474,0.33498027146884446,0.0030107587666390956,0.6002984477878985,1.0,0.4874878050011983,0.634564486440892,0.000691054659130584,0.0018535681186283596,0.0,0.16358418762683868,6.0,0.26178860664367676,0.3115396201610565,0.8513239622116089,True
epoch10,3,1.0,0.8239523709343689,0.8420125842094421,0.0192562786810514,0.00043077821464976296,0.7820982330781497,0.6577666869207159,0.8204860506407853,0.0,0.16884566098451614,0.0,0.0,6.0,1.717534065246582,0.10362895329430037,0.07715111147504672,6.5862805058714e-05,0.33381161093711853,0.28056325800914855,0.3056015585057644,0.002090874630404471,0.42483290604176066,0.6491258665919304,0.34352905698590064,0.47186886187539334,0.0006621952322478006,0.0017985611510791368,0.0,0.18016581237316132,6.0,0.25167039036750793,0.3162280023097992,0.794812023639679,True
epoch15,2,1.0,0.8374664487624358,0.8680184781551361,0.023990142743827568,0.002381602912296162,0.8011881648276438,0.6975956898970499,0.8301528580290872,0.0,0.17984693497419357,0.0,0.0,6.0,5.36077356338501,0.11740686235329381,0.08467555935909644,0.0009472432429902256,0.3062456548213959,0.31349771542266225,0.34966744672047856,0.005610015534900699,0.616121357982879,1.0,0.50686431189115,0.6164014290863027,0.00024313948125819895,0.002749770852428964,0.0,0.1591198891401291,6.0,0.23564356565475464,0.31663763523101807,0.87677401304245,True
epoch15,3,1.0,0.7996892800988593,0.8268018066883087,0.048729527146658964,0.0014617100090685267,0.7571453269512585,0.6269744914502371,0.7935413906285551,0.0,0.17283162474632263,0.0,0.0,6.0,1.7032015919685364,0.1006595263313719,0.07279496929921678,7.531925803050399e-05,0.2903687655925751,0.2713848116044123,0.30127756118050053,0.0038483607154153558,0.42243466642521205,0.967447916045785,0.3432275171618854,0.46517477530675627,0.0004672863180059249,0.0009000900090009,0.0,0.18335458636283875,6.0,0.22489960491657257,0.2933260500431061,0.8402130603790283,True
epoch20,2,1.0,0.8413212914311468,0.8772091269493103,0.02677779679911004,0.002907456235594249,0.8076887367030818,0.6977657291057463,0.8325096146929647,0.0,0.17123724520206451,0.0,0.0,6.0,3.3755077123641968,0.11292717917630009,0.08624038213711405,0.0014767497777938843,0.30826014280319214,0.30346512259763714,0.3469172505694183,0.005760935886420222,0.5539751644038237,1.0,0.4645481720899142,0.6115605356792608,0.00014342792149234056,0.0009132420091324201,0.0,0.16039539873600006,6.0,0.20593692362308502,0.2952084243297577,0.8871413469314575,True
epoch20,3,1.0,0.8033981747176728,0.8441652357578278,0.05338875821067227,0.0014008024902847996,0.765078486793023,0.6265647647335468,0.7963552164814686,0.0,0.17458545416593552,0.0,0.0,6.5,1.7508111596107483,0.09669232108616857,0.07371732867944579,0.00013352952373679727,0.3102274537086487,0.26126095738062205,0.2953271770259663,0.003972750679474858,0.4216173664605223,0.9850000003352761,0.3542789107604326,0.49884980921116134,0.0007792470797929644,0.0,0.0,0.17984694242477417,6.0,0.29074348509311676,0.3393786549568176,0.8603300154209137,True
epoch25,2,1.0,0.8362987986603512,0.8688940703868866,0.02933537976609336,0.0020707080095437253,0.802077123056551,0.6889145832553114,0.8293311545888342,0.0,0.16151147335767746,0.0,0.0,6.0,3.4463928937911987,0.10916855539965452,0.08116353557125494,0.0007901419885456562,0.30402085185050964,0.29861051312585524,0.34463579715585285,0.004945796144309295,0.5665255741793817,1.0,0.4712678433553408,0.6187801809774505,1.6177440691670254e-05,0.0009090909090909091,0.0,0.159598208963871,6.0,0.22324233502149582,0.31514376401901245,0.889042854309082,True
epoch25,3,1.0,0.80734452853027,0.8450774550437927,0.05081352126888103,0.001145988711397405,0.7704102859672353,0.6409458939883506,0.8015904506003179,0.0,0.1651785671710968,0.0,0.0,6.0,2.3048514127731323,0.0979271309786327,0.07371725921911437,9.561353363096714e-05,0.3679038882255554,0.26732570665885397,0.301440160563733,0.0037641860736557036,0.46518221739591314,0.981749817263335,0.3877630189442715,0.5247089421273106,0.00046941275165105845,0.0017985611510791368,0.0,0.17602039873600006,6.0,0.23780487477779388,0.3312284052371979,0.861205518245697,True
