image_id,class,k,mean_soft_purity,w_normalized_soft_purity,mean_soft_coverage,mean_rival_mass,mean_bg_mass,mean_hard_iou,mean_hard_precision,mean_hard_recall
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,1,0.9925969839096069,0.9925969839096069,0.32868650555610657,0.007195239886641502,0.0002078641118714586,0.32060138155091183,0.9924528301761956,0.3213849287155952
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,3,0.9928523898124695,0.992851734161377,0.3433305323123932,0.0069580115377902985,0.00018970028031617403,0.3371258296071904,0.9927808184944619,0.3379497623883044
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,5,0.992856502532959,0.9928573369979858,0.3314916491508484,0.0068933009169995785,0.0002501854323782027,0.32490857374918775,0.9925008299749484,0.32570264765651447
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,10,0.9928585290908813,0.9928591251373291,0.3375585675239563,0.006919246166944504,0.00022220375831238925,0.33124746038061265,0.9926474870254223,0.3320570264752259
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,1,0.001062961877323687,0.001062961877323687,0.03519782796502113,0.9942805171012878,0.004656578414142132,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,3,0.002392158145084977,0.0021085289772599936,0.09491131454706192,0.9941058158874512,0.00350208324380219,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,5,0.002671954222023487,0.002428692067041993,0.11767812073230743,0.994443416595459,0.00288469810038805,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,10,0.0035423901863396168,0.003184746950864792,0.24762022495269775,0.9945964813232422,0.0018611286068335176,0.0009265431177168645,0.0009346779158618101,0.08333333319444444
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,1,0.7978388667106628,0.7978388667106628,0.3152022361755371,0.022054238244891167,0.1801067739725113,0.29183400267346943,0.8825910930816765,0.30362116991220583
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,3,0.7956686615943909,0.7957286834716797,0.31043973565101624,0.023012274876236916,0.1813189536333084,0.29034353929430873,0.8812821298733624,0.3022284122520581
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,5,0.7917371988296509,0.7918490767478943,0.30620822310447693,0.0260203517973423,0.18224239349365234,0.28798676360110465,0.8857685651505646,0.29916434539973313
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,10,0.7992600202560425,0.7991507053375244,0.3089984953403473,0.0215257927775383,0.17921409010887146,0.28812479787787487,0.8857511537038617,0.2993036211657478
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,2,1,0.10185354202985764,0.10185354202985764,0.9996697306632996,0.3715610206127167,0.5265853404998779,0.10333333332988888,0.10333333332988888,0.9999999996774194
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,2,3,0.10215262323617935,0.10207656770944595,0.9996218681335449,0.3720966875553131,0.5257506370544434,0.1036843654250834,0.1036843654250834,0.9999999996774194
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,2,5,0.10156600177288055,0.10162913799285889,0.9996246099472046,0.37131184339523315,0.5271221399307251,0.1032159102589846,0.1032159102589846,0.9999999996774193
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,2,10,0.10205616801977158,0.10198337584733963,0.999541163444519,0.37366214394569397,0.5242816805839539,0.10406080285255012,0.10406080285255012,0.9999999996774193
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,1,0.8616493344306946,0.8616493344306946,0.3918868601322174,0.13555026054382324,0.0028004825580865145,0.3563508064498168,0.859052247863195,0.3784796573855542
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,3,0.8603244423866272,0.8603395223617554,0.3900197446346283,0.13701951503753662,0.0026560609694570303,0.3588797288499839,0.8598278293950203,0.3811563169144478
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,5,0.8600749969482422,0.8601040244102478,0.38899874687194824,0.1374109387397766,0.002514112275093794,0.35840795980115675,0.8592972802899356,0.3807280513898248
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,10,0.8617560267448425,0.8616949915885925,0.39844241738319397,0.13552647829055786,0.002717525465413928,0.3681100689334171,0.8610766823937321,0.3913276231242434
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,1,0.7408674359321594,0.7408674359321594,0.5660561323165894,0.25906363129615784,6.892462261021137e-05,0.46810035841958353,0.7420454545370222,0.5590753424609669
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,3,0.742872416973114,0.7428534626960754,0.5553719401359558,0.2570516765117645,7.591339090140536e-05,0.46297481421800946,0.7482730597317078,0.5485159817304637
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,5,0.7424439191818237,0.742439329624176,0.5578728914260864,0.2574830651283264,7.301295408979058e-05,0.46509539682958534,0.7481023520364605,0.5515410958856889
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,10,0.7439920902252197,0.7439697980880737,0.5478227138519287,0.2559211850166321,8.677291771164164e-05,0.45819171910723383,0.751299830466449,0.5403253424611274
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,1,0.37586382031440735,0.37586382031440735,0.16883935034275055,0.3341517150402069,0.28998440504074097,0.10411622275903007,0.3722943722782556,0.1262848751816992
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,3,0.36031273007392883,0.3607777953147888,0.19764910638332367,0.33584320545196533,0.30384403467178345,0.1220516943536638,0.3565614940483992,0.1639745472320513
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,5,0.3634783625602722,0.36367982625961304,0.1972799301147461,0.33242759108543396,0.30409401655197144,0.12253598632916265,0.3636873461201172,0.16387665197997245
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,10,0.34430697560310364,0.3456854522228241,0.2187449038028717,0.34362295269966125,0.3120700716972351,0.13425187306943814,0.33980448816451225,0.18942731277254882
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,1,0.8800033926963806,0.8800033926963806,0.5016449093818665,0.07453957200050354,0.04545704647898674,0.46983105389807056,0.8984615384477159,0.49617672047157035
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,3,0.8879125714302063,0.8880524039268494,0.4470960199832916,0.07793810963630676,0.03414931893348694,0.42215889646463484,0.9065911678746993,0.4432172189143879
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,5,0.8837178945541382,0.8839747905731201,0.47086992859840393,0.07631053030490875,0.03997154161334038,0.4430309533853468,0.9016270912656417,0.46694987255338194
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,10,0.8869255781173706,0.8869653940200806,0.4708210527896881,0.07653779536485672,0.036536626517772675,0.4451774717688021,0.9067366862201844,0.46754460492381017
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,1,0.6546740531921387,0.6546740531921387,0.4654146134853363,0.29266518354415894,0.05266079679131508,0.3673897830625095,0.652985074618744,0.45652173912646504
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,3,0.6547609567642212,0.6547627449035645,0.4725843369960785,0.2925961911678314,0.05264290049672127,0.37575394890094876,0.6573807090578462,0.4672463768075312
