image_id,class,entropy,normalized_entropy,effective_query_count,dominant_share,top1_mass,top3_mass,top5_mass,top10_mass,top20_mass,gini,diffuseness_bin,weighted_target_purity,weighted_rival_mass,weighted_bg_mass,contribution_target_fraction,contribution_rival_fraction,contribution_bg_fraction,contribution_entropy,effective_contribution_count,pure_basis_fraction,best_basis_purity
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,5.261636532586536,0.9968780279118864,192.79675142643413,0.006569309218917915,0.006569309218917915,0.01968383713720816,0.03253861594589617,0.064135342123918,0.12680392625512454,0.10123859021829862,very_diffuse,0.9929511547088623,0.006712780334055424,0.0003361442650202662,0.992918074131012,0.00681788707152009,0.00026394063024781644,5.242342948913574,189.11266506552218,1.0,0.9953198432922363
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,4.720205769800244,0.8942976942619869,112.19133588158708,0.06069652463641929,0.06069652463641929,0.13064065418271958,0.19388534448048755,0.3085352456730019,0.44643775550310294,0.5274561093212686,diffuse,0.005724609829485416,0.993337869644165,0.0009375715162605047,0.006366422399878502,0.9930848479270935,0.0005488303722813725,4.989516735076904,146.865431431663,0.0,0.007612008601427078
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,5.229989066983348,0.9908820487324949,186.79076132250052,0.007322488577724226,0.007322488577724226,0.021245545986814558,0.034920233659048845,0.06838721448336643,0.13375692688654944,0.14773458181563948,very_diffuse,0.769523024559021,0.0266544409096241,0.20382261276245117,0.7681216597557068,0.025345925241708755,0.2065323144197464,5.229030609130859,186.6118160200026,0.8673469387755102,0.8306589126586914
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,2,4.813175370436987,0.9119118626988463,123.12195527271716,0.041270313354085306,0.041270313354085306,0.11017518250932246,0.16888269961316058,0.27744701267022104,0.3935222933282842,0.4698812778788177,very_diffuse,0.0585300475358963,0.6234415769577026,0.3180284798145294,0.06014980375766754,0.6123848557472229,0.3274655044078827,4.774019718170166,118.39419803544058,0.0,0.1154608204960823
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,4.7165152825277765,0.8935984886723521,111.77805825141158,0.018473509749871216,0.018473509749871216,0.04912126793238937,0.07899819191592086,0.15073996142037008,0.2872067035674528,0.5588953253743314,diffuse,0.7576110363006592,0.24048560857772827,0.00190345523878932,0.7809386253356934,0.21700695157051086,0.002054377691820264,4.631974220275879,102.71664936258053,0.3673469387755102,0.8662706017494202
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,4.962993870193513,0.9402967140007252,143.0213429030727,0.011092527888551402,0.011092527888551402,0.03279109241242158,0.05418735241929494,0.10635910297336287,0.2068633477983781,0.3983803716360321,very_diffuse,0.6905472874641418,0.30913683772087097,0.00031583014060743153,0.7008609771728516,0.29887324571609497,0.00026572481147013605,4.906720161437988,135.19526778931694,0.5459183673469388,0.756198525428772
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,4.6173968026705365,0.8748193437964638,101.23016673200857,0.02252637995060039,0.02252637995060039,0.060656755042987405,0.09732319347563023,0.18296344057321368,0.34308010666846067,0.6086907969292499,diffuse,0.30132633447647095,0.4504601061344147,0.2482134848833084,0.28916135430336,0.45658567547798157,0.25425300002098083,4.569878101348877,96.53234189334836,0.0,0.5649183988571167
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,4.976138292674129,0.9427870771946413,144.9136854872931,0.010990571989551464,0.010990571989551464,0.03236384830450686,0.05247754635404757,0.10116140180412732,0.1936902525965,0.37165126120813663,very_diffuse,0.852587878704071,0.1083822101354599,0.03903001546859741,0.87227863073349,0.09114326536655426,0.03657808154821396,4.854948043823242,128.37402121811033,0.6632653061224489,0.9210812449455261
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,4.7593706642488005,0.901717937469486,116.6724766285649,0.015188114738670258,0.015188114738670258,0.044345469350274426,0.07249444474919625,0.1413708039583339,0.2742576676896685,0.531870901412377,diffuse,0.5905322432518005,0.36560362577438354,0.04386412724852562,0.610964834690094,0.3427927494049072,0.04624231532216072,4.656360626220703,105.25233169835458,0.0,0.6818310022354126
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,4.9337483908702815,0.934755818963122,138.89918620256068,0.011633780391306636,0.011633780391306636,0.03459716373206012,0.05672243674356934,0.11065935064465907,0.21396307927592162,0.4240161564833784,very_diffuse,0.8854261636734009,0.10198020935058594,0.012593518942594528,0.8830094337463379,0.10378362983465195,0.013207015581429005,4.9232940673828125,137.45465314221104,0.5255102040816326,0.9956153631210327
