image_id,class,k,mode,mean_selected_purity,soft_iou,hard_iou
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,5,equal,0.8656949996948242,0.3985531090670413,0.39839034205030993
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,5,purity_weighted,0.8656949996948242,0.3985546236674198,0.39839034205030993
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,10,equal,0.8650738596916199,0.39445032801912167,0.3943661971811149
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,10,purity_weighted,0.8650738596916199,0.3944542797517471,0.3943661971811149
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,1,equal,0.756198525428772,0.38397533005238615,0.3798332069721014
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,1,purity_weighted,0.756198525428772,0.383975327177205,0.3798332069721014
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,3,equal,0.755828857421875,0.3638305936209917,0.3627978478065888
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,3,purity_weighted,0.755828857421875,0.3638348568742257,0.3627978478065888
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,5,equal,0.7554551362991333,0.35958423076114454,0.3584615384587811
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,5,purity_weighted,0.7554551362991333,0.35959037823924284,0.3584615384587811
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,10,equal,0.7547366619110107,0.3623735416460409,0.3632872503812344
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,10,purity_weighted,0.7547366619110107,0.3623774050698489,0.3632872503812344
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,1,equal,0.5649183988571167,0.08888540347508454,0.07558139534773864
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,1,purity_weighted,0.5649183988571167,0.08888540363139708,0.07558139534773864
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,3,equal,0.5030362010002136,0.086448252129055,0.07235890014367063
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,3,purity_weighted,0.5030362010002136,0.08682744467081913,0.07235890014367063
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,5,equal,0.4845658242702484,0.09510051217202374,0.09026798307348
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,5,purity_weighted,0.4845658242702484,0.09485488387937609,0.09052333804681013
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,10,equal,0.4522313177585602,0.1062698289518277,0.08864265927855065
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,10,purity_weighted,0.4522313177585602,0.10530288130465718,0.08888888888765432
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,1,equal,0.9210812449455261,0.37553518428392935,0.38067712633872275
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,1,purity_weighted,0.9210812449455261,0.3755352080514249,0.38067712633872275
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,3,equal,0.918020486831665,0.3914816935954609,0.39736191261007947
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,3,purity_weighted,0.918020486831665,0.3914029078973283,0.39736191261007947
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,5,equal,0.916488766670227,0.39172911373180636,0.3998351195350385
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,5,purity_weighted,0.916488766670227,0.3916817783717591,0.3998351195350385
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,10,equal,0.9134782552719116,0.39741696805021065,0.4077429983491949
