image_id,class,group,target_purity,rival_mass,bg_mass
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,1,middle40pct,0.7153997421264648,0.28460025787353516,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,1,bottom50pct,0.48024383187294006,0.5197561383247375,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,2,top10pct,0.8018953204154968,0.19810466468334198,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,2,middle40pct,0.5128346681594849,0.4871653914451599,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,2,bottom50pct,0.20497697591781616,0.7950230240821838,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,1,top10pct,0.8589416742324829,0.14105845987796783,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,1,middle40pct,0.8253352642059326,0.17466473579406738,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,1,bottom50pct,0.4924163520336151,0.5075836777687073,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,2,top10pct,0.6598281264305115,0.3401718735694885,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,2,middle40pct,0.4865228831768036,0.5134771466255188,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,2,bottom50pct,0.15349867939949036,0.846501350402832,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0,top10pct,0.00026255269767716527,0.9997374415397644,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0,middle40pct,0.0005019268719479442,0.9994980096817017,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0,bottom50pct,0.00041103860712610185,0.9995889663696289,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,1,top10pct,0.9964760541915894,0.0035239618737250566,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,1,middle40pct,0.9594319462776184,0.040567848831415176,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,1,bottom50pct,0.8987927436828613,0.10120722651481628,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,2,top10pct,0.08956833928823471,0.9104315638542175,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,2,middle40pct,0.0846191793680191,0.9153808951377869,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,2,bottom50pct,0.04772177338600159,0.952278196811676,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0,top10pct,0.39072737097740173,0.6092725992202759,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0,middle40pct,0.2446218580007553,0.7553781270980835,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0,bottom50pct,0.010520470328629017,0.9894795417785645,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,1,top10pct,0.9813324809074402,0.01866750791668892,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,1,middle40pct,0.9558422565460205,0.04415769875049591,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,1,bottom50pct,0.6681432723999023,0.33185669779777527,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,2,top10pct,0.1225697249174118,0.877430260181427,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,2,middle40pct,0.06040050461888313,0.9395996332168579,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,2,bottom50pct,0.012764441780745983,0.9872355461120605,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,0,top10pct,0.862402081489563,0.1375979483127594,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,0,middle40pct,0.7840577363967896,0.21594227850437164,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,0,bottom50pct,0.13213114440441132,0.8678688406944275,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,1,top10pct,0.9935840368270874,0.006415965501219034,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,1,middle40pct,0.8447723388671875,0.1552276611328125,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,1,bottom50pct,0.19268040359020233,0.8073195815086365,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0,top10pct,0.8791945576667786,0.12080542743206024,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0,middle40pct,0.8800321817398071,0.11996784061193466,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0,bottom50pct,0.8777496814727783,0.12225030362606049,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,1,top10pct,0.15938162803649902,0.8406183123588562,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,1,middle40pct,0.1134849339723587,0.8865150213241577,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,1,bottom50pct,0.11953748762607574,0.8804625868797302,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,0,top10pct,0.9188493490219116,0.07283530384302139,0.008315435610711575
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,0,middle40pct,0.8477946519851685,0.12179815024137497,0.030407246202230453
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,0,bottom50pct,0.3776419460773468,0.4872116148471832,0.13514648377895355
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,1,top10pct,0.5020148754119873,0.36068201065063477,0.13730314373970032
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,1,middle40pct,0.47047629952430725,0.39983779191970825,0.1296858787536621
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,1,bottom50pct,0.12210457026958466,0.848090648651123,0.029804755002260208
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,1,top10pct,0.8924590945243835,0.0843706876039505,0.02317017689347267
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,1,middle40pct,0.7646267414093018,0.22210094332695007,0.01327232550829649
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,1,bottom50pct,0.056894395500421524,0.9424611926078796,0.0006443220772780478
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,2,top10pct,0.9695221781730652,0.03021317720413208,0.00026464639813639224
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,2,middle40pct,0.9167565703392029,0.08238039910793304,0.0008631883538328111
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,2,bottom50pct,0.20892910659313202,0.7758753299713135,0.015195580199360847
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,0,top10pct,0.9091085195541382,0.09089143574237823,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,0,middle40pct,0.8856043815612793,0.11439565569162369,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,0,bottom50pct,0.8646828532218933,0.13531707227230072,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,1,top10pct,0.09155808389186859,0.9084419012069702,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,1,middle40pct,0.1302863508462906,0.8697137236595154,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,1,bottom50pct,0.12253334373235703,0.8774666786193848,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,1,top10pct,0.4944809079170227,0.5055190920829773,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,1,middle40pct,0.429382860660553,0.570617139339447,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,1,bottom50pct,0.11247958987951279,0.887520432472229,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,2,top10pct,0.8894110918045044,0.11058894544839859,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,2,middle40pct,0.8574873805046082,0.14251266419887543,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,2,bottom50pct,0.5808499455451965,0.41915011405944824,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,1,top10pct,0.33475592732429504,0.6652440428733826,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,1,middle40pct,0.20698237419128418,0.7930176854133606,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,1,bottom50pct,0.03762885928153992,0.9623710513114929,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,2,top10pct,0.9621454477310181,0.037854649126529694,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,2,middle40pct,0.9468530416488647,0.05314694344997406,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,2,bottom50pct,0.7793385982513428,0.22066137194633484,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,1,top10pct,0.08954892307519913,0.9104511141777039,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,1,middle40pct,0.06376954168081284,0.936230480670929,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,1,bottom50pct,0.03706340491771698,0.9629366397857666,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,2,top10pct,0.9629167318344116,0.037083230912685394,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,2,middle40pct,0.9591318964958191,0.04086821898818016,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,2,bottom50pct,0.9340016841888428,0.06599827110767365,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,1,top10pct,0.044670917093753815,0.9553291201591492,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,1,middle40pct,0.01227327436208725,0.9877268671989441,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,1,bottom50pct,0.004151258151978254,0.9958487749099731,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,2,top10pct,0.9953643083572388,0.004635743331164122,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,2,middle40pct,0.9939047694206238,0.006095163989812136,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,2,bottom50pct,0.9827609658241272,0.017238972708582878,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,2,top10pct,1.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,2,middle40pct,1.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,2,bottom50pct,1.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,1,top10pct,0.006051203701645136,0.993948757648468,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,1,middle40pct,0.011925440281629562,0.9880746006965637,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,1,bottom50pct,0.011553815566003323,0.9884461164474487,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,2,top10pct,0.9882372617721558,0.011762676760554314,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,2,middle40pct,0.9882542490959167,0.01174586359411478,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,2,bottom50pct,0.9894688725471497,0.010531139560043812,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,0,top10pct,0.008460533805191517,0.991539478302002,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,0,middle40pct,0.006271474063396454,0.993728518486023,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,0,bottom50pct,0.004321702755987644,0.9956782460212708,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,1,top10pct,0.646811842918396,0.3531881272792816,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,1,middle40pct,0.4403975009918213,0.5596025586128235,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,1,bottom50pct,0.11767778545618057,0.8823222517967224,0.0
