branch,diffusion_update_ratio,reaction_update_ratio,conductance_same_mean,conductance_cross_mean,conductance_same_cross_ratio,entropy_z0,entropy_zt,margin_z0,margin_zt,present_confusion_wrong_pixels
C0,0.0,0.0,0.0,0.0,0.0,0.15654576761654299,0.15654576761654299,0.8674439474100606,0.8674439474100606,23121359
D,0.022146576602586926,0.0,0.1320236427500218,0.1312041998613858,1.0062455537970714,0.1565553418622193,0.15729215089542128,0.8674250529297852,0.8667682259959669,23108145
R,0.0,0.010022316993098856,0.0,0.0,0.0,0.1570569923638778,0.1435861581237905,0.8669876037817197,0.8804908188530648,23088357
DR,0.022319326447269045,0.010039245490296186,0.13202367659407618,0.13120336036947078,1.0062522501123095,0.15718856069784004,0.14486801356703546,0.8668732300533851,0.8792214136652388,23095855
