snapshot,stage,positive_recall,positive_confidence,positive_F_median,rival_leakage,background_leakage,probability_gap,rival_gap,background_gap,empty_fraction,median_area,fraction_area_lt_001,fraction_area_gt_090,component_p90
step0250,2,0.06936648115515709,0.3503200331872076,0.34526078402996063,0.6315221455051667,0.2963710970777486,-0.19166543104354783,-0.22070372910966318,-0.07158274431601136,0.0,0.3013392686843872,0.017857142857142856,0.0,32.0
step0250,3,0.4096045345067978,0.499824698513139,0.49953198432922363,0.5132212434170975,0.2248341399244964,0.003405724643731567,-0.016335658827461075,0.08504268427345701,0.0,0.36814412474632263,0.017857142857142856,0.017857142857142856,35.0
step0500,2,0.015773809980601072,0.1783038997295573,0.09750261157751083,0.7084623883167903,0.1066172856837511,-0.4664973362234984,-0.5108070227412607,-0.08886703490995723,0.0,0.2747129946947098,0.0,0.0,14.5
step0500,3,0.0378038864582777,0.36974791011283453,0.3066813796758652,0.5339884896659188,0.10701855644583702,-0.14123960559860677,-0.17106293405239797,0.11293038284541546,0.0,0.3120216876268387,0.017857142857142856,0.03571428571428571,11.0
step1000,2,0.0,0.21417145490580908,0.08374342322349548,0.7722634424765905,0.15229538104873389,-0.4339690933840618,-0.5430032287275832,-0.01782214348962144,0.0,0.35746173560619354,0.0,0.0,10.5
step1000,3,0.07692307978868484,0.48869404058687455,0.4603446125984192,0.594559568580654,0.1339475405105251,-0.028069153261243873,-0.10345173479042763,0.2596410329084741,0.0,0.3834502398967743,0.0,0.03571428571428571,9.5
epoch1,2,0.0,0.1743868386412691,0.05416548624634743,0.7057286084112194,0.04755728566087782,-0.3748853569107363,-0.5469365370184511,0.04891228270392903,0.0,0.24489794671535492,0.03571428571428571,0.0,9.5
epoch1,3,0.031869860365986824,0.43336374117456394,0.3847624659538269,0.534888229953746,0.0367038640504082,0.011084920882357574,-0.11391183470216876,0.31897778126872,0.0,0.24585457891225815,0.03571428571428571,0.0,9.5
epoch2,2,0.0,0.22177897165054378,0.12004208564758301,0.7188992004013723,0.020137462451369787,-0.1830400798374186,-0.5218108861904147,0.16682185527723792,0.0,0.22704081237316132,0.03571428571428571,0.0,7.0
epoch2,3,0.42897725105285645,0.47907502159201115,0.4680476635694504,0.5898655866376228,0.010904889468255699,0.16339968370035024,-0.09435929606166743,0.42959751940981905,0.0,0.3014987111091614,0.0,0.0,7.0
epoch3,2,0.0,0.28557295554095724,0.14118082076311111,0.7419858876305322,0.01281615877348297,-0.08142755314690509,-0.4500507197323704,0.23455479583892075,0.0,0.2338966801762581,0.0,0.0,7.5
epoch3,3,0.9181159436702728,0.5633400716161288,0.6056187748908997,0.5395795799584853,0.011046840018540059,0.28798539591736416,0.026305869029219275,0.5122960716503414,0.0,0.28268493711948395,0.0,0.0,7.0
epoch4,2,0.0,0.2765710528651665,0.1269262135028839,0.7363520295255714,0.01941234926925972,-0.008639000800424845,-0.4408810791231331,0.2388908226218438,0.0,0.21843111515045166,0.017857142857142856,0.0,7.0
epoch4,3,0.9583333432674408,0.5603028313956347,0.6228330135345459,0.4913794789877203,0.01064874290022999,0.34722027879864953,0.03539525455996895,0.5257914940027807,0.0,0.2499999925494194,0.017857142857142856,0.0,7.0
epoch5,2,0.0,0.28805681450191317,0.13974858820438385,0.7383787642750476,0.01146698885297935,-0.006194901145705256,-0.44383540505545155,0.25970721031077537,0.0,0.21890943497419357,0.03571428571428571,0.0,6.5
epoch5,3,0.8093504905700684,0.5224006152777548,0.5357831716537476,0.5675430295988917,0.005162225188022214,0.2887231231499161,-0.05109390736858832,0.49518953820179173,0.0,0.2672193795442581,0.03571428571428571,0.0,7.0
