snapshot,stage,projected_update_norm_mean,projected_update_norm_p90,query_delta_norm_mean,query_delta_norm_p90,old_new_cosine_mean
step0250,2,4.013061439542442,4.575712108612061,4.8450843305612095,5.442332363128664,0.9525411384066149
step0250,3,3.448275980216508,3.5608785152435303,4.428510883632971,4.604562139511109,0.9606807673521036
step0500,2,4.044538919224727,4.912612676620483,4.80689963059766,5.434187746047974,0.9519807343390219
step0500,3,3.2859531950433642,3.4700024127960214,4.325094183184663,4.541336917877198,0.9615983713741357
step1000,2,4.066148324166329,5.01750693321228,4.787469720924083,5.695139694213867,0.9498870249989689
step1000,3,3.1347665078177744,3.3154389858245854,4.0925805046774295,4.335114431381226,0.9640726203631077
epoch1,2,3.955092073817338,4.93672194480896,4.62353113019953,5.512650585174561,0.9526987298752885
epoch1,3,3.0630980855880345,3.213014388084412,4.0214281328098505,4.259581756591797,0.964827891847841
epoch2,2,3.919492817236757,4.935147714614869,4.456638047889787,5.315715885162353,0.9519986333990735
epoch2,3,2.85590404374715,2.976333260536194,3.6733193150816525,3.8717358350753783,0.9681110967482839
epoch3,2,3.8502848355897834,4.853230905532837,4.323961048253945,5.170102357864381,0.951702615094124
epoch3,3,2.5251252430738234,2.6754595756530763,3.2854046656236964,3.4801711082458495,0.9728746921565308
epoch4,2,3.6862155142031154,4.645734357833862,4.151749538599836,4.976742124557496,0.9537272040390087
epoch4,3,2.3557525985323045,2.4631497859954834,3.0938966579887333,3.2794109106063845,0.9749986533531729
epoch5,2,3.671277252082922,4.535559463500977,4.124790234301163,4.884028911590576,0.9537001059257558
epoch5,3,2.297824858098614,2.4027029991149904,3.0145681830009026,3.1965296030044557,0.9759273367591811
