step,module,grad_rms_mean,grad_rms_p50,grad_rms_p90,zero_fraction,nonfinite_fraction
100,backbone,0.0005302731016334812,0.0003582211793400347,0.0009033425361849367,0.0670301199757627,0.0
100,deep,0.005392489023506641,0.005392489023506641,0.005392489023506641,0.0,0.0
100,query,0.00042940321809226134,0.00027586233045440167,0.0008759875607211143,0.00010057290404574815,0.0
100,ccra,0.0003205843529511601,0.00023088625312084332,0.0007646621263120325,2.2649765014648438e-05,0.0
100,pixel,0.0004546471905699106,0.00019937691104132682,0.000484814652008936,0.0,0.0
100,mask_heads,0.0005589607976111842,0.00017810489953262731,0.0013243193388916556,2.1192762586805555e-05,0.0
100,pca,0.0016820950945112638,0.0013106722035445273,0.003688527154736221,0.0,0.0
200,backbone,0.00033538793317607735,0.00022652139887213707,0.0006551612401381138,0.07555643731196011,0.0
200,deep,0.0047574094496667385,0.0047574094496667385,0.0047574094496667385,0.0,0.0
200,query,0.00036716583529283753,0.0002470784747856669,0.0007432718877680601,0.00019466876983642578,0.0
200,ccra,0.0002617171796994097,0.00019338927086209878,0.0006068035669159144,2.562999725341797e-05,0.0
200,pixel,0.00022340840535625044,0.00012135517317801714,0.0002014568221056834,0.0,0.0
200,mask_heads,0.0001552323172088816,7.151541649363935e-05,0.0004383227671496571,5.8492024739583336e-05,0.0
200,pca,0.0013018775702112368,0.0012442069710232317,0.0032529840478673585,0.0,0.0
250,backbone,0.0004343401634417075,0.0002618494618218392,0.000916582229547203,0.06241049006348476,0.0
250,deep,0.0033817936200648546,0.0033817936200648546,0.0033817936200648546,0.0,0.0
250,query,0.000597222028517308,0.0002529084449633956,0.0007228797767311336,9.946028393414963e-05,0.0
250,ccra,0.00023458569459024886,0.00016256502567557618,0.000587609299691394,1.609325408935547e-05,0.0
250,pixel,0.0005845862272228539,0.00016385906201321632,0.00025561605580151083,0.0,0.0
250,mask_heads,0.0003446548673511845,0.00014133690274320543,0.0011197637883014978,3.6451551649305555e-05,0.0
250,pca,0.0013118879911170704,0.0012032943777740002,0.002763989963568747,0.0,0.0
300,backbone,0.00040384538795998587,0.0002798625500872731,0.0006744353100657464,0.06756704876066319,0.0
300,deep,0.005544115323573351,0.005544115323573351,0.005544115323573351,0.0,0.0
300,query,0.0004415900572354303,0.0002054627548204735,0.0005177808809094133,0.00016315778097464317,0.0
300,ccra,0.00016806231603366112,0.0001145238711615093,0.00039833258197177204,3.409385681152344e-05,0.0
300,pixel,0.0006942561492626107,0.0001973104226635769,0.0003291399858426303,0.0,0.0
300,mask_heads,0.0003624142445914913,0.00016209531167987734,0.0008501175150740897,2.4583604600694445e-05,0.0
300,pca,0.0008578569044459528,0.0009179110347758979,0.00154711160575971,0.0,0.0
400,backbone,0.0008642885713405641,0.0004694027011282742,0.0016626083292067054,0.06559239515169923,0.0
400,deep,0.004979951772838831,0.004979951772838831,0.004979951772838831,0.0,0.0
400,query,0.0005045069420646087,0.00042242035851813853,0.0009127918281592429,0.00010037422180175781,0.0
400,ccra,0.0003252254222128881,0.00024848726752679795,0.0007342503056861461,2.193450927734375e-05,0.0
400,pixel,0.0007952228679641848,0.00015314901247620583,0.0003152201359625906,0.0,0.0
400,mask_heads,0.00035199284361119173,0.00013148201833246276,0.0008622090448625387,4.153781467013889e-05,0.0
400,pca,0.0014868502375430619,0.0013761589652858675,0.00308309942483902,0.0,0.0
500,backbone,0.00032359249744331466,0.00020596879767253995,0.0006303614121861758,0.08350558224769884,0.0
500,deep,0.0025341655127704144,0.0025341655127704144,0.0025341655127704144,0.0,0.0
500,query,0.0005873775325540009,0.0004098986246390268,0.0009992883249651642,0.00022439161955389864,0.0
500,ccra,0.00038159802353332495,0.00029905998962931335,0.0009135944361332804,1.5735626220703125e-05,0.0
500,pixel,0.002471392335092577,0.0005399645306169987,0.0013609904563054445,0.0,0.0
500,mask_heads,0.0006926895993173174,0.0002586798364063725,0.001716866018250585,1.6954210069444445e-05,0.0
500,pca,0.0015052528408527148,0.0011532206553965807,0.0035004808101803068,0.0,0.0
600,backbone,0.0004366648495696219,0.000271268974756822,0.0007652220199815931,0.0662353091773444,0.0
600,deep,0.0037513261195272207,0.0037513261195272207,0.0037513261195272207,0.0,0.0
600,query,0.0005443220339031996,0.0003773916978389025,0.001043437200132758,0.00010081132256800629,0.0
600,ccra,0.00029301118793127745,0.00021082843886688352,0.0006654231285210699,2.47955322265625e-05,0.0
600,pixel,0.00019646055975149816,0.0001769930822774768,0.0003009171283338219,0.0,0.0
600,mask_heads,0.0004207670527749643,0.00022768034978071228,0.0009582720114849513,2.2040473090277777e-05,0.0
600,pca,0.0012944558312793693,0.0011120655108243227,0.0026645362144336105,0.0,0.0
