snapshot,stage,gap_delta,recall_delta,confidence_delta,rival_delta,background_delta
step0250,2,0.0036529285896689245,-0.029167354106903076,-0.047748123274161,-0.20043678995635772,-0.039744092107173945
step0250,3,-0.002060454857280958,0.2040272355079651,0.011651231888169744,-0.031536565389898075,-0.007500248872453236
step0500,2,0.01826565924528456,0.07393792271614075,-0.10425382416652607,-0.27195042145128057,-0.0737103561974234
step0500,3,0.004755557470008054,0.33174893260002136,0.06050068156515187,-0.09953145996357003,-0.00205818507820367
step1000,2,0.022148906083604536,0.05991271138191223,-0.11942045433167303,-0.3296881224183986,-0.09389158251120688
step1000,3,0.009424591454161135,0.2630031406879425,0.04516925613556977,-0.12724205023712581,-0.04294809761476959
epoch1,2,0.009733755210009909,0.06899505853652954,-0.13236300082554153,-0.3461320886698862,-0.019401788815028135
epoch1,3,0.02589917871403724,0.2916243076324463,0.0599447246486956,-0.13738155391895107,-0.018487948262029222
epoch2,2,-0.023322801194111897,0.08810558915138245,-0.13926900782941642,-0.31195336379007327,-0.01834159560634622
epoch2,3,0.04619911819315614,0.30409348011016846,0.06568926415264709,-0.12661425387486816,-0.007390968411286571
epoch3,2,-0.046535727565947926,0.044688254594802856,-0.14961893702604256,-0.3915836825035513,-0.010401116104199078
epoch3,3,0.04318453220491569,0.2414185106754303,0.06398143992044503,-0.15435954643827346,-0.002133005729191147
epoch4,2,-0.07381095232519375,0.06002402305603027,-0.1571527867535466,-0.39106974431003133,-0.00354322065582632
epoch4,3,0.05121596504827952,0.262152761220932,0.06868024172061171,-0.1532156584577428,-0.0044169892041411776
epoch5,2,-0.03873604790098473,0.0,-0.08888175822214395,-0.2041031182019247,-0.009798537548964046
epoch5,3,0.027053227715517325,0.02490699291229248,0.037318785098018004,-0.06019466039207247,-0.0003144710603269884
