snapshot,stage,JS_median,JS_mean,top1_difference,top3_jaccard,top5_jaccard
step0250,2,0.12806028127670288,0.1259411249861673,1.0,0.022222222222222227,0.01748971193415638
step0250,3,0.10647622495889664,0.10363170939187209,0.9629629629629629,0.007407407407407408,0.004115226337448559
step0500,2,0.13779670000076294,0.13692311901185247,1.0,0.014814814814814815,0.013374485596707819
step0500,3,0.126205176115036,0.12856101920759236,1.0,0.007407407407407408,0.004115226337448559
step1000,2,0.1416338086128235,0.13768687223394713,1.0,0.014814814814814815,0.02263374485596708
step1000,3,0.14310285449028015,0.1370235976797563,0.9629629629629629,0.014814814814814815,0.018518518518518517
epoch1,2,0.1560211181640625,0.15095751663600956,1.0,0.007407407407407408,0.029247501469723696
epoch1,3,0.13876628875732422,0.14312948120964897,1.0,0.022222222222222227,0.012345679012345678
epoch2,2,0.14076665043830872,0.13818695823903437,1.0,0.025925925925925925,0.029247501469723696
epoch2,3,0.14664873480796814,0.13875288585269893,0.9259259259259259,0.022222222222222227,0.01748971193415638
epoch3,2,0.13767802715301514,0.13053552820174782,1.0,0.025925925925925925,0.04056437389770723
epoch3,3,0.14509035646915436,0.14607257106237942,0.8888888888888888,0.022222222222222227,0.01748971193415638
epoch4,2,0.1344786435365677,0.1270177193261959,1.0,0.014814814814814815,0.030864197530864196
epoch4,3,0.13244308531284332,0.14115967422171874,0.9259259259259259,0.03333333333333333,0.02263374485596708
epoch5,2,0.3325016498565674,0.3115974035527971,1.0,0.040740740740740744,0.02821869488536155
epoch5,3,0.29024043679237366,0.2920499946232195,1.0,0.007407407407407408,0.004115226337448559
