snapshot,stage,positive_recall,positive_confidence,positive_F_median,rival_leakage,background_leakage,probability_gap,rival_gap,background_gap,empty_fraction,median_area,fraction_area_lt_001,fraction_area_gt_090,component_p90
step0250,2,0.7117898762226105,0.6151657154035136,0.6107193827629089,0.4623387252498004,0.30225736798629876,0.12544679090673488,0.11155559652677594,0.1828913401431247,0.0,0.4301658123731613,0.0,0.03571428571428571,46.5
step0250,3,0.608151376247406,0.5528567093059026,0.5412118136882782,0.3465804898076587,0.23620453219683396,0.10434418453084832,0.09602714218010511,0.13873782526110068,0.0,0.3341836780309677,0.0,0.017857142857142856,55.5
step0500,2,0.8013519048690796,0.7072325105907071,0.7758381366729736,0.4179096069600847,0.15588019457128313,0.24584500853275265,0.2262535114923171,0.412813983309798,0.0,0.45057396590709686,0.0,0.017857142857142856,33.5
step0500,3,0.5571070313453674,0.5475625992278835,0.5965907275676727,0.21427487059910263,0.12232438996434211,0.2688099179569603,0.26664441479669276,0.2872654674129339,0.0,0.26323340833187103,0.0,0.017857142857142856,38.5
step1000,2,0.928101509809494,0.8175828235871481,0.9255473613739014,0.49458105688293774,0.166137533579418,0.3202770220340996,0.25602445798000406,0.5655076415072309,0.0,0.5038265287876129,0.0,0.017857142857142856,27.5
step1000,3,0.7359375059604645,0.6606667219111462,0.7610128819942474,0.25572924435966543,0.15107777399664862,0.3551704425597728,0.33048969668859346,0.4493686226347744,0.0,0.35076530277729034,0.0,0.017857142857142856,35.5
epoch1,2,0.9004092514514923,0.7969380986258381,0.90798619389534,0.46028326836725075,0.03531595729291439,0.3870097548027833,0.2628929202574999,0.6927351876873699,0.0,0.4095982164144516,0.0,0.0,24.5
epoch1,3,0.684086412191391,0.6048562254391986,0.7020601332187653,0.19335161635859144,0.04456892253624068,0.3824704626310358,0.33030845777202905,0.5109562685579464,0.0,0.24585458636283875,0.0,0.0,32.0
epoch2,2,0.9073156714439392,0.8311511854830109,0.9552101492881775,0.5139553238534265,0.022333227815486644,0.5056118959117157,0.24537551910787547,0.7743682369789224,0.0,0.38536351919174194,0.0,0.0,23.0
epoch2,3,0.6959064602851868,0.6403891445537921,0.742645263671875,0.25200096807546085,0.014328007909412287,0.46150914647710795,0.3313714855730566,0.5959074270294892,0.0,0.24091198295354843,0.0,0.0,27.0
epoch3,2,0.9553117454051971,0.8551621030061042,0.9699690639972687,0.5303781406953931,0.015070876958867852,0.553452368068575,0.2598142872871755,0.8051577922730632,0.0,0.3732461631298065,0.0,0.0,23.5
epoch3,3,0.7585814893245697,0.6584500384310746,0.7540684044361115,0.22423538424902492,0.008988801794091486,0.501238449874048,0.3678205952362805,0.6156037175146994,0.0,0.22002550959587097,0.0,0.0,25.0
epoch4,2,0.9399759769439697,0.8559957926155747,0.9662168323993683,0.5528573433558146,0.012066765921190381,0.6202657453882656,0.26437389290267177,0.8240724819860222,0.0,0.33785076439380646,0.0,0.0,20.0
epoch4,3,0.737847238779068,0.6419593534287313,0.732660710811615,0.21959658716287878,0.007433299166483006,0.5198102558926322,0.3509196710660786,0.6165279489086021,0.0,0.1930803507566452,0.0,0.0,23.5
epoch5,2,1.0,0.8799382279903878,0.9203459322452545,0.2812313446775079,0.014967096462247096,0.7216084636423986,0.50221532403325,0.8549075950984072,0.0,0.30054208636283875,0.0,0.0,13.5
epoch5,3,0.9750930070877075,0.756801566419254,0.7927466332912445,0.09941365445653598,0.0037236045879711,0.6685146552138979,0.5587426722312787,0.7352100405657592,0.0,0.2015306055545807,0.0,0.0,11.0
