snapshot,stage,D_perm_mean,D_perm_std,D_perm_min,D_perm_max,D_perm_positive,D_perm_rival,D_perm_background
step0250,2,0.04331218455445196,0.02581800718119687,0.00012862424773629755,0.10840098559856415,0.05487935927861339,0.06130563206243096,0.03124528509501293
step0250,3,0.03628004158925283,0.02513314972508795,1.829958455346059e-05,0.12285672873258591,0.04548890330849125,0.0533259488745696,0.025705649274246276
step0500,2,0.10057070128472592,0.0644175148795196,0.0005055374931544065,0.25172993540763855,0.12009711821597843,0.14565854233126932,0.05533609270302501
step0500,3,0.10575005366750442,0.07034464529888726,4.06011677114293e-05,0.25905588269233704,0.12685468573264252,0.13859616633077773,0.07024305725084458
step1000,2,0.11361617117394676,0.07780718448321024,0.0017204100731760263,0.3247426748275757,0.14138049264589167,0.1640170411177678,0.06135167186368291
step1000,3,0.11615815408845265,0.07678312757482605,0.00022044563957024366,0.30075493454933167,0.14578730423370093,0.1633959901455253,0.06511976033494223
epoch1,2,0.10107070927136062,0.06771111722677388,0.002045649802312255,0.2866581082344055,0.138608284721678,0.17004501833839136,0.028237286208281552
epoch1,3,0.0996571623975017,0.06458935972948186,0.0002452362095937133,0.2524629235267639,0.14256774321337876,0.15843774448573336,0.028601616643168706
epoch2,2,0.09204560331571494,0.06469131974968474,0.0008075439254753292,0.27581366896629333,0.1433117212816017,0.16421945313826047,0.013408874217744522
epoch2,3,0.09212669260864459,0.06261708143058199,0.00024238442711066455,0.24026940762996674,0.14490522517441815,0.16469289403046586,0.013220901797764355
epoch3,2,0.0819720882087235,0.05740811233310555,0.0005931590567342937,0.24085001647472382,0.14020915188569102,0.1549522703340497,0.010262959990524116
epoch3,3,0.09199706293293275,0.06170254625894334,0.00024976764689199626,0.2439182847738266,0.15643505044665826,0.1746891848197063,0.010928021002320817
epoch4,2,0.07297071703747601,0.0508956176453779,0.0006844188319519162,0.20261713862419128,0.13629138895969714,0.15289222626144894,0.01292328257193276
epoch4,3,0.07938087772624515,0.05549719886864633,0.0002517711545806378,0.19585904479026794,0.14903023597200007,0.16938537805528742,0.0109296850217301
epoch5,2,0.12992555631067912,0.0996524222788376,0.0010834757704287767,0.36382612586021423,0.24811405128301495,0.2837815192110914,0.013962700676269637
epoch5,3,0.12205116363049585,0.08856756076742109,0.00013941331417299807,0.3187839686870575,0.2379633810810223,0.26926584973569134,0.009845178279287024
