snapshot,stage,empty_fraction,fraction_area_gt_090,median_area,component_p90,binary_iou_median,soft_iou_median,embedding_cosine_median,all_finite
step0250,2,0.0018281535648994515,0.055758683729433274,0.38647958636283875,35.0,0.24316730350255966,0.7069328129291534,0.6420989334583282,True
step0250,3,0.0,0.015440508628519528,0.40880101919174194,36.0,0.3750835061073303,0.7565488219261169,0.623054563999176,True
step0500,2,0.0018248175182481751,0.014598540145985401,0.30452805757522583,14.0,0.15971820801496506,0.4262305945158005,0.6371330320835114,True
step0500,3,0.0,0.015496809480401094,0.3689413070678711,13.0,0.17473769187927246,0.40269920229911804,0.58904629945755,True
step1000,2,0.0,0.01317027281279398,0.3647959232330322,11.0,0.44307470321655273,0.4667634069919586,0.6227415800094604,True
step1000,3,0.0,0.0228310502283105,0.39540815353393555,10.0,0.3881721645593643,0.4483329653739929,0.5691587328910828,True
epoch1,2,0.000931098696461825,0.0,0.2557397931814194,10.0,0.23670212924480438,0.36418479681015015,0.6457114219665527,True
epoch1,3,0.002737226277372263,0.0036496350364963502,0.2817283123731613,9.5,0.21093401312828064,0.3259227126836777,0.5742082297801971,True
epoch2,2,0.0009541984732824427,0.0,0.24744898080825806,7.0,0.2611607015132904,0.3511022925376892,0.6717361211776733,True
epoch2,3,0.001834862385321101,0.0,0.2763073891401291,7.0,0.21322425454854965,0.2920740693807602,0.5907312631607056,True
epoch3,2,0.0019342359767891683,0.0,0.24872449040412903,7.0,0.2914685606956482,0.36311669647693634,0.6837866604328156,True
epoch3,3,0.002737226277372263,0.0,0.2590879946947098,7.0,0.2483930140733719,0.30826807022094727,0.6065018177032471,True
epoch4,2,0.0028957528957528956,0.0,0.23421555757522583,7.0,0.30060121417045593,0.35325562953948975,0.6992250680923462,True
epoch4,3,0.0027247956403269754,0.0,0.2292729616165161,7.0,0.21739129722118378,0.2883351147174835,0.6191834211349487,True
epoch5,2,0.001890359168241966,0.0,0.24075254797935486,7.0,0.32626722753047943,0.3696221858263016,0.7129242718219757,True
epoch5,3,0.006363636363636364,0.0,0.2433035671710968,7.0,0.18621604144573212,0.2583318054676056,0.6185649633407593,True
