epoch,step,loss,loss_deep,loss_pca,loss_mask,loss_pca_stage1,loss_pca_stage2,loss_pca_stage3,loss_mask_stage1,loss_mask_stage2,loss_mask_stage3,lr
1,100,0.5658223628997803,0.5112031102180481,0.5491452217102051,0.6917381286621094,0.5349164009094238,0.6232540011405945,0.5103715062141418,0.6244913935661316,0.705849826335907,0.7101698517799377,0.009847692913518632
1,200,0.40872928500175476,0.3391512334346771,0.35686105489730835,0.5997536182403564,0.3830910325050354,0.3374687731266022,0.35800445079803467,0.44211307168006897,0.6335561275482178,0.6425282955169678,0.009693581169705935
1,250,0.38270673155784607,0.30555984377861023,0.3356923460960388,0.584014892578125,0.33506646752357483,0.37734025716781616,0.31095391511917114,0.46964892745018005,0.6014737486839294,0.6192860007286072,0.009616423356842594
1,300,0.4658123254776001,0.44058161973953247,0.42031073570251465,0.5617753267288208,0.42087164521217346,0.41399651765823364,0.42387494444847107,0.49575328826904297,0.5815463662147522,0.576321542263031,0.009539196695150508
1,400,0.4778539538383484,0.49066853523254395,0.4492694139480591,0.4808092713356018,0.44022026658058167,0.44165775179862976,0.4574560225009918,0.39982759952545166,0.5079983472824097,0.4968884587287903,0.009384534084774332
1,500,0.3707621395587921,0.3002602159976959,0.37437528371810913,0.5081528425216675,0.3703589141368866,0.3889217972755432,0.3672539293766022,0.35988959670066833,0.5534415245056152,0.5402849316596985,0.009229587725234767
1,600,0.37711071968078613,0.35080766677856445,0.3651154041290283,0.44171208143234253,0.40109989047050476,0.3373841941356659,0.36736032366752625,0.32337138056755066,0.49806317687034607,0.4552377164363861,0.009074351782856477
1,700,0.3742392063140869,0.3603995144367218,0.38177090883255005,0.3943869173526764,0.32763367891311646,0.42771196365356445,0.37586116790771484,0.2223321944475174,0.4364958703517914,0.4379434287548065,0.008918820190620817
1,800,0.34421229362487793,0.3055632412433624,0.32641056180000305,0.43931207060813904,0.3372299075126648,0.3271311819553375,0.3216504454612732,0.28529617190361023,0.47185570001602173,0.4813922643661499,0.00876298663411931
1,900,0.30343034863471985,0.26206570863723755,0.2842597961425781,0.40533018112182617,0.2835668623447418,0.28756245970726013,0.28255540132522583,0.35188648104667664,0.4224018156528473,0.4164646565914154,0.008606844536366589
1,1000,0.32773253321647644,0.28862887620925903,0.3181481659412384,0.4155242443084717,0.3175051212310791,0.3038341999053955,0.32699376344680786,0.24623163044452667,0.46505793929100037,0.4535210430622101,0.008450387041355296
1,1100,0.29693758487701416,0.25291022658348083,0.2990720868110657,0.3828577399253845,0.2918056547641754,0.3027949333190918,0.29974493384361267,0.23344922065734863,0.4229446351528168,0.41856899857521057,0.008293606996220585
1,1171,0.3045310974121094,0.27137887477874756,0.2965604066848755,0.37880629301071167,0.29828694462776184,0.27142825722694397,0.31094902753829956,0.2660217881202698,0.42626696825027466,0.3954436779022217,0.008182093277487432
