snapshot,stage,gap_gain,recall_gain,confidence_gain,rival_reduction,background_reduction
step0250,2,0.32076515053995164,0.6132560409605503,0.217097558942145,0.36962021021172403,0.033857821198623794
step0250,3,0.09887800502983579,0.4025740772485733,0.06468324268093334,0.19817731899933688,-0.0038701433998843127
step0500,2,0.7306080040015357,0.8595160176046193,0.4246747866946238,0.5625032028079862,0.024447447309891374
step0500,3,0.4148050810255751,0.8510520774871111,0.23831537068020087,0.4192450790303862,-0.013247648440301421
step1000,2,0.7763950215017659,0.9880142211914062,0.48399091434966596,0.6073705080120514,0.08004942998052278
step1000,3,0.3926641872751778,0.9220175668597221,0.2171419374598414,0.46607237445811434,0.025817864128646062
epoch1,2,0.7716288669235296,0.9694043099880219,0.4901882591590274,0.5915774287138549,0.031643117182991565
epoch1,3,0.39728472046271546,0.9438408594578505,0.23143720891333025,0.4789181675141056,0.010622889776196742
epoch2,2,0.6653291745550225,0.9954212605953217,0.4701032060030507,0.5168972403380192,0.01614583024222936
epoch2,3,0.34430858096991385,0.5710226893424988,0.22700338711442808,0.4644788724370301,0.003967849970129983
epoch3,2,0.5883441936495322,1.0,0.4199702104391044,0.6031914294386904,0.008146397918814195
epoch3,3,0.2564375861615995,0.08188405632972717,0.1590914067353909,0.4697037421477338,0.0041910439536397195
epoch4,2,0.5550937938634968,1.0,0.4222719529968616,0.5745644304797881,0.01088880400389566
epoch4,3,0.22380594214226218,0.041666656732559204,0.1503367637537083,0.42499855028258426,0.007632432937888163
epoch5,2,0.6890673168871191,1.0,0.5029996552663307,0.6612505377994644,0.006298429939696299
epoch5,3,0.4068447597794991,0.19064950942993164,0.2717197362395172,0.5283240355344282,0.001753091660378102
