snapshot,stage,dominant_share,effective_queries,normalized_entropy,queries_above_uniform,top5_mass,top10_mass
step0250,2,0.012399532366544008,168.23697662353516,0.9710614085197449,102.0,0.05298210307955742,0.09855515137314796
step0250,3,0.011003992985934019,173.32118225097656,0.9767022430896759,100.0,0.05095768719911575,0.09533606097102165
step0500,2,0.012605917174369097,167.99972534179688,0.9707911610603333,102.0,0.055132944136857986,0.10233218967914581
step0500,3,0.011754147708415985,164.2006378173828,0.9664604365825653,102.5,0.05597854591906071,0.1055331714451313
step1000,2,0.012484222650527954,166.8513641357422,0.9694903492927551,98.0,0.05794760398566723,0.10721272230148315
step1000,3,0.01200555358082056,163.9791717529297,0.9662046730518341,104.0,0.05568511225283146,0.10488332435488701
epoch1,2,0.012649479787796736,162.7864227294922,0.9648213684558868,100.0,0.05897544138133526,0.10992313548922539
epoch1,3,0.012232811655849218,162.5591278076172,0.9645567238330841,103.5,0.056318240240216255,0.10600060224533081
epoch2,2,0.012836076319217682,163.87258911132812,0.9660815298557281,96.0,0.058443162590265274,0.10895929485559464
epoch2,3,0.012409358751028776,164.34942626953125,0.9666268825531006,104.0,0.05586622841656208,0.10411736369132996
epoch3,2,0.012818170245736837,164.39498138427734,0.9666845500469208,94.0,0.05962916649878025,0.11253923550248146
epoch3,3,0.011959650553762913,162.2093963623047,0.9641473591327667,103.0,0.05436036363244057,0.1036134622991085
epoch4,2,0.012800162192434072,164.2713165283203,0.9665411710739136,96.0,0.05905988812446594,0.11070568487048149
epoch4,3,0.012232034467160702,162.31218719482422,0.964252769947052,104.0,0.05616048909723759,0.10583104193210602
epoch5,2,0.022897223010659218,135.16414642333984,0.9295834302902222,84.0,0.08859769627451897,0.16229742020368576
epoch5,3,0.017337115481495857,139.10318756103516,0.9350334107875824,101.0,0.07543490827083588,0.13670408725738525
