snapshot,stage,effective_contributing_queries,normalized_entropy,top5_mass
step0250,2,166.09149932861328,0.9686297178268433,0.05812571942806244
step0250,3,172.00599670410156,0.9752589762210846,0.051364291459321976
step0500,2,161.32701110839844,0.9631153643131256,0.05997171066701412
step0500,3,158.6146697998047,0.9599029421806335,0.06713008880615234
step1000,2,160.62342071533203,0.9622872471809387,0.060002587735652924
step1000,3,161.54717254638672,0.9633737504482269,0.061406105756759644
epoch1,2,155.3764190673828,0.9559948146343231,0.06710627675056458
epoch1,3,153.8677520751953,0.9541462659835815,0.0670965313911438
epoch2,2,157.39122772216797,0.958435595035553,0.0663166232407093
epoch2,3,158.7823715209961,0.9601019024848938,0.06478090584278107
epoch3,2,155.586669921875,0.9562504589557648,0.06808795779943466
epoch3,3,156.3427734375,0.9571691751480103,0.06529256328940392
epoch4,2,154.55506134033203,0.9549906551837921,0.06694420427083969
epoch4,3,158.09165954589844,0.9592771232128143,0.06571021303534508
epoch5,2,125.74164581298828,0.9158969521522522,0.09764205291867256
epoch5,3,135.0261001586914,0.9293970465660095,0.07825611159205437
