snapshot,stage,positive_recall,positive_confidence,positive_F_median,rival_leakage,background_leakage,probability_gap,rival_gap,background_gap,empty_fraction,median_area,fraction_area_lt_001,fraction_area_gt_090,component_p90,CPR
step0250,2,0.6826225221157074,0.5674175921293526,0.5427683591842651,0.2619019352934427,0.2625132758791248,0.1290997194964038,0.1251715087938841,0.14534413210338343,0.0,0.3115433603525162,0.0,0.017857142857142856,46.0,1.6897481679916382
step0250,3,0.8121786117553711,0.5645079411940723,0.5560121238231659,0.31504392441776063,0.22870428332438072,0.10228372967356736,0.09267741436752136,0.1420089280607253,0.0,0.38807396590709686,0.0,0.017857142857142856,38.0,1.0893956422805786
step0500,2,0.8752898275852203,0.6029786864241811,0.6325305700302124,0.14595918550880418,0.08216983837385973,0.2641106677780372,0.25515893973097664,0.34040197167460723,0.0,0.2984693795442581,0.017857142857142856,0.017857142857142856,15.0,4.190192818641663
step0500,3,0.8888559639453888,0.6080632807930354,0.6299412846565247,0.1147434106355326,0.12026620488613844,0.27356547542696835,0.2675483147649899,0.32484686269031615,0.0,0.2861925959587097,0.017857142857142856,0.017857142857142856,13.5,2.134026050567627
step1000,2,0.9880142211914062,0.698162369255475,0.7168896496295929,0.1648929344645391,0.0722459510682111,0.3424259281177041,0.3073592449629009,0.4762637688252029,0.0,0.42219386994838715,0.0,0.017857142857142856,11.0,7.224998712539673
step1000,3,0.998940646648407,0.7058359780467159,0.7211712300777435,0.12848719412253962,0.10812967638187904,0.36459503401393395,0.3378191279950779,0.4667897419859012,0.0,0.3695790767669678,0.0,0.03571428571428571,10.5,1.60789555311203
epoch1,2,0.9694043099880219,0.6645750978002966,0.6959012448787689,0.11415117969736457,0.015914168477886254,0.39674351001279323,0.32531536748951395,0.5726857975604525,0.0,0.2739158123731613,0.017857142857142856,0.0,9.0,9.967121601104736
epoch1,3,0.9757107198238373,0.6648009500878942,0.6966123580932617,0.05597006243964036,0.02608097427421146,0.40836964134507303,0.3460832633930788,0.5617938720866233,0.0,0.26992984116077423,0.017857142857142856,0.0,9.0,1.6821200251579285
epoch2,2,0.9954212605953217,0.6918821776535945,0.71782585978508,0.2020019600633532,0.003991632209140427,0.48228909471760384,0.320527741813227,0.6493464057154102,0.0,0.28332269191741943,0.0,0.0,7.0,6.143841028213501
epoch2,3,0.9999999403953552,0.7060784087064392,0.72121262550354,0.1253867142005927,0.006937039498125716,0.5077082646702641,0.3619428188146928,0.6582459733615544,0.0,0.2841199040412903,0.017857142857142856,0.0,7.0,1.492513358592987
epoch3,2,1.0,0.7055431659800616,0.7214241921901703,0.13879445819184183,0.004669760854668774,0.5069166405026271,0.3231025960851305,0.6644813266009956,0.0,0.2745535671710968,0.0,0.0,7.0,7.175147294998169
epoch3,3,1.0,0.7224314783515197,0.7231898307800293,0.06987583781075146,0.006855796064900339,0.5444229820789637,0.39217481337267623,0.6749295219207812,0.017857142857142856,0.2568558603525162,0.017857142857142856,0.0,7.0,1.160639464855194
epoch4,2,1.0,0.6988430058620281,0.7074169814586639,0.16178759904578327,0.008523545265364061,0.5464547930630719,0.3245393674890439,0.6735379459115226,0.0,0.23692601174116135,0.0,0.0,6.0,7.788838148117065
epoch4,3,1.0,0.710639595149343,0.7202051877975464,0.06638092870513598,0.003016309962341828,0.5710262209409117,0.3772780140160784,0.6819789991493299,0.017857142857142856,0.22672193497419357,0.017857142857142856,0.0,6.0,1.16163170337677
epoch5,2,1.0,0.7910564697682438,0.8069892227649689,0.07712822647558318,0.00516855891328305,0.6828724157414139,0.5403383416330948,0.7694734294074447,0.0,0.2405931055545807,0.0,0.0,6.0,8.632639646530151
epoch5,3,1.0,0.794120351517272,0.8277213275432587,0.03921899406446351,0.0034091335276441115,0.6955678829294152,0.5711985323413307,0.771132353371262,0.0,0.23820152878761292,0.0,0.0,6.0,1.4686922430992126
