image_id,UDT,RG,ADT,SDT,ADT_active_count,RG_active_count
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,0.642944872379303,0.6636935472488403,0.7071197628974915,1.1403818130493164,367,367
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1.1755075454711914,1.223206639289856,0.8683797717094421,1.7277227640151978,178,178
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1.0533251762390137,1.0749105215072632,1.6176880598068237,2.019111156463623,129,129
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1.5501699447631836,1.6258742809295654,2.2759432792663574,2.92966890335083,164,164
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1.181662678718567,1.14389967918396,1.4517543315887451,1.8514670133590698,229,229
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1.0846469402313232,1.019562840461731,1.4451055526733398,2.227036952972412,242,242
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,1.0884828567504883,1.0145606994628906,1.3156259059906006,1.7927279472351074,156,156
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,1.3468648195266724,1.2466228008270264,1.5663106441497803,1.8000311851501465,120,120
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,1.5825427770614624,1.6836845874786377,1.7596467733383179,1.8561209440231323,150,150
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,1.0427120923995972,0.966152548789978,1.5132554769515991,2.0180139541625977,140,140
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,1.2906599044799805,1.336014986038208,1.0821166038513184,1.5510897636413574,187,187
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0.9298780560493469,1.118805170059204,1.0627132654190063,1.8910605907440186,216,216
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,1.116660475730896,0.9518611431121826,1.269218921661377,1.5804088115692139,153,153
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,1.0319256782531738,0.8959305882453918,1.226790189743042,1.5500788688659668,211,211
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,1.3263810873031616,1.259689450263977,1.2193998098373413,1.3887639045715332,186,186
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,1.3492538928985596,1.290062665939331,1.8636091947555542,2.5581533908843994,231,231
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,1.2407459020614624,1.2462624311447144,1.6239854097366333,2.23909592628479,223,223
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,1.5533783435821533,1.5489803552627563,1.8173763751983643,2.145697593688965,361,361
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,1.3484405279159546,1.29041588306427,1.6114906072616577,2.1523540019989014,327,327
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,1.5102005004882812,1.4415546655654907,1.7447636127471924,2.2586183547973633,360,360
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,1.5888264179229736,1.6887019872665405,1.815469741821289,2.308732271194458,395,395
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,1.3543256521224976,1.2435270547866821,1.7954936027526855,2.2769336700439453,212,212
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,1.300776720046997,1.2850152254104614,1.5638622045516968,2.31526517868042,273,273
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,1.135185956954956,0.9743231534957886,1.4318201541900635,1.7330560684204102,103,103
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12,1.1054348945617676,1.1074873208999634,1.5888105630874634,1.995566487312317,125,125
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+120,1.3368390798568726,1.3823466300964355,1.4796310663223267,1.8770670890808105,143,143
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+121,1.3627053499221802,1.5071337223052979,1.506141185760498,2.277747392654419,136,136
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+122,1.0088263750076294,1.0352121591567993,1.3662599325180054,1.6444443464279175,90,90
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123,1.0791451930999756,0.9845647215843201,1.4056386947631836,1.5441657304763794,125,125
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+124,1.2790570259094238,1.3952901363372803,1.2585910558700562,1.6365965604782104,135,135
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+125,0.8972097039222717,1.0478347539901733,1.30427885055542,1.9900813102722168,141,141
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126,1.30402672290802,1.2216923236846924,1.6788467168807983,2.1403729915618896,212,212
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+127,1.3164623975753784,1.365556240081787,1.8636010885238647,2.5288262367248535,214,214
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+128,1.4900271892547607,1.3309152126312256,2.0818870067596436,2.796360492706299,215,215
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129,1.2822011709213257,1.2907130718231201,1.6150304079055786,1.8059295415878296,248,248
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13,1.31174635887146,1.2805583477020264,1.8079466819763184,2.337479829788208,199,199
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130,1.3321017026901245,1.1813946962356567,1.597488284111023,1.9257054328918457,306,306
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131,1.4252287149429321,1.338132381439209,2.0005908012390137,2.763726234436035,200,200
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132,1.6220084428787231,1.6196374893188477,2.1741957664489746,2.8808534145355225,273,273
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+133,1.113222360610962,1.1603055000305176,1.385206937789917,1.7682465314865112,245,245
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+134,1.2657270431518555,1.3600858449935913,1.2995251417160034,1.7359495162963867,265,265
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+135,1.1518709659576416,1.0916142463684082,1.3330817222595215,1.5070207118988037,87,87
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+136,1.4314053058624268,1.405250072479248,1.68556809425354,2.0517969131469727,167,167
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+137,2.0769612789154053,2.1787843704223633,2.221562147140503,2.2698748111724854,128,128
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+138,0.9782938361167908,1.0625593662261963,1.0944089889526367,1.4447599649429321,163,163
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+139,1.6260170936584473,1.6870867013931274,2.0859529972076416,2.313978433609009,123,123
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14,1.3090794086456299,1.2913321256637573,1.5820422172546387,1.9152873754501343,211,211
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+140,1.2270004749298096,1.2526668310165405,1.6240708827972412,2.3596103191375732,131,131
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141,1.202294945716858,1.1374956369400024,1.4887385368347168,1.9573642015457153,167,167
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+142,1.000223994255066,1.1159700155258179,1.0863873958587646,1.3380032777786255,132,132
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+143,1.3630982637405396,1.4527862071990967,1.9889600276947021,2.5453429222106934,172,172
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+144,1.5286246538162231,1.4534403085708618,1.8092596530914307,2.3299341201782227,352,352
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+145,1.3982057571411133,1.2843669652938843,1.610316276550293,2.063096284866333,222,222
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+146,1.4270519018173218,1.4648152589797974,1.663822889328003,2.1402368545532227,346,346
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+147,1.346748948097229,1.3360700607299805,1.6958755254745483,2.1833908557891846,300,300
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148,1.3454575538635254,1.4236692190170288,1.7773103713989258,2.160367012023926,226,226
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,1.1425875425338745,1.0055046081542969,1.4171429872512817,2.123508930206299,234,234
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+15,1.0400830507278442,1.021526575088501,1.087851643562317,1.3635029792785645,304,304
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,0.9408138990402222,0.8955255150794983,1.0013034343719482,1.4526357650756836,340,340
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,1.1888728141784668,1.1465646028518677,1.517111897468567,2.0481104850769043,244,244
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+152,1.173685073852539,1.236175775527954,1.2778401374816895,1.6316118240356445,165,165
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+153,1.1407175064086914,1.204376459121704,1.3291524648666382,1.825731873512268,160,160
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,0.9590534567832947,1.02498197555542,1.2119256258010864,1.5638432502746582,153,153
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+155,1.021519660949707,0.9760271310806274,1.195640206336975,1.786084771156311,153,153
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,1.1168618202209473,0.9624571800231934,1.3382537364959717,1.628587245941162,118,118
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+157,1.41133713722229,1.3024667501449585,1.9402107000350952,2.3268487453460693,208,208
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,1.2906111478805542,1.1714835166931152,1.2700127363204956,1.7311869859695435,176,176
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159,1.3515584468841553,1.3692151308059692,1.6744190454483032,2.2625694274902344,252,252
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+16,1.2344242334365845,1.3189215660095215,1.0585029125213623,1.5154991149902344,318,318
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,1.1349046230316162,1.3026878833770752,1.700055480003357,2.1735799312591553,160,160
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+161,0.9930737018585205,1.0720574855804443,1.3372280597686768,2.0188801288604736,235,235
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162,1.3448377847671509,1.3515065908432007,1.6476892232894897,2.0990076065063477,268,268
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+163,0.9796814322471619,0.9677812457084656,1.3144662380218506,1.9005217552185059,239,239
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+164,1.3657772541046143,1.245903491973877,1.7509539127349854,2.1499691009521484,201,201
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+165,1.095955491065979,1.0603809356689453,1.311692714691162,1.8138710260391235,340,340
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+166,1.149962306022644,1.2782341241836548,1.1420639753341675,1.3838413953781128,162,162
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+167,1.2309292554855347,1.2518922090530396,1.2814708948135376,1.7278854846954346,273,273
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+168,1.1451759338378906,1.1835720539093018,0.9062598943710327,1.5713691711425781,196,196
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+169,1.4307700395584106,1.4653897285461426,1.0018253326416016,1.314725399017334,152,152
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+17,0.8503229022026062,0.8451926112174988,1.0003217458724976,1.390363097190857,350,350
