stratum,targets,Deep_Win_count,Shallow_Win_count,dual_label_images,image_auroc,pooled_auroc,DeepCaptureRate,ShallowProtectionRate,BA,DeepSelectionPrecision,zero_ties,power,loss,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_gradient_fraction,mean_gradient_norm,active_transfer_fraction,mean_dQ,dQ_negative_fraction,dQ_zero_fraction,Deep_Win_targets,Shallow_Win_targets,DBR,DCR,BRR,HHCR,UDT_harm,RG_harm,UDT_benefit,RG_benefit
class0,965133,43802,88423,1654,0.7902943396694886,0.8387099641985727,0.7433222227295557,0.7945896429661966,0.7689559328478761,0.6419108079334411,0,POWERED,ADT,0.21776066096589797,0.04219107625581137,0.7400482627782906,0.0005488596201843381,0.0,0.25995277334833644,0.0008080902053319638,0.25995277334833644,-0.00017378749227358922,0.25995173722170933,0.7400472266516636,43802,88423,0.7433222227295557,0.20426812028544608,0.7433222227295557,0.20426812028544608,0.21754929113396806,0.045766749245958846,0.7824486366127777,0.2157640449554621
class1,1044692,121742,82309,2204,0.7969253775500648,0.8635758825217744,0.7229222454042155,0.8398352549538932,0.7813787501790543,0.8697241904084274,0,POWERED,ADT,0.25829143900786067,0.025157654121980448,0.7165509068701589,0.00099563621642434,0.0,0.2834490931298411,0.0009609158728126515,0.2834490931298411,-0.00020995976257499652,0.28344047815049794,0.7165509068701589,121742,82309,0.7229222454042155,0.1469219647912136,0.7229222454042155,0.14689766611184682,0.1930406282425825,0.04606812342776627,0.8069555428777094,0.2430764282678531
class2,323515,74850,11749,723,0.45143658967003714,0.5371673713131145,0.6308884435537743,0.42480211081794195,0.5278452771858582,0.874805483512412,0,POWERED,ADT,0.2622598643030462,0.061771478911333326,0.6759686567856205,0.0011191283692307077,0.0,0.32403134321437954,0.0013070545778085488,0.32403134321437954,-0.0002565654361496757,0.32402207007403055,0.6759686567856205,74850,11749,0.6308884435537743,0.5622606179249298,0.6308884435537743,0.5622606179249298,0.2510393644807814,0.06922708375191258,0.7489575444724356,0.24313864890345116
class3,145803,74336,418,107,0.3408509823356585,0.5847058944309763,0.4538178002582867,0.6818181818181818,0.5678179910382343,0.9960729892523916,0,UNDERPOWERED,ADT,0.29470587024958333,0.015322044128035775,0.6899720856223809,0.001652208669987339,0.0,0.3100279143776191,0.001419186525104058,0.3100279143776191,-0.0002452672152264965,0.30995932868322323,0.6899720856223809,74336,418,0.4538178002582867,0.2703349282296651,0.453804347826087,0.2703349282296651,0.20268444407865407,0.04217334348401611,0.797315555921346,0.26432926620165564
