stratum,loss,targets,benefit_rate,harm_rate,mean_dm
all,UDT,2479143,0.7892796018624177,0.21071757458121618,0.0004863217408177745
all,RG,700224,0.827420939585047,0.17257763230052098,0.0017243690699244882
all,ADT,697038,0.8719998048886861,0.1279987604693001,0.003117200951882084
all,SDT,697038,0.8719998048886861,0.1279987604693001,0.004064244967879773
Top20,UDT,485451,0.7196771661815508,0.2803125341177585,0.0014360869919632009
Top20,RG,134036,0.7716061356650452,0.22838640365275,0.005186211248654519
Top20,ADT,209058,0.8787370012149739,0.121258215423471,0.006393374528714604
Top20,SDT,209058,0.8787370012149739,0.121258215423471,0.009978466406243431
Bottom80,UDT,1993692,0.80622734103362,0.19377165580240077,0.00025506009612350975
Bottom80,RG,566188,0.8406342063060326,0.15936579369396736,0.0009048330178211958
Bottom80,ADT,487980,0.8691134882577155,0.13088651174228452,0.0017136387246894662
Bottom80,SDT,487980,0.8691134882577155,0.13088651174228452,0.001530503204976726
Q1,UDT,495830,0.8918802815481113,0.10811971845188875,2.6264691617873125e-06
Q1,RG,147539,0.9086004378503311,0.0913995621496689,8.901173795571933e-06
Q1,ADT,24016,0.5353930712858095,0.4646069287141905,5.210347017709594e-06
Q1,SDT,24016,0.5353930712858095,0.4646069287141905,5.544929501524417e-07
Q2,UDT,495828,0.8200242826141323,0.17997370055745138,4.497605580369526e-05
Q2,RG,141853,0.8499291520094746,0.1500708479905254,0.0001594016813956952
Q2,ADT,84586,0.81791312983236,0.18208687016764002,0.0001452535899477367
Q2,SDT,84586,0.81791312983236,0.18208687016764002,3.0340882052280873e-05
Q3,UDT,495829,0.777574526701746,0.22242547329825405,0.00021510544019605563
Q3,RG,138199,0.8155920086252433,0.1844079913747567,0.0007722257588730518
Q3,ADT,156448,0.8950577827776641,0.10494221722233586,0.0007586652642756031
Q3,SDT,156448,0.8950577827776641,0.10494221722233586,0.00029773438066148326
Q4,UDT,495828,0.7292145663415539,0.2707854336584461,0.0006073897039673333
Q4,RG,135535,0.7777326889733279,0.22226731102667208,0.0022409313997178975
Q4,ADT,205034,0.9020699006018514,0.0979300993981486,0.002458599459076217
Q4,SDT,205034,0.9020699006018514,0.0979300993981486,0.0018670608806339193
Q5,UDT,495828,0.727703961857741,0.2722839371717612,0.0015615135330174807
Q5,RG,137098,0.777815868940466,0.22217683700710442,0.0056388442261440285
Q5,ADT,226954,0.8847167267375767,0.11527886708319747,0.006774975635974973
Q5,SDT,226954,0.8847167267375767,0.11527886708319747,0.010579071284856814
Raw_Correct,UDT,1770736,0.862226215539753,0.13777209024947817,5.370084234507279e-05
Raw_Correct,RG,514789,0.8887311111931296,0.11126694626342054,0.00019936395076450126
Raw_Correct,ADT,423816,0.8393265001793231,0.1606711403061706,0.0006654774712473626
Raw_Correct,SDT,423816,0.8393265001793231,0.1606711403061706,-8.218482535703963e-05
Raw_Wrong,UDT,708407,0.6069420544969205,0.39305229903148897,0.001567702076243537
