stratum,targets,Deep_Win_count,Shallow_Win_count,dual_label_images,image_auroc,pooled_auroc,DeepCaptureRate,ShallowProtectionRate,BA,DeepSelectionPrecision,zero_ties,power,loss,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_gradient_fraction,mean_gradient_norm,active_transfer_fraction,mean_dQ,dQ_negative_fraction,dQ_zero_fraction,Deep_Win_targets,Shallow_Win_targets,DBR,DCR,BRR,HHCR,UDT_harm,RG_harm,UDT_benefit,RG_benefit
Raw_Correct,1770736,0,182899,0,nan,nan,nan,0.7909392615596587,nan,0.0,0,UNDERPOWERED,ADT,0.20088821823241862,0.038455760768403645,0.7606560209991777,0.00015927840172344832,0.0,0.23934454373774522,0.0004794873194037246,0.23934454373774522,-9.62384154091091e-05,0.23934002584236158,0.7606554562622548,0,182899,nan,0.201608538045588,nan,0.20159760304867713,0.13777209024947817,0.032347566209756845,0.862226215539753,0.2583722248827606
Raw_Wrong,708407,314730,0,0,nan,nan,0.6403139198678233,nan,nan,1.0,0,UNDERPOWERED,ADT,0.3558646371365613,0.029820428087243632,0.614314934776195,0.002669041267440626,0.0,0.38568506522380497,0.0022084812908269597,0.38568506522380497,-0.00047348764788356296,0.38566389095534065,0.614314934776195,314730,0,0.6403139198678233,nan,0.6403107425412258,nan,0.39305229903148897,0.08972808004438126,0.6069420544969205,0.17203528480096894
