metric,estimate,ci_low,ci_high,resamples,valid_resamples,seed
Delta_image_AUROC,0.7848415501407355,0.7771296174529495,0.7928154227657093,10000,10000,42
DeepCapture,0.6403139198678233,0.6285375386112502,0.6521043882678427,10000,10000,42
ShallowProtection,0.7909392615596587,0.7819087872769963,0.7998784686787396,10000,10000,42
DeepSelectionPrecision,0.8405216818274713,0.8314637915762975,0.849111152911719,10000,10000,42
ADT:all:mean_dm,0.0008764349281578279,0.0008564997474691391,0.0008960555787348797,10000,10000,42
ADT:Top20:mean_dm,0.0027532873394513916,0.0026717224721604788,0.0028377910507138703,10000,10000,42
ADT:class0:mean_dm,0.000548859620184338,0.0005145769823700481,0.0005829798238226426,10000,10000,42
ADT:class1:mean_dm,0.000995636216424338,0.0009684262710878212,0.0010214093049859918,10000,10000,42
ADT:class2:mean_dm,0.0011191283692307068,0.0010589056820437986,0.0011770139935801853,10000,10000,42
ADT:class3:mean_dm,0.0016522086699873385,0.0015696715836683048,0.0017356818110999582,10000,10000,42
ADT:Raw_Correct:harm_rate,0.038455760768403645,0.03686118344663269,0.04007940532874217,10000,10000,42
ADT:Raw_Wrong:benefit_rate,0.3558646371365613,0.34690581345071986,0.3649438531501209,10000,10000,42
BRR_ADT,0.6403107425412258,0.6285278584257563,0.6521000922327544,10000,10000,42
HHCR_ADT,0.20159760304867713,0.19281867888938184,0.21056917329802763,10000,10000,42
ADT-RG:all:mean_dm,0.00038939379837273595,0.0003754449202948698,0.0004030372835250977,10000,10000,42
ADT-RG:Shallow-Win:harm_rate,-0.015276190684476132,-0.023468899313039117,-0.006829657170128861,10000,10000,42
ADT-RG:Deep-Win:benefit_rate,0.3398341435516157,0.3298024895092167,0.3500227447547684,10000,10000,42
ADT:all:benefit_rate,0.24517222282054726,0.2409299838864633,0.2493726633531326,10000,10000,42
ADT:all:harm_rate,0.035988242711291765,0.03461180889192382,0.037396291627982504,10000,10000,42
ADT:Top20:benefit_rate,0.3784254229572089,0.3688255638872155,0.38800243988406985,10000,10000,42
ADT:Top20:harm_rate,0.0522194825018385,0.049150410098216975,0.05546085015802291,10000,10000,42
ADT:Deep-Win:benefit_rate,0.6403139198678233,0.6285375386112502,0.6521043882678427,10000,10000,42
ADT:Deep-Win:harm_rate,0.0,0.0,0.0,10000,10000,42
ADT:Shallow-Win:benefit_rate,0.007446732896297957,0.006636794995795817,0.008319991939405367,10000,10000,42
ADT:Shallow-Win:harm_rate,0.201608538045588,0.19282065249742747,0.21058013478340012,10000,10000,42
