stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_gradient_fraction,mean_gradient_norm,active_transfer_fraction,mean_dQ,dQ_negative_fraction,dQ_zero_fraction
all,UDT,2479143,0.7892796018624177,0.21071757458121618,2.8235563660506876e-06,0.0004863217408177745,7.27332262613345e-05,1.0,0.0008838537466721477,1.0,-0.0001833491643359147,0.99998668894856,0.0
all,RG,2479143,0.2337017267660639,0.048743860277523324,0.7175544129564128,0.00048704112978509274,0.0,0.2824459904087824,0.0008811049407340362,0.2824459904087824,-0.00018282743130220743,0.28244397358280665,0.7175540095912176
all,ADT,2479143,0.24517222282054726,0.035988242711291765,0.718839534468161,0.000876434928157829,0.0,0.2811608688970342,0.0009735416891250429,0.2811608688970342,-0.00020403614915400823,0.2811515914975457,0.7188391311029658
all,SDT,2479143,0.24517222282054726,0.035988242711291765,0.718839534468161,0.0011427066465794762,0.0,0.2811608688970342,0.0011815448899062237,0.2811608688970342,-0.00023972413183534692,0.2811515914975457,0.7188391311029658
all,PRG_previous,2479143,0.7892796018624177,0.21071757458121618,2.8235563660506876e-06,0.0002836482570285138,3.537180236889981e-05,1.0,0.00042861920926330036,1.0,-8.88723487406106e-05,0.99998668894856,0.0
Top20,UDT,485451,0.7196771661815508,0.2803125341177585,1.0299700690697928e-05,0.0014360869919632009,0.0016738754347898066,1.0,0.0028273810889212327,1.0,-0.0006022598866800222,0.9999752807183423,0.0
Top20,RG,485451,0.21304518890681037,0.063058887508729,0.7238959235844606,0.001431944750190353,0.0,0.2761061363556775,0.002810655068120204,0.2761061363556775,-0.0005994705449368813,0.2761020164754012,0.7238938636443225
Top20,ADT,485451,0.3784254229572089,0.0522194825018385,0.5693550945409527,0.0027532873394513916,0.0,0.4306469653991855,0.0031618396651683324,0.4306469653991855,-0.0006677251711180096,0.4306325458182185,0.5693530346008145
Top20,SDT,485451,0.3784254229572089,0.0522194825018385,0.5693550945409527,0.00429719627718645,0.0,0.4306469653991855,0.004466944415143835,0.4306469653991855,-0.0008870157780726999,0.4306325458182185,0.5693530346008145
Top20,PRG_previous,485451,0.7196771661815508,0.2803125341177585,1.0299700690697928e-05,0.0008769221800709902,0.0007884535589255393,1.0,0.001367337631551031,1.0,-0.0002904593008227734,0.9999752807183423,0.0
Bottom80,UDT,1993692,0.80622734103362,0.19377165580240077,1.0031639791903665e-06,0.00025506009612350975,4.1087947465712205e-05,1.0,0.00041061751368221775,1.0,-8.13471354003172e-05,0.9999894667782185,0.0
Bottom80,RG,1993692,0.2387314590217546,0.04525824450316297,0.7160102964750824,0.0002569632604705979,0.0,0.2839897035249176,0.00041127206840985386,0.2839897035249176,-8.137755029899014e-05,0.2839881987789488,0.7160102964750824
Bottom80,ADT,1993692,0.21272593760721314,0.032036041675444354,0.7552380207173425,0.0004194336060304028,0.0,0.2447619792826575,0.00044070540309480905,0.2447619792826575,-9.113089628573841e-05,0.24475395397082397,0.7552380207173425
Bottom80,SDT,1993692,0.21272593760721314,0.032036041675444354,0.7552380207173425,0.00037460899374855444,0.0,0.2447619792826575,0.00038157153147065604,0.2447619792826575,-8.21128373337041e-05,0.24475395397082397,0.7552380207173425
Bottom80,PRG_previous,1993692,0.80622734103362,0.19377165580240077,1.0031639791903665e-06,0.0001391899258445129,2.0101383825021912e-05,1.0,0.00020004739535322733,1.0,-3.978724057182728e-05,0.9999894667782185,0.0
