loss,Top20_mean_G,Bottom80_mean_G,ratio,Q1_mean_G,Q2_mean_G,Q3_mean_G,Q4_mean_G,Q5_mean_G
UDT,0.0028273810889212327,0.00041061751368221775,6.885680699701912,2.8242922453096705e-06,5.3758627780379055e-05,0.00028047655539946697,0.0009598474940000668,0.003122366534614261
RG,0.002810655068120204,0.00041127206840985386,6.834052891039614,2.8635043460332927e-06,5.4507419514327714e-05,0.0002818721408927622,0.0009610934424397018,0.0031051929475516644
ADT,0.0031618396651683324,0.00044070540309480905,7.174497165146226,1.0004401693240074e-06,3.400557765812704e-05,0.00025146463895319804,0.0010203767007275074,0.003560866467320229
SDT,0.004466944415143835,0.00038157153147065604,11.70670253602857,1.802233058010318e-07,9.581966294285136e-06,0.00010967833518011254,0.0007492311408491891,0.005039059710892315
