Delta_image_AUROC,DeepCapture,ShallowProtection,DeepSelectionPrecision,ADT:all:mean_dm,ADT:Top20:mean_dm,ADT:class0:mean_dm,ADT:class1:mean_dm,ADT:class2:mean_dm,ADT:class3:mean_dm,ADT:Raw_Correct:harm_rate,ADT:Raw_Wrong:benefit_rate,BRR_ADT,HHCR_ADT,ADT-RG:all:mean_dm,ADT-RG:Shallow-Win:harm_rate,ADT-RG:Deep-Win:benefit_rate,ADT:all:benefit_rate,ADT:all:harm_rate,ADT:Top20:benefit_rate,ADT:Top20:harm_rate,ADT:Deep-Win:benefit_rate,ADT:Deep-Win:harm_rate,ADT:Shallow-Win:benefit_rate,ADT:Shallow-Win:harm_rate
0.7831471716208809,0.6457613548212233,0.7851919202123778,0.8441361166993818,0.0008821198539752202,0.002784787472307107,0.0005345606647639527,0.000995400184579505,0.0011284642161619402,0.0016885745613202253,0.03846649994907947,0.36161331482494147,0.6457551240392914,0.20603570686916647,0.000377117338350521,-0.011522509022130176,0.33891403701707545,0.2494862233688751,0.03569104871707012,0.3871090888455546,0.05116331857904892,0.6457613548212233,0.0,0.008749922827813417,0.20605815695980872
0.790741764958569,0.6485390628265686,0.7958498175322469,0.8440816565670093,0.0008702239485616674,0.0027448121173453115,0.0005546243893058417,0.0009963353322763463,0.0010966216328136531,0.0016321396505675505,0.03696624366957058,0.3582108095140174,0.6485390628265686,0.19699941917171696,0.00039053042624628397,-0.01811526701662484,0.34594001909973987,0.2470205297906861,0.03497012096191226,0.383284276787164,0.051646759561863285,0.6485390628265686,0.0,0.00712336573551491,0.1970048986838212
0.7858560805054124,0.6462707342535668,0.7882126166299638,0.8387339580745926,0.000874933744939361,0.002765075430521196,0.0005623551563022711,0.0009896030821062356,0.001109751715389597,0.0016050889012508233,0.038416195711688333,0.35501215290564925,0.6462707342535668,0.20411547945280709,0.0003873995454005885,-0.014212517779376472,0.3461186508396809,0.24580689929027288,0.03607715780524649,0.38184502244542723,0.05246774771173242,0.6462707342535668,0.0,0.0076719039172291085,0.20411547945280709
0.7795354972868913,0.636598820142349,0.7866620667692797,0.834561244649325,0.0008596315267772496,0.002655898599844035,0.0005102934181919355,0.000986740798146379,0.0011118842756129331,0.0016478492554789774,0.04016529000409492,0.3536597794931722,0.63659568055307,0.20590202218565892,0.00038385756408133143,-0.013008863648426305,0.33712909677156033,0.24276829356161467,0.03772647700381153,0.3731325771598382,0.05445743843699869,0.636598820142349,0.0,0.007425295897245369,0.20591263733347487
0.7877898571912222,0.6472983865725392,0.7863116498110235,0.8360010242589864,0.0008816770605890073,0.002748766556700669,0.0005472526085476393,0.0010179986388762113,0.0011210138293556045,0.0016430024075585253,0.038241944169343595,0.3569350964635288,0.6472983865725392,0.20661062096955046,0.0003996879821926012,-0.014346896246178081,0.34931484587282396,0.24526692701729472,0.03555388750824162,0.3774876436548582,0.05386264443460234,0.6472983865725392,0.0,0.007072259567788127,0.20661609062118833
0.7819578240099854,0.6338698500692957,0.7907464676377703,0.8401178931197008,0.0008844762299084032,0.002780194935460118,0.0005516165638565054,0.000998476015143162,0.0011038296631950576,0.0017062189975970581,0.03845281268114175,0.3526582373780256,0.6338667002645836,0.20147304695610363,0.0003932994066686059,-0.01447366983204205,0.33697240771072196,0.24361721556711202,0.03581906503955236,0.37661419616646874,0.051849844870120745,0.6338698500692957,0.0,0.007736774813956792,0.20151129372425172
0.7879102181313572,0.647712008885904,0.7860120400751546,0.8370009680218973,0.0008677504555805979,0.002743832259338089,0.0005414905829058856,0.0009810422640637155,0.0011114593706851926,0.0016548618268443839,0.038455307237428335,0.35801781737193766,0.647712008885904,0.20604523518681836,0.0003868826671531409,-0.011152681080429674,0.3483681192364322,0.2464056966499979,0.03608346434832015,0.38068578545772497,0.05335144984514995,0.647712008885904,0.0,0.007931769255629748,0.206050712928017
0.7894026297632223,0.6464355886472817,0.7903473202184207,0.845871228585253,0.0008887939189106816,0.002800645371472872,0.0005583197611168253,0.001006500093475478,0.0011212696137110282,0.0017451953389078895,0.03744998118950717,0.3667162561336539,0.6464293212749089,0.2019722567726606,0.00039256739613567583,-0.018400664855789877,0.34075076853653724,0.24964987630843116,0.03561672535636871,0.3875559986266634,0.05190343623705775,0.6464355886472817,0.0,0.0076692677104307615,0.2019834120711485
0.7881536175543096,0.6407235259702269,0.7928300567463625,0.8365479691564711,0.0008676731835230597,0.002745960080085365,0.0005492981436769847,0.0009952436898912728,0.0011038241200636745,0.0016698414869661263,0.03847941357844086,0.3518941286092357,0.6407202756289411,0.1998063631229325,0.00039371942840148443,-0.014296856090148724,0.3403367353572125,0.2443081374520537,0.03635901737799719,0.37666888278411254,0.053423065183122384,0.6407235259702269,0.0,0.007347443724282602,0.19981174192507328
0.7795844626324017,0.6446294690671699,0.7815519291040743,0.833400644539138,0.0008588989348895619,0.002700061765102235,0.0005255354303566493,0.0010012015970592635,0.0010610963747429264,0.0016086567240418757,0.04008887820333739,0.35321923344791806,0.6446294690671699,0.2100670052955798,0.0003791955838724163,-0.005371230952123635,0.3436081501504565,0.2429771254195469,0.037791089259800015,0.37831113231369035,0.05533667548127342,0.6446294690671699,0.0,0.008364854641737815,0.21007240894844914
0.7819251716705747,0.642136196006301,0.7875428887359138,0.8421527408624495,0.0008882986133664645,0.002784484522470079,0.000550785131560748,0.0009994144081549258,0.001141398080658652,0.0016588285313712705,0.03914569336072194,0.3613046271161856,0.6421300546884355,0.20406094672311087,0.00039025139602372265,-0.014564553984248383,0.3404101786202301,0.24550627431922267,0.036841309126487316,0.3844804627942247,0.05191349159415393,0.642136196006301,0.0,0.008385323786241999,0.2040717874778442
