stratum,targets,Deep_Win_count,Shallow_Win_count,dual_label_images,image_auroc,pooled_auroc,DeepCaptureRate,ShallowProtectionRate,BA,DeepSelectionPrecision,zero_ties,power,loss,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_gradient_fraction,mean_gradient_norm,active_transfer_fraction,mean_dQ,dQ_negative_fraction,dQ_zero_fraction,Deep_Win_targets,Shallow_Win_targets,DBR,DCR,BRR,HHCR,UDT_harm,RG_harm,UDT_benefit,RG_benefit
Both-Wrong,393677,0,0,0,nan,nan,nan,nan,nan,nan,0,UNDERPOWERED,ADT,0.1284581014384889,0.05366074218204264,0.8178811563794685,0.00024031267177801607,0.0,0.18211884362053155,0.0006584315286316386,0.18211884362053155,-0.00012777469377797128,0.18208328147186653,0.8178811563794685,0,0,nan,nan,nan,nan,0.707282874031249,0.16146231555310572,0.29270696535484675,0.06934873005026963
Stable-Correct,1587837,0,0,0,nan,nan,nan,nan,nan,nan,0,UNDERPOWERED,ADT,0.22317026243877677,0.01966259760920044,0.7571671399520228,0.0004235294365334533,0.0,0.24283286004797722,0.0003364032848495197,0.24283286004797722,-6.886718509994988e-05,0.24282908132257908,0.7571671399520228,0,0,nan,nan,nan,nan,0.04280036300955325,0.011091188831095384,0.9571990072028804,0.2869979727138239
